呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
観念しなあッァ！オレたちが来たからにゃッァ、てめえの企みもッォ、ここでお終いだぜえッェ！			観念しなあッァ！オレたちが来たからにゃッァ、てめえの企みもッォ、ここでお終いだぜえッェ！			破壊と癒し							
ぼくたちーも　いっしょーに　たたかーうよ！			ぼくたちーも　いっしょーに　たたかーうよ！			破壊と癒し							
待たせて、すまなかったね……。だが、大事な場面には間に合ったようだ！			待たせて、すまなかったね……。だが、大事な場面には間に合ったようだ！			破壊と癒し							
ぬ、ぬぬぬ……。ええい、ウジャウジャと雑魚どもが！			ぬ、ぬぬぬ……。ええい、ウジャウジャと雑魚どもが！			破壊と癒し							
妖獣「バーゲスト」よ！突っ立っているだけの置物でもあるまい！その力で、さっさと奴らを駆逐せよ！			妖獣「バーゲスト」よ！突っ立っているだけの置物でもあるまい！その力で、さっさと奴らを駆逐せよ！			破壊と癒し							
お、おい……。違うぞ、わ、私ではない。あ、あああ、あそこにいる奴らを……！			お、おい……。違うぞ、わ、私ではない。あ、あああ、あそこにいる奴らを……！			破壊と癒し							
自分で召喚した妖異に倒されるとは……哀れな男だ。			自分で召喚した妖異に倒されるとは……哀れな男だ。			破壊と癒し							
当然の報いですね……！分をわきまえぬ召喚などするからです！			当然の報いですね……！分をわきまえぬ召喚などするからです！			破壊と癒し							
だが、こいつをそのままにはしておけない！さあ、みなで妖異をかたづけるぞ！			だが、こいつをそのままにはしておけない！さあ、みなで妖異をかたづけるぞ！			破壊と癒し							
ずいぶんと、いいタイミングで現れたものですね……。あなたのおかげで、妖異を倒すことができましたよ。			ずいぶんと、いいタイミングで現れたものですね……。あなたのおかげで、妖異を倒すことができましたよ。			破壊と癒し							
また、ひとりで突っ込んだのかと思ったかい？同じ過ちを繰り返すほど、僕は愚かじゃないのさ。			また、ひとりで突っ込んだのかと思ったかい？同じ過ちを繰り返すほど、僕は愚かじゃないのさ。			破壊と癒し							
あれは……癒しの力……。			あれは……癒しの力……。			破壊と癒し							
な、何故だ……？			な、何故だ……？			破壊と癒し							
……貴様は、結果的に多くの人の命を奪った。その罪を、生きて償え。それが幻術士としての、僕の裁き方だ……。			……貴様は、結果的に多くの人の命を奪った。その罪を、生きて償え。それが幻術士としての、僕の裁き方だ……。			破壊と癒し							
Forename、ラライ……。君たちには、本当に世話になったな。			Forename、ラライ……。君たちには、本当に世話になったな。			破壊と癒し							
ウォルディーヴを監獄に収監したら、「ミルバネス礼拝堂」へ行くよ……。改めて、君たちに礼を言わせてくれ。			ウォルディーヴを監獄に収監したら、「ミルバネス礼拝堂」へ行くよ……。改めて、君たちに礼を言わせてくれ。			破壊と癒し							
さあ、私たちもミルバネス礼拝堂に帰りましょう。ザイ・ア・ネルハーの礼なんて珍しいもの、聞き逃すわけにはいきませんからね！			さあ、私たちもミルバネス礼拝堂に帰りましょう。ザイ・ア・ネルハーの礼なんて珍しいもの、聞き逃すわけにはいきませんからね！			破壊と癒し							
あなたは「カザグ・チャー」たちと、旧交を温めてからになさるといいでしょう。先に戻って、待っていますからね！			あなたは「カザグ・チャー」たちと、旧交を温めてからになさるといいでしょう。先に戻って、待っていますからね！			破壊と癒し							
