オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			ギルドシップのモブハント（初級）							
特殊ルール： レベルアジャスト漂流者の丘にいるルヴェユール家の使用人は、慈善事業に乗り出している。			特殊ルール： レベルアジャスト漂流者の丘にいるルヴェユール家の使用人は、慈善事業に乗り出している。			ルヴェユール家の慈善事業							
指定地点にニメーヤリリーの球根を植える			指定地点にニメーヤリリーの球根を植える			ルヴェユール家の慈善事業							
ルヴェユール家の使用人と話す			ルヴェユール家の使用人と話す			ルヴェユール家の慈善事業							
おや、Surname様。ちょうどいいところにいらっしゃいましたね。お時間があれば、私たちとともに街に花を植えてはみませんか？			おや、Surname様。ちょうどいいところにいらっしゃいましたね。お時間があれば、私たちとともに街に花を植えてはみませんか？			ルヴェユール家の慈善事業							
というのも、アメリアンス奥様は、かねてから福祉団体を主宰しておられるのです。この街の景観美化にも一役買っておられるのですよ。			というのも、アメリアンス奥様は、かねてから福祉団体を主宰しておられるのです。この街の景観美化にも一役買っておられるのですよ。			ルヴェユール家の慈善事業							
お坊ちゃま、お嬢様のご友人である貴方にご参加いただけたら、アメリアンス様もいたく喜ばれると思うのです。いかがでしょう？			お坊ちゃま、お嬢様のご友人である貴方にご参加いただけたら、アメリアンス様もいたく喜ばれると思うのです。いかがでしょう？			ルヴェユール家の慈善事業							
何と言う？			何と言う？			ルヴェユール家の慈善事業							
もちろん参加したい			もちろん参加したい			ルヴェユール家の慈善事業							
なぜこんな時期に……？			なぜこんな時期に……？			ルヴェユール家の慈善事業							
快いお返事、ありがとうございます。アメリアンス様は、様々な困難がある時代だからこそ、人々の心を穏やかにしたいとお考えなのですよ。			快いお返事、ありがとうございます。アメリアンス様は、様々な困難がある時代だからこそ、人々の心を穏やかにしたいとお考えなのですよ。			ルヴェユール家の慈善事業							
アメリアンス様は、様々な困難がある時代だからこそ、人々の心を穏やかにしたいとお考えなのですよ。なので、よければ貴方もぜひご参加を。			アメリアンス様は、様々な困難がある時代だからこそ、人々の心を穏やかにしたいとお考えなのですよ。なので、よければ貴方もぜひご参加を。			ルヴェユール家の慈善事業							
こちらの「ニメーヤリリーの球根」をお渡ししておきますね。街中では、ほかの参加者も活動を始めていますので、ご交流もお楽しみください。			こちらの「ニメーヤリリーの球根」をお渡ししておきますね。街中では、ほかの参加者も活動を始めていますので、ご交流もお楽しみください。			ルヴェユール家の慈善事業							
