幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
ここを出たら、あたしたちはアラカを牢へ連れていくわ。あんたは、あとで「キャンプ・トランキル」へ来て。ちゃんとお礼を言わなくちゃね。			ここを出たら、あたしたちはアラカを牢へ連れていくわ。あんたは、あとで「キャンプ・トランキル」へ来て。ちゃんとお礼を言わなくちゃね。			世界の癒し手							
君たちには、どれだけ感謝しても足りないよ。僕に勇気をくれてありがとう……。			君たちには、どれだけ感謝しても足りないよ。僕に勇気をくれてありがとう……。			世界の癒し手							
ア・ルン様と、今後の相談をこれからするんです。でも、その前に、あなたに会っておきたくて……。			ア・ルン様と、今後の相談をこれからするんです。でも、その前に、あなたに会っておきたくて……。			世界の癒し手							
おかえりなさい、Forename。アラカは、最後までこちらを見てはくれなかったけど……。でも、逃げるようなことはなかったわ。			おかえりなさい、Forename。アラカは、最後までこちらを見てはくれなかったけど……。でも、逃げるようなことはなかったわ。			世界の癒し手							
彼女が、この広い世界でやりたいことを見つけられるまで、あたしは牢に通いつづけるつもりよ。			彼女が、この広い世界でやりたいことを見つけられるまで、あたしは牢に通いつづけるつもりよ。			世界の癒し手							
元凶を断ったことで、大精霊も落ち着きを取り戻したわ。しばらくは、「不浄なるもの」を心配する必要はなさそう。			元凶を断ったことで、大精霊も落ち着きを取り戻したわ。しばらくは、「不浄なるもの」を心配する必要はなさそう。			世界の癒し手							
これも、あんたとエシヴァのおかげね……。本当にありがとう……。			これも、あんたとエシヴァのおかげね……。本当にありがとう……。			世界の癒し手							
……いえ、私はほとんど何もしていません。すべては、Forenameさんの功績です。			……いえ、私はほとんど何もしていません。すべては、Forenameさんの功績です。			世界の癒し手							
私からもお礼を言わせてください。あなたは、私の心の中で固まりきっていた考えを打ち砕いて、私の世界を広げてくださいました。			私からもお礼を言わせてください。あなたは、私の心の中で固まりきっていた考えを打ち砕いて、私の世界を広げてくださいました。			世界の癒し手							
これからは、ア・ルン様に付き従いながら、森を襲う脅威に立ち向かっていこうと思います。ア・トワ様と祖父がそうしたように……。			これからは、ア・ルン様に付き従いながら、森を襲う脅威に立ち向かっていこうと思います。ア・トワ様と祖父がそうしたように……。			世界の癒し手							
いずれ、旅の中でお会いする日もあるかもしれません。その時は、今よりもたくましくなった姿を見せられるように、私、がんばります！			いずれ、旅の中でお会いする日もあるかもしれません。その時は、今よりもたくましくなった姿を見せられるように、私、がんばります！			世界の癒し手							
それじゃあ、僕らは失礼するよ。黒衣森の外で、君に会える日を楽しみにしておくね！			それじゃあ、僕らは失礼するよ。黒衣森の外で、君に会える日を楽しみにしておくね！			世界の癒し手							
