ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
つまり、アタシらで新しい壺匠を連れてくる。それがモブリン族の試練ってわけだな。			つまり、アタシらで新しい壺匠を連れてくる。それがモブリン族の試練ってわけだな。			壺の試練							
試練と言えば聞こえはよいが、実態としては我々を体よく利用しようというだけではないか。労働者の確保なぞ、王位継承とは何の関係もなかろうに。			試練と言えば聞こえはよいが、実態としては我々を体よく利用しようというだけではないか。労働者の確保なぞ、王位継承とは何の関係もなかろうに。			壺の試練							
嫌なら　やめても　いいモブよ？連王様に伝えるだけ　ゾラージャ王子は資格なし！次代の王には　なれないと！			嫌なら　やめても　いいモブよ？連王様に伝えるだけ　ゾラージャ王子は資格なし！次代の王には　なれないと！			壺の試練							
継承の儀など、余興に過ぎぬ。そこに意味など問うまい。			継承の儀など、余興に過ぎぬ。そこに意味など問うまい。			壺の試練							
ではでは　試練　開始モブ～！でもでも　無理やり　ダメ絶対！モブリン　壺匠　両方笑う　それが条件　忘れずに～！			ではでは　試練　開始モブ～！でもでも　無理やり　ダメ絶対！モブリン　壺匠　両方笑う　それが条件　忘れずに～！			壺の試練							
(-魔のバクージャジャ-)誰かの壺匠を奪っちゃいけないなんて説明はなかった。だから、ね……。			(-魔のバクージャジャ-)誰かの壺匠を奪っちゃいけないなんて説明はなかった。だから、ね……。			壺の試練							
(-魔のバクージャジャ-)いただいちゃおうよ、ほかの連中からさ……。			(-魔のバクージャジャ-)いただいちゃおうよ、ほかの連中からさ……。			壺の試練							
(-戦のバクージャジャ-)ゲッグッグッグ！			(-戦のバクージャジャ-)ゲッグッグッグ！			壺の試練							
(-戦のバクージャジャ-)そいつぁ良い！さすがはオレサマの弟だ！			(-戦のバクージャジャ-)そいつぁ良い！さすがはオレサマの弟だ！			壺の試練							
(-魔のバクージャジャ-)でしょ？さっそく、準備に移ろうよ！			(-魔のバクージャジャ-)でしょ？さっそく、準備に移ろうよ！			壺の試練							
……また何か、悪巧みをしてるようね。			……また何か、悪巧みをしてるようね。			壺の試練							
川上りのときのような妨害に注意しつつ、今は、試練をどう進めていくかを話し合おう。			川上りのときのような妨害に注意しつつ、今は、試練をどう進めていくかを話し合おう。			壺の試練							
ウクラマトさんはどうかしら。壺匠になってくれそうな人に心当たりはない？			ウクラマトさんはどうかしら。壺匠になってくれそうな人に心当たりはない？			壺の試練							
アタシを応援してくれてる奴らの中にも、職人はいるけど、みんな爺ちゃん婆ちゃんだからなぁ……。			アタシを応援してくれてる奴らの中にも、職人はいるけど、みんな爺ちゃん婆ちゃんだからなぁ……。			壺の試練							
トライヨラでの生活を捨てて、この村で壺匠として暮らしてくれってのはキツイと思う。			トライヨラでの生活を捨てて、この村で壺匠として暮らしてくれってのはキツイと思う。			壺の試練							
コーナ兄さんなら、若い職人の支持者が多いから、すぐに見つかるんだろうけどよ。			コーナ兄さんなら、若い職人の支持者が多いから、すぐに見つかるんだろうけどよ。			壺の試練							
あ、これは別に兄さんとアタシを比べてるわけじゃなくて！ただ事実を言っただけだからな！			あ、これは別に兄さんとアタシを比べてるわけじゃなくて！ただ事実を言っただけだからな！			壺の試練							
