木工師ギルドのベアティヌは、相談したいことがあるようだ。			木工師ギルドのベアティヌは、相談したいことがあるようだ。			新人木工師、チェミ・ジンジャル！							
さて、ふたりとも……異国の文化を学ぶ旅はこれで終わりです……。グリダニアの「木工師ギルド」へと帰りましょう……。			さて、ふたりとも……異国の文化を学ぶ旅はこれで終わりです……。グリダニアの「木工師ギルド」へと帰りましょう……。			一脚の安楽椅子							
も、もしかしてウチ……師匠に見切りをつけられたのでしょうか……？ああ、ウチはもうおしまいです……。			も、もしかしてウチ……師匠に見切りをつけられたのでしょうか……？ああ、ウチはもうおしまいです……。			一脚の安楽椅子							
なんだかわからないが、ともかく、素晴らしい品をありがとうよ。きっと家具に見合うだけの店にしてみせるからな！			なんだかわからないが、ともかく、素晴らしい品をありがとうよ。きっと家具に見合うだけの店にしてみせるからな！			一脚の安楽椅子							
もう完成したのですか……？では、「レイザン」さんにお渡しください。……ウチもうかうかしてられません……。			もう完成したのですか……？では、「レイザン」さんにお渡しください。……ウチもうかうかしてられません……。			一脚の安楽椅子							
ドマ町人地で店を開くことは、私の夢なんだ。どうか力を貸してほしい。			ドマ町人地で店を開くことは、私の夢なんだ。どうか力を貸してほしい。			一脚の安楽椅子							
先生、今までどこに行ってたのよ！ベアティヌ先生に作ってもらった机がね～、壊れちゃって。私あの机じゃないと駄目なのよ～……先生、直してくださる？			先生、今までどこに行ってたのよ！ベアティヌ先生に作ってもらった机がね～、壊れちゃって。私あの机じゃないと駄目なのよ～……先生、直してくださる？			一脚の安楽椅子							
そこまで気に入ってくださっているなら、喜んで、修理させて頂きますとも……。後ほど、お伺いします……。			そこまで気に入ってくださっているなら、喜んで、修理させて頂きますとも……。後ほど、お伺いします……。			一脚の安楽椅子							
先生、聞いとくれよ！息子が双蛇党に入ることになったんだ！お祝いに槍を送りたいんだけど、先生に作ってもらえないかな？			先生、聞いとくれよ！息子が双蛇党に入ることになったんだ！お祝いに槍を送りたいんだけど、先生に作ってもらえないかな？			一脚の安楽椅子							
ほう……それはおめでたいですね……。フフフフ……息子さんが使命をやり抜くことができるよう、最高の槍をご用意しますよ……やり抜けるように……フフフフ。			ほう……それはおめでたいですね……。フフフフ……息子さんが使命をやり抜くことができるよう、最高の槍をご用意しますよ……やり抜けるように……フフフフ。			一脚の安楽椅子							
あちゃー、僕も先生に頼みたいことがあったんだけど。さすがベアティヌ先生は、大人気だね。			あちゃー、僕も先生に頼みたいことがあったんだけど。さすがベアティヌ先生は、大人気だね。			一脚の安楽椅子							
あの……どうして師匠は、こんなに皆さんに好かれてらっしゃるのでしょうか？			あの……どうして師匠は、こんなに皆さんに好かれてらっしゃるのでしょうか？			一脚の安楽椅子							
先生が作った物ってさ、使ってみるとすぐわかるんだよ。これは、僕のために作られた物なんだってね。あの人はいつも、誰かのために物を作っているのさ。			先生が作った物ってさ、使ってみるとすぐわかるんだよ。これは、僕のために作られた物なんだってね。あの人はいつも、誰かのために物を作っているのさ。			一脚の安楽椅子							
