錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			奇怪な死体							
血痕が微かに光っている……。犯人は「北」へと向かったようだ。			血痕が微かに光っている……。犯人は「北」へと向かったようだ。			罪への報いか							
血痕が微かに光っている……。犯人は「北東」へと向かったようだ。			血痕が微かに光っている……。犯人は「北東」へと向かったようだ。			罪への報いか							
血痕が微かに光っている……。犯人は「サファイアアベニュー国際市場」へと向かったようだ。			血痕が微かに光っている……。犯人は「サファイアアベニュー国際市場」へと向かったようだ。			罪への報いか							
血痕が微かに光っている……。犯人は何かを探すような足取りで、このあたりをうろついたようだ。			血痕が微かに光っている……。犯人は何かを探すような足取りで、このあたりをうろついたようだ。			罪への報いか							
血痕が微かに光っている……。犯人は「南」へと向かったようだ。			血痕が微かに光っている……。犯人は「南」へと向かったようだ。			罪への報いか							
血痕が微かに光っている……。犯人は、このあたりから歩調を緩めている。根城が近いのかもしれない。			血痕が微かに光っている……。犯人は、このあたりから歩調を緩めている。根城が近いのかもしれない。			罪への報いか							
薬はできたのか……！？よし、兄さんに渡してくれ！			薬はできたのか……！？よし、兄さんに渡してくれ！			罪への報いか							
おい、Forename！この薬屋が、怪我をした怪しいヤツを見かけたってよ！			おい、Forename！この薬屋が、怪我をした怪しいヤツを見かけたってよ！			罪への報いか							
ええ、そのお客様は腕から出血をされているご様子で、薬学院で治療されることを薦めたのですが、傷薬を購入されると、「ザル大門」の方向に立ち去ってしまいました。			ええ、そのお客様は腕から出血をされているご様子で、薬学院で治療されることを薦めたのですが、傷薬を購入されると、「ザル大門」の方向に立ち去ってしまいました。			罪への報いか							
よし、向こうだな！行くぞ、Forename！あんたの薬があれば、どこへ逃げても探し出せるはずだ！			よし、向こうだな！行くぞ、Forename！あんたの薬があれば、どこへ逃げても探し出せるはずだ！			罪への報いか							
それにしても、お前の作った薬は本当にすごいな……。こうもはっきりと、犯人の足跡を炙り出すことができるとは……。			それにしても、お前の作った薬は本当にすごいな……。こうもはっきりと、犯人の足跡を炙り出すことができるとは……。			罪への報いか							
来たか、Forename。あんたの薬のおかげで、ついに襲撃者の根城を突き止めたぜ。どうやら、この貸し倉庫がそうらしい。			来たか、Forename。あんたの薬のおかげで、ついに襲撃者の根城を突き止めたぜ。どうやら、この貸し倉庫がそうらしい。			罪への報いか							
倉庫を借りているのは、「アンソベルト」という商人らしい。念のために聞いておくが、この名前に聞き覚えはあるか？			倉庫を借りているのは、「アンソベルト」という商人らしい。念のために聞いておくが、この名前に聞き覚えはあるか？			罪への報いか							
なに！？エシュテム宝飾店から「心の臓の刃」を買い取った商人の名が、アンソベルトだっていうのか！？			なに！？エシュテム宝飾店から「心の臓の刃」を買い取った商人の名が、アンソベルトだっていうのか！？			罪への報いか							
