情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
ええ、残念ながら。しかし、まだ捜査は始まったばかり！私の2つの目は、必ずや不審人物の姿をキャッチしますぞ！			ええ、残念ながら。しかし、まだ捜査は始まったばかり！私の2つの目は、必ずや不審人物の姿をキャッチしますぞ！			天下無双の挑戦者							
…………。そういえば、見回りの傭兵が怪しい人影を見たと言っていた。君たちは、彼に話を聞いてみてくれないか。			…………。そういえば、見回りの傭兵が怪しい人影を見たと言っていた。君たちは、彼に話を聞いてみてくれないか。			天下無双の挑戦者							
「赤い頭巾」を被った、不審人物を探してくれ。身分を気取られることのないよう、気をつけるのだぞ。			「赤い頭巾」を被った、不審人物を探してくれ。身分を気取られることのないよう、気をつけるのだぞ。			天下無双の挑戦者							
「赤い布巾」を持った槍男……。この私が、必ずや見つけてみせますぞ！			「赤い布巾」を持った槍男……。この私が、必ずや見つけてみせますぞ！			天下無双の挑戦者							
ううむ……。この辺りに、赤い人影が見えたような気がするんだが……。			ううむ……。この辺りに、赤い人影が見えたような気がするんだが……。			天下無双の挑戦者							
むぅ、オレの気のせいのようだな。お前らも、怪しい人物がいたら必ず伝達するのだぞ。			むぅ、オレの気のせいのようだな。お前らも、怪しい人物がいたら必ず伝達するのだぞ。			天下無双の挑戦者							
……あっ、ヒルディブランド様〜！あそこに赤い人影がいますよ〜！			……あっ、ヒルディブランド様〜！あそこに赤い人影がいますよ〜！			天下無双の挑戦者							
な、なんですと！？			な、なんですと！？			天下無双の挑戦者							
……あの怪鳥、武器を盗っていったやつに似てるな。			……あの怪鳥、武器を盗っていったやつに似てるな。			天下無双の挑戦者							
ん……？　ヒルちゃん、どうかしたか？			ん……？　ヒルちゃん、どうかしたか？			天下無双の挑戦者							
な〜んだ、ギルちゃんでしたか。この辺りにも、武器怪盗はいなさそうですなぁ。さぁ、ほかをあたってみましょう。			な〜んだ、ギルちゃんでしたか。この辺りにも、武器怪盗はいなさそうですなぁ。さぁ、ほかをあたってみましょう。			天下無双の挑戦者							
ふむ……この辺りにも、「赤い布巾」を持った人物は見当たりませんなあ。			ふむ……この辺りにも、「赤い布巾」を持った人物は見当たりませんなあ。			天下無双の挑戦者							
どう、武器怪盗は見つかった？			どう、武器怪盗は見つかった？			天下無双の挑戦者							
このヒルディブランドの登場に怖気づいたのか、まだ、姿を現す様子はありませんな。			このヒルディブランドの登場に怖気づいたのか、まだ、姿を現す様子はありませんな。			天下無双の挑戦者							
そうねぇ……もうちょっと外に探しに行ってみれば？……でも、武器怪盗は決闘好きだから丸腰じゃ危険かしら。行くなら、何か武器でも持っていくことね。			そうねぇ……もうちょっと外に探しに行ってみれば？……でも、武器怪盗は決闘好きだから丸腰じゃ危険かしら。行くなら、何か武器でも持っていくことね。			天下無双の挑戦者							
ふむ、武器ですか……。			ふむ、武器ですか……。			天下無双の挑戦者							
ヒルディブランド様〜！ナシュも戦います〜！			ヒルディブランド様〜！ナシュも戦います〜！			天下無双の挑戦者							
むむ、ナシュ、その槍は……！……第七霊災の際、私がなくした槍ではないですか！			むむ、ナシュ、その槍は……！……第七霊災の際、私がなくした槍ではないですか！			天下無双の挑戦者							
そこの雪に埋まってました〜！			そこの雪に埋まってました〜！			天下無双の挑戦者							
ここで再び出会ったのも、何かの縁かもしれませんな。ナシュ、その槍は私が大事に使うことにしましょう！			ここで再び出会ったのも、何かの縁かもしれませんな。ナシュ、その槍は私が大事に使うことにしましょう！			天下無双の挑戦者							
「運命の槍」も戻ってきたことです！アドネール占星台の東で、不審人物がいないか探してみることにしましょう！			「運命の槍」も戻ってきたことです！アドネール占星台の東で、不審人物がいないか探してみることにしましょう！			天下無双の挑戦者							
