甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
鉢巻きを締める御仁もおられるが、試合とはいえ、額に一撃入れば危険だからね。急所を守れるようには、しておきたいものさ。			鉢巻きを締める御仁もおられるが、試合とはいえ、額に一撃入れば危険だからね。急所を守れるようには、しておきたいものさ。			甲冑師にとっての個性							
御前試合は公儀の場、派手な色合いや形は避けた方がよかろう。それがしが試合に臨んだときには、視界が良好な面具を顔にあてがって、気合を入れたものだ。			御前試合は公儀の場、派手な色合いや形は避けた方がよかろう。それがしが試合に臨んだときには、視界が良好な面具を顔にあてがって、気合を入れたものだ。			甲冑師にとっての個性							
御前試合にちょうどいい頭防具の定番といえば、面具だろう。試合とはいえ、額に一撃入れば危険だからね。急所を守れるようには、しておきたいものさ。			御前試合にちょうどいい頭防具の定番といえば、面具だろう。試合とはいえ、額に一撃入れば危険だからね。急所を守れるようには、しておきたいものさ。			甲冑師にとっての個性							
どうだい、何を作るか決まったかい？			どうだい、何を作るか決まったかい？			甲冑師にとっての個性							
ふむ、額や顎を守れる総面を作ることにしたのか。待ってな、素材を見繕うよ。			ふむ、額や顎を守れる総面を作ることにしたのか。待ってな、素材を見繕うよ。			甲冑師にとっての個性							
よし、これで作れるはずだ。ほらよ！			よし、これで作れるはずだ。ほらよ！			甲冑師にとっての個性							
製作に失敗して、素材が足りなくなったりしたら、改めて俺に声をかけてくれ。出来上がったら、「フウゲツ」親方に渡すといい。			製作に失敗して、素材が足りなくなったりしたら、改めて俺に声をかけてくれ。出来上がったら、「フウゲツ」親方に渡すといい。			甲冑師にとっての個性							
製作に失敗して、素材が足りなくなったりしたら、改めて俺に声をかけてくれ。出来上がったら、「フウゲツ」親方に渡すといい。			製作に失敗して、素材が足りなくなったりしたら、改めて俺に声をかけてくれ。出来上がったら、「フウゲツ」親方に渡すといい。			甲冑師にとっての個性							
ちゃんと額や顎を守ってくれそうな「御前試合用の総面」が、バッチリ出来上がってるじゃないか。早く「フウゲツ」親方に渡すといい。			ちゃんと額や顎を守ってくれそうな「御前試合用の総面」が、バッチリ出来上がってるじゃないか。早く「フウゲツ」親方に渡すといい。			甲冑師にとっての個性							
お客さんに、どちらが良いか選んで決めてもらうという話は、ブランシュティルくんから聞きましたよ。見定めて貰う品はできましたか？			お客さんに、どちらが良いか選んで決めてもらうという話は、ブランシュティルくんから聞きましたよ。見定めて貰う品はできましたか？			甲冑師にとっての個性							
なるほど……Forenameくんは、総面ときましたか。どちらが作ったものが選ばれるか、楽しみですねぇ。			なるほど……Forenameくんは、総面ときましたか。どちらが作ったものが選ばれるか、楽しみですねぇ。			甲冑師にとっての個性							
おぉ！こちらが、それがしのために作ってくださったものですか！？			おぉ！こちらが、それがしのために作ってくださったものですか！？			甲冑師にとっての個性							
誰がどちらを作ったかは言わぬ。ギョウセイ殿が気に入った方を、気にせず選んでくれ。			誰がどちらを作ったかは言わぬ。ギョウセイ殿が気に入った方を、気にせず選んでくれ。			甲冑師にとっての個性							
ふむふむ……。決まりました！			ふむふむ……。決まりました！			甲冑師にとっての個性							
して、どちらを選ぶ？			して、どちらを選ぶ？			甲冑師にとっての個性							
こちらの総面を頂戴いたす！			こちらの総面を頂戴いたす！			甲冑師にとっての個性							
ちょっと待て！銀箔押巳形兜ではなく、この総面を選ぶというのか！？			ちょっと待て！銀箔押巳形兜ではなく、この総面を選ぶというのか！？			甲冑師にとっての個性							
