クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
その東方人に仲間といっしょに付いていったら、いきなり猿ぐつわをされそうになったっちゃ！ボクは慌てて海に飛び込んで逃げたけど、仲間が拐われたっちゃ！			その東方人に仲間といっしょに付いていったら、いきなり猿ぐつわをされそうになったっちゃ！ボクは慌てて海に飛び込んで逃げたけど、仲間が拐われたっちゃ！			狙われた獲物							
そして、この島まで、どんぶらこと流されてきたそうです。キキルン族を食べ物で釣って誘拐するとは卑劣な……。			そして、この島まで、どんぶらこと流されてきたそうです。キキルン族を食べ物で釣って誘拐するとは卑劣な……。			狙われた獲物							
……ようやく、事態が飲み込めました。そちらの方は「ききるん族」という獣人なのでござるな。不覚にも、妖怪「ねずみ坊主」だと信じ込んでしまった。			……ようやく、事態が飲み込めました。そちらの方は「ききるん族」という獣人なのでござるな。不覚にも、妖怪「ねずみ坊主」だと信じ込んでしまった。			狙われた獲物							
「からくり人形」も本物の人であったし、おのれ交易商人め、とんだ詐欺師のうえに誘拐まで……。			「からくり人形」も本物の人であったし、おのれ交易商人め、とんだ詐欺師のうえに誘拐まで……。			狙われた獲物							
拙者、「ききるん族」を拐った者に心当たりがござる！競売を開いた交易商人が犯人にあい違いない。東方では珍しい種族ゆえ、売るために誘拐したのでしょう。			拙者、「ききるん族」を拐った者に心当たりがござる！競売を開いた交易商人が犯人にあい違いない。東方では珍しい種族ゆえ、売るために誘拐したのでしょう。			狙われた獲物							
そういえば、競売でネズミさんが売られてて……大変、助けてあげなきゃです～！			そういえば、競売でネズミさんが売られてて……大変、助けてあげなきゃです～！			狙われた獲物							
こうしてはおれませぬ！クガネに戻って交易商人を捕らえ、お仲間を救わねば……！			こうしてはおれませぬ！クガネに戻って交易商人を捕らえ、お仲間を救わねば……！			狙われた獲物							
……そ、そう、お侍さんの言うとおりですぞ！			……そ、そう、お侍さんの言うとおりですぞ！			狙われた獲物							
ななな、なんと！に、人形が、生きているううううううう！！			ななな、なんと！に、人形が、生きているううううううう！！			狙われた獲物							
さあ、観念するの……			さあ、観念するの……			狙われた獲物							
神妙にしろ！そなたを「ききるん族」の誘拐、ならびに、詐欺と人身売買の罪でひっ捕らえる！			神妙にしろ！そなたを「ききるん族」の誘拐、ならびに、詐欺と人身売買の罪でひっ捕らえる！			狙われた獲物							
なんですと？まったく、身に覚えがありませんが……。			なんですと？まったく、身に覚えがありませんが……。			狙われた獲物							
あなたが、この私をお縄にするというのですか？赤誠組でもない浪人の分際で……。			あなたが、この私をお縄にするというのですか？赤誠組でもない浪人の分際で……。			狙われた獲物							
くっ……！			くっ……！			狙われた獲物							
職にあぶれた田舎侍に情けをかけ、見張り役に雇ってやったのに、まんまと競売品を盗まれたあげく、雇い主に楯突くとは……。それが、義を重んじる武士のすることでしょうか？			職にあぶれた田舎侍に情けをかけ、見張り役に雇ってやったのに、まんまと競売品を盗まれたあげく、雇い主に楯突くとは……。それが、義を重んじる武士のすることでしょうか？			狙われた獲物							
それでは、この事件屋ヒルディブランドの出番ですな！こちらには、キキルン族のお仲間の証言と、私という動かぬ証拠がありますぞ！			それでは、この事件屋ヒルディブランドの出番ですな！こちらには、キキルン族のお仲間の証言と、私という動かぬ証拠がありますぞ！			狙われた獲物							
さあ、観念するのです！この私が、あなたを紳士的にキャーーーッチします！			さあ、観念するのです！この私が、あなたを紳士的にキャーーーッチします！			狙われた獲物							
事件屋ですと……？そんな怪しげなもの、このクガネでは通用しません。お尋ね者ならともかく、民をお縄にできるのは赤誠組だけ。			事件屋ですと……？そんな怪しげなもの、このクガネでは通用しません。お尋ね者ならともかく、民をお縄にできるのは赤誠組だけ。			狙われた獲物							
それでは、私はここらで失礼を……。			それでは、私はここらで失礼を……。			狙われた獲物							
