聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
占星術と風水術を編みあわせ、両者を発展させる！そのために来てみれば、「クガネの危機」を吹聴する、「バクチ風水士」がいるというではないか……。			占星術と風水術を編みあわせ、両者を発展させる！そのために来てみれば、「クガネの危機」を吹聴する、「バクチ風水士」がいるというではないか……。			天地習合							
少しばかり調べて、事の深刻さは十二分に把握した。さあ、惚けた顔をしているヒマがあったら、すぐに動くぞ！			少しばかり調べて、事の深刻さは十二分に把握した。さあ、惚けた顔をしているヒマがあったら、すぐに動くぞ！			天地習合							
あ、あぁ……力を合わせて、怒れるヌシを封じようぜ！			あ、あぁ……力を合わせて、怒れるヌシを封じようぜ！			天地習合							
だが、レヴェヴァ師。どうやってヌシを封じるつもりだ？			だが、レヴェヴァ師。どうやってヌシを封じるつもりだ？			天地習合							
今、破られかけてる結界も、占星術の力を借りたものだ。人の都合で殺された、ヌシ金狐の大いなる怒りは、そう簡単に抑えつけられないぞ……。			今、破られかけてる結界も、占星術の力を借りたものだ。人の都合で殺された、ヌシ金狐の大いなる怒りは、そう簡単に抑えつけられないぞ……。			天地習合							
破られかけている結界とやらは、おおかたアスペクト・ベネフィクを使用したのだろ？			破られかけている結界とやらは、おおかたアスペクト・ベネフィクを使用したのだろ？			天地習合							
アスペクト・ベネフィクにはあらゆるものを癒す力がある。これで、金狐の荒魂を癒し鎮めてしまえば、風水術による新たな結界で封じることも可能だろう。			アスペクト・ベネフィクにはあらゆるものを癒す力がある。これで、金狐の荒魂を癒し鎮めてしまえば、風水術による新たな結界で封じることも可能だろう。			天地習合							
つまり、占星術で「金狐の荒魂」を鎮めて、ヌシが守ろうとしていた、この土地の繁栄を、風水術でもたらそうってわけか……。			つまり、占星術で「金狐の荒魂」を鎮めて、ヌシが守ろうとしていた、この土地の繁栄を、風水術でもたらそうってわけか……。			天地習合							
ヌシ金狐の荒魂を鎮めるには、一度、弱らせてから、具現化した怨念や怨恨を癒す必要があろう。それによってスキができ、荒魂が露わになるはずだ。			ヌシ金狐の荒魂を鎮めるには、一度、弱らせてから、具現化した怨念や怨恨を癒す必要があろう。それによってスキができ、荒魂が露わになるはずだ。			天地習合							
危険な賭けになるってことか……。しかし、放っておいても、ヌシの出現は時間の問題だ。だったら、やるしかないだろう！			危険な賭けになるってことか……。しかし、放っておいても、ヌシの出現は時間の問題だ。だったら、やるしかないだろう！			天地習合							
民の退避は、私が引き受けよう。できる限りの協力は、させてくれ。結界の再構築は、私の宿願でもあるのでな。			民の退避は、私が引き受けよう。できる限りの協力は、させてくれ。結界の再構築は、私の宿願でもあるのでな。			天地習合							
真なる風水士と、天を知る占星術師がふたりいるのだ。我らが力を合わせれば、必ず運命を切り開けよう……！			真なる風水士と、天を知る占星術師がふたりいるのだ。我らが力を合わせれば、必ず運命を切り開けよう……！			天地習合							
よし……決戦の始まりだ！金狐を迎え討つなら、クガネを一望できる場所がいいだろう。クガネ城の前に、さっそく向かおうぜ！			よし……決戦の始まりだ！金狐を迎え討つなら、クガネを一望できる場所がいいだろう。クガネ城の前に、さっそく向かおうぜ！			天地習合							
ヌシが、力を取り戻したとはいえ、久方ぶりの娑婆だ。姿を現すのは、陰の気が強まる夜中だろう……。			ヌシが、力を取り戻したとはいえ、久方ぶりの娑婆だ。姿を現すのは、陰の気が強まる夜中だろう……。			天地習合							
