解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
そちらのお嬢さんを格納庫に入れてやってほしいと？			そちらのお嬢さんを格納庫に入れてやってほしいと？			はじめてのともだち							
うーん……まだ完全に調査が終わったわけではないので、関係者以外の立ち入りを禁止しているんですが……あなたの頼みならば、断るわけにもいきますまい。			うーん……まだ完全に調査が終わったわけではないので、関係者以外の立ち入りを禁止しているんですが……あなたの頼みならば、断るわけにもいきますまい。			はじめてのともだち							
そのかわり、保安上の観点から、私も彼女に同行させてもらいますよ。			そのかわり、保安上の観点から、私も彼女に同行させてもらいますよ。			はじめてのともだち							
ありがとうございます。よろしくお願いします。			ありがとうございます。よろしくお願いします。			はじめてのともだち							
私のわがままで振り回してしまって、ごめんなさい。おかげで、探していた物が見つかりました。			私のわがままで振り回してしまって、ごめんなさい。おかげで、探していた物が見つかりました。			はじめてのともだち							
それならよかった。では、私はこれで。			それならよかった。では、私はこれで。			はじめてのともだち							
格納庫に併設された兵舎の中で、ウェルリト出身の戦死者がまとめられた名簿を見つけました。そこには、知っている名前も載っていました……。			格納庫に併設された兵舎の中で、ウェルリト出身の戦死者がまとめられた名簿を見つけました。そこには、知っている名前も載っていました……。			はじめてのともだち							
ミリサンディア……私の初めての友達……。まさか、彼女も第VII軍団に転属になっていたなんて……。			ミリサンディア……私の初めての友達……。まさか、彼女も第VII軍団に転属になっていたなんて……。			はじめてのともだち							
何と言う？			何と言う？			はじめてのともだち							
友達だったのか？			友達だったのか？			はじめてのともだち							
彼女も、とは？			彼女も、とは？			はじめてのともだち							
私とミリサンディアは、元々第XIV軍団に所属していたんです。同郷ということもあって、すぐに打ち解けて友人になりました……。ですが、彼女は前線に……エオルゼアに向かうことになったんです。			私とミリサンディアは、元々第XIV軍団に所属していたんです。同郷ということもあって、すぐに打ち解けて友人になりました……。ですが、彼女は前線に……エオルゼアに向かうことになったんです。			はじめてのともだち							
あれは出征前日のことでした……彼女が、義兄妹の方々を連れて挨拶に来てくれたんです。			あれは出征前日のことでした……彼女が、義兄妹の方々を連れて挨拶に来てくれたんです。			はじめてのともだち							
