ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
私は容器の捜索が完全に終わるまで、ここで待機だそうだ。ひとりで先に行っていろ。			私は容器の捜索が完全に終わるまで、ここで待機だそうだ。ひとりで先に行っていろ。			ヴリトラの想い							
早かったな。こちらもひとまずある分の樽は汲みあげて、雪上車に載せておいたぞ。			早かったな。こちらもひとまずある分の樽は汲みあげて、雪上車に載せておいたぞ。			ヴリトラの想い							
青燐水入りのタルを雪上車に積みこんだ。ゼロやアルフィノたちは、まだ戻ってきていないようだ。見通しのいい場所で彼らが戻ってくるのを待とう。			青燐水入りのタルを雪上車に積みこんだ。ゼロやアルフィノたちは、まだ戻ってきていないようだ。見通しのいい場所で彼らが戻ってくるのを待とう。			ヴリトラの想い							
Forename、あなたたちが頼ってくれて嬉しかったわ。次はもっと早くに声をかけるの、忘れないでよね！			Forename、あなたたちが頼ってくれて嬉しかったわ。次はもっと早くに声をかけるの、忘れないでよね！			ヴリトラの想い							
ヴリトラは自分の力で前を向いた。もう大丈夫だろうさ。			ヴリトラは自分の力で前を向いた。もう大丈夫だろうさ。			ヴリトラの想い							
アジュダヤは何千年もの間ヴォイドにいるはずだけれど、眼のエーテルは闇に染まり切っていなかった。その耐性は驚異的なものよ。			アジュダヤは何千年もの間ヴォイドにいるはずだけれど、眼のエーテルは闇に染まり切っていなかった。その耐性は驚異的なものよ。			ヴリトラの想い							
だから、アジュダヤ本体も無事であると信じているわ。悲観的な想定はしすぎないようにして、前に進みましょう。			だから、アジュダヤ本体も無事であると信じているわ。悲観的な想定はしすぎないようにして、前に進みましょう。			ヴリトラの想い							
お前のことを任せられても困る。が、同行の契約は守る。			お前のことを任せられても困る。が、同行の契約は守る。			ヴリトラの想い							
我ながら、情けないことだ。何千年と生きてきたのに、いざ姉さんの手掛かりを前にすると、いともたやすく心が揺さぶられてしまう……。			我ながら、情けないことだ。何千年と生きてきたのに、いざ姉さんの手掛かりを前にすると、いともたやすく心が揺さぶられてしまう……。			ヴリトラの想い							
そんな私を励まし、ともに歩んでくれる君たちに、どれほど感謝していることか。本当にありがとう。			そんな私を励まし、ともに歩んでくれる君たちに、どれほど感謝していることか。本当にありがとう。			ヴリトラの想い							
