忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
じゃが、これはドラゴン族との戦いで受けた傷、いわば「名誉の負傷」ということになるがのう……。……どうじゃ、イシュガルドの歴史はすばらしいと思わんか？			じゃが、これはドラゴン族との戦いで受けた傷、いわば「名誉の負傷」ということになるがのう……。……どうじゃ、イシュガルドの歴史はすばらしいと思わんか？			イシュガルドの歴史							
興味をもったのなら、「聖レマノー大聖堂」の「ウトルゲルラン」様の話を聞き、理解を深めるといいじゃろうて。			興味をもったのなら、「聖レマノー大聖堂」の「ウトルゲルラン」様の話を聞き、理解を深めるといいじゃろうて。			イシュガルドの歴史							
……なるほど、イシュガルドの歴史について聞いてきたと。外から来た方には、珍しいのかもしれませんね。皇都では聖人信仰が盛んなのです。			……なるほど、イシュガルドの歴史について聞いてきたと。外から来た方には、珍しいのかもしれませんね。皇都では聖人信仰が盛んなのです。			イシュガルドの歴史							
この聖堂も、イシュガルド正教の初代教皇猊下であらせられる、「聖人レマノー」様の名を冠しております。			この聖堂も、イシュガルド正教の初代教皇猊下であらせられる、「聖人レマノー」様の名を冠しております。			イシュガルドの歴史							
これらは、イシュガルドの民が心をひとつにして、ドラゴン族と戦い続けてきた証なのです。			これらは、イシュガルドの民が心をひとつにして、ドラゴン族と戦い続けてきた証なのです。			イシュガルドの歴史							
外の冒険者の方に、すべてを理解してほしいとは申しません。ただ、イシュガルドに生きる人々が継いできた天命を、邪険にすることだけは、してはいけませんよ。			外の冒険者の方に、すべてを理解してほしいとは申しません。ただ、イシュガルドに生きる人々が継いできた天命を、邪険にすることだけは、してはいけませんよ。			イシュガルドの歴史							
イシュガルド・ランディングのノトレルシャンは、冒険者に伝えたいことがあるようだ。			イシュガルド・ランディングのノトレルシャンは、冒険者に伝えたいことがあるようだ。			博物戦艦 フラクタル・コンティニアム							
ノトレルシャンに、ウェッジからの伝言を聞いた。アジス・ラーの魔科学研究所の入口にいる「ウェッジ」と話そう。			ノトレルシャンに、ウェッジからの伝言を聞いた。アジス・ラーの魔科学研究所の入口にいる「ウェッジ」と話そう。			博物戦艦 フラクタル・コンティニアム							
ウェッジに、機能停止した「誘導システム」の新しい基板を探すよう頼まれた。博物戦艦「フラクタル・コンティニアム」にあるかもしれないという。アジス・ラーの第VI転送リングの「アラグの転送装置」を調べよう。			ウェッジに、機能停止した「誘導システム」の新しい基板を探すよう頼まれた。博物戦艦「フラクタル・コンティニアム」にあるかもしれないという。アジス・ラーの第VI転送リングの「アラグの転送装置」を調べよう。			博物戦艦 フラクタル・コンティニアム							
フラクタル・コンティニアムに入れるようになった。「博物戦艦 フラクタル・コンティニアム」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			フラクタル・コンティニアムに入れるようになった。「博物戦艦 フラクタル・コンティニアム」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			博物戦艦 フラクタル・コンティニアム							
フラクタル・コンティニアムに入り、新品のシステムユニットを入手した。魔科学研究所の入口の「ウェッジ」に「新品のシステムユニット」を渡そう。			フラクタル・コンティニアムに入り、新品のシステムユニットを入手した。魔科学研究所の入口の「ウェッジ」に「新品のシステムユニット」を渡そう。			博物戦艦 フラクタル・コンティニアム							
