流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			いざ、出航の時							
その男は、とにかく表に出るのを嫌う性格でな。俺が何かを言ったところで、素直に助力してくれるとも思えん。			その男は、とにかく表に出るのを嫌う性格でな。俺が何かを言ったところで、素直に助力してくれるとも思えん。			海雄旅団の秘策							
だが、海雄旅団の団長代行であるお前が、「団長令」として命じれば、あるいはと思ってな……。			だが、海雄旅団の団長代行であるお前が、「団長令」として命じれば、あるいはと思ってな……。			海雄旅団の秘策							
のっぴきならない事態が起こった時、ブラッドショアの三叉路で、「三つ指笛」を吹くことで、奴は姿を現す。			のっぴきならない事態が起こった時、ブラッドショアの三叉路で、「三つ指笛」を吹くことで、奴は姿を現す。			海雄旅団の秘策							
指笛を吹くのは、いつでも構わない。どうせ、今もどこかで「視て」いるだろうからな……。			指笛を吹くのは、いつでも構わない。どうせ、今もどこかで「視て」いるだろうからな……。			海雄旅団の秘策							
いや、こっちの話だ。すまないが、頼んだぞ。			いや、こっちの話だ。すまないが、頼んだぞ。			海雄旅団の秘策							
偽神獣の行方については、依然捜索中です。すみませんが、時間が経ってからまたお越しください。			偽神獣の行方については、依然捜索中です。すみませんが、時間が経ってからまたお越しください。			海雄旅団の秘策							
(-？？？？-)やれやれ……もう二度と、表舞台に上がるつもりはなかったんだがな。			(-？？？？-)やれやれ……もう二度と、表舞台に上がるつもりはなかったんだがな。			海雄旅団の秘策							
俺は元海雄旅団の……狙撃手ロレンスだ。アンタは「エオルゼアの英雄」さんだろ？知ってるぜ、ずっと「視て」たからな。			俺は元海雄旅団の……狙撃手ロレンスだ。アンタは「エオルゼアの英雄」さんだろ？知ってるぜ、ずっと「視て」たからな。			海雄旅団の秘策							
おっと、別にアンタのことを監視してたわけじゃない。うちの団員たちが上手くやってるか見学してただけさ。			おっと、別にアンタのことを監視してたわけじゃない。うちの団員たちが上手くやってるか見学してただけさ。			海雄旅団の秘策							
それにしても、ヴェイスケートだけじゃなく、まさか「霧髭」のおっさんにまで追いかけ回されるなんてな。まったく、勘弁してほしいもんだ。			それにしても、ヴェイスケートだけじゃなく、まさか「霧髭」のおっさんにまで追いかけ回されるなんてな。まったく、勘弁してほしいもんだ。			海雄旅団の秘策							
で、ついには「エオルゼアの英雄」のご登場ってわけだ。何の用で来たのかはわかってるさ、大方、偽神獣との戦いに俺を駆り出そうってんだろ？			で、ついには「エオルゼアの英雄」のご登場ってわけだ。何の用で来たのかはわかってるさ、大方、偽神獣との戦いに俺を駆り出そうってんだろ？			海雄旅団の秘策							
何と言う？			何と言う？			海雄旅団の秘策							
団長代行として命令する、協力しろ			団長代行として命令する、協力しろ			海雄旅団の秘策							
強き力は、弱き者のために			強き力は、弱き者のために			海雄旅団の秘策							
団長代行ねぇ……ハハッ！たしかに、絶対である「団長令」を持ち出されちゃ、断るわけにもいかねぇやな。			団長代行ねぇ……ハハッ！たしかに、絶対である「団長令」を持ち出されちゃ、断るわけにもいかねぇやな。			海雄旅団の秘策							
……ハッ、その言葉を持ち出されちゃ、断る手立てが見つからねぇな。			……ハッ、その言葉を持ち出されちゃ、断る手立てが見つからねぇな。			海雄旅団の秘策							
しかしな、団長代行。協力とは言うが、俺に何をさせようってんだ？			しかしな、団長代行。協力とは言うが、俺に何をさせようってんだ？			海雄旅団の秘策							
なるほどな。偽神獣とやらに勝つためには、そいつの得意技を封じる必要がある、と。			なるほどな。偽神獣とやらに勝つためには、そいつの得意技を封じる必要がある、と。			海雄旅団の秘策							
