レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			不可避の定め							
助けてくれて、ありがとうございました……！			助けてくれて、ありがとうございました……！			赤魔道士への道							
あっ……冒険者さん！お姉ちゃんを送ってくれて、ありがとう！			あっ……冒険者さん！お姉ちゃんを送ってくれて、ありがとう！			赤魔道士への道							
お姉兄さん、本当にありがとうございました！			お姉兄さん、本当にありがとうございました！			赤魔道士への道							
すごく怖かったんだ。お姉ちゃんと、二度と会えないかもって……。			すごく怖かったんだ。お姉ちゃんと、二度と会えないかもって……。			赤魔道士への道							
赤いお兄さんが、みんなやっつけてくれたんだよ！剣士の格好なのに、魔法も使って、まるでパパが言っていた、くれない……紅の…………あれ？			赤いお兄さんが、みんなやっつけてくれたんだよ！剣士の格好なのに、魔法も使って、まるでパパが言っていた、くれない……紅の…………あれ？			赤魔道士への道							
……「紅の疾風」か？20年前のアラミゴ動乱のさなかに活動した、赤魔道士の一団だ。			……「紅の疾風」か？20年前のアラミゴ動乱のさなかに活動した、赤魔道士の一団だ。			赤魔道士への道							
そう……それ！「紅の疾風」は、弱い人たちのために戦ったんだよね！？			そう……それ！「紅の疾風」は、弱い人たちのために戦ったんだよね！？			赤魔道士への道							
……フッ、懐かしい話だな。お父さんは、アラミゴの出身か。			……フッ、懐かしい話だな。お父さんは、アラミゴの出身か。			赤魔道士への道							
なるほど、それで知ってたわけだ。さて……家まで送っていこうか？			なるほど、それで知ってたわけだ。さて……家まで送っていこうか？			赤魔道士への道							
近いから大丈夫！お姉兄さんと赤いお兄さん、本当にありがとね！			近いから大丈夫！お姉兄さんと赤いお兄さん、本当にありがとね！			赤魔道士への道							
これで一件落着だな！さて……Forenameといったか。どこかで、祝杯でもあげないか？			これで一件落着だな！さて……Forenameといったか。どこかで、祝杯でもあげないか？			赤魔道士への道							
ハハハ、気が向いたらでいい！……オレはいま、ブラックブラッシュに滞在してる。酒房「コッファー＆コフィン」にくれば、会えるだろうぜ。			ハハハ、気が向いたらでいい！……オレはいま、ブラックブラッシュに滞在してる。酒房「コッファー＆コフィン」にくれば、会えるだろうぜ。			赤魔道士への道							
お、来てくれたんだな！実はあのあと、助けた姉妹の母親が訪ねてきたんだ。お礼も預かってるぜ。			お、来てくれたんだな！実はあのあと、助けた姉妹の母親が訪ねてきたんだ。お礼も預かってるぜ。			赤魔道士への道							
どうやら両親が不在の隙を狙われたらしい。裕福な商人一家でな……子どもたちのために護衛を雇ったそうだ。これで安心して、祝杯をあげられるな！			どうやら両親が不在の隙を狙われたらしい。裕福な商人一家でな……子どもたちのために護衛を雇ったそうだ。これで安心して、祝杯をあげられるな！			赤魔道士への道							
そうそう、Forename……あんたの名前、どこで聞いたか思いだしたぜ！			そうそう、Forename……あんたの名前、どこで聞いたか思いだしたぜ！			赤魔道士への道							
アラミゴ解放の立役者の名を忘れるなんて、ヤキがまわったな！オレはアラミゴの出身なんだ。故郷の連中にかわって、ここで礼を言わせてほしい。			アラミゴ解放の立役者の名を忘れるなんて、ヤキがまわったな！オレはアラミゴの出身なんだ。故郷の連中にかわって、ここで礼を言わせてほしい。			赤魔道士への道							
あんた、アラミゴ解放のために戦ってくれてるらしいな？オレはアラミゴの出身なんだ。故郷の連中にかわって、ここで礼を言わせてほしい。			あんた、アラミゴ解放のために戦ってくれてるらしいな？オレはアラミゴの出身なんだ。故郷の連中にかわって、ここで礼を言わせてほしい。			赤魔道士への道							
三都市やイシュガルドでの、あんたの八面六臂の活躍は、オレの耳にも届いていたよ。なに……「暁の血盟」とは、浅からぬつきあいでね。			三都市やイシュガルドでの、あんたの八面六臂の活躍は、オレの耳にも届いていたよ。なに……「暁の血盟」とは、浅からぬつきあいでね。			赤魔道士への道							
最初にあんたの名を教えてくれたのは、アリゼーだ。その背中に一歩でも近づきたい人がいる、って、口癖みたいに言っててな……いちど会いたいと思ってたのさ。			最初にあんたの名を教えてくれたのは、アリゼーだ。その背中に一歩でも近づきたい人がいる、って、口癖みたいに言っててな……いちど会いたいと思ってたのさ。			赤魔道士への道							
