弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
心から信頼できる仲間と一緒じゃないとダメだって、モグリンさまから諭されてしまったくぽ。モグには仲間がいないから、ダメらしいくぽ……。			心から信頼できる仲間と一緒じゃないとダメだって、モグリンさまから諭されてしまったくぽ。モグには仲間がいないから、ダメらしいくぽ……。			道は詩聖へと続く							
なあ、出会ったばかりだが、俺たちはみな戦歌を求めている。ともに「終焉の戦歌」を探す仲間になれないだろうか……？			なあ、出会ったばかりだが、俺たちはみな戦歌を求めている。ともに「終焉の戦歌」を探す仲間になれないだろうか……？			道は詩聖へと続く							
……モグと一緒に、「終焉の戦歌」を探しに行ってくれるくぽ？			……モグと一緒に、「終焉の戦歌」を探しに行ってくれるくぽ？			道は詩聖へと続く							
くぽ～！　モグにも、仲間ができたくぽ～！すっごくすっごく、嬉しいくぽ～！			くぽ～！　モグにも、仲間ができたくぽ～！すっごくすっごく、嬉しいくぽ～！			道は詩聖へと続く							
そうと決まれば、「モグモグホーム」に戻るくぽ！モグリンさまを説得するくぽ～！			そうと決まれば、「モグモグホーム」に戻るくぽ！モグリンさまを説得するくぽ～！			道は詩聖へと続く							
モグはもう、ひとりじゃないくぽ～！			モグはもう、ひとりじゃないくぽ～！			道は詩聖へと続く							
「終焉の戦歌」が、本当に見つかるかもしれません。……あとはギドゥロが……いえ、何でもありません。			「終焉の戦歌」が、本当に見つかるかもしれません。……あとはギドゥロが……いえ、何でもありません。			道は詩聖へと続く							
……ふむ、モグチャと意気投合したようくぽね。心から信頼できる仲間と一緒でなければならない……おぬしたちは、「終焉の戦歌」を探す資格を得たくぽ……。			……ふむ、モグチャと意気投合したようくぽね。心から信頼できる仲間と一緒でなければならない……おぬしたちは、「終焉の戦歌」を探す資格を得たくぽ……。			道は詩聖へと続く							
……と、言ってやりたいけど、おぬしたち、なーんだか頼りないくぽ！大事な欠片が、もうひとつ、足りていないような……。			……と、言ってやりたいけど、おぬしたち、なーんだか頼りないくぽ！大事な欠片が、もうひとつ、足りていないような……。			道は詩聖へと続く							
足りない欠片……やはり、ギドゥロの……。俺は、彼なら来てくれると思っていたのですが、それは、勘違いだったのでしょうか……？			足りない欠片……やはり、ギドゥロの……。俺は、彼なら来てくれると思っていたのですが、それは、勘違いだったのでしょうか……？			道は詩聖へと続く							
……Forenameさん、それは本当ですか！？ギドゥロの姿を、ここ雲海の地で見かけたと？			……Forenameさん、それは本当ですか！？ギドゥロの姿を、ここ雲海の地で見かけたと？			道は詩聖へと続く							
サンソン、Forename……そのギドゥロってヒトも、戦歌が大好きくぽ？			サンソン、Forename……そのギドゥロってヒトも、戦歌が大好きくぽ？			道は詩聖へと続く							
ああ……。あいつは、心から、戦歌を愛している吟遊詩人だ。			ああ……。あいつは、心から、戦歌を愛している吟遊詩人だ。			道は詩聖へと続く							
……なら、そのギドゥロが合流してから、「終焉の戦歌」を探しにいくくぽ！歌を愛する仲間は、多いほうが楽しいくぽ～！			……なら、そのギドゥロが合流してから、「終焉の戦歌」を探しにいくくぽ！歌を愛する仲間は、多いほうが楽しいくぽ～！			道は詩聖へと続く							
モグも、ギドゥロを探してみるくぽ！雲海の何処かにいるんなら、きっと見つかるくぽ。だから、サンソン……そんな悲しそうな顔はやめるくぽ！			モグも、ギドゥロを探してみるくぽ！雲海の何処かにいるんなら、きっと見つかるくぽ。だから、サンソン……そんな悲しそうな顔はやめるくぽ！			道は詩聖へと続く							
うむ、サンソンよ……おぬしの滞在を認めるくぽ……。その代わり、きっちり仲間を揃えてみせるくぽ！			うむ、サンソンよ……おぬしの滞在を認めるくぽ……。その代わり、きっちり仲間を揃えてみせるくぽ！			道は詩聖へと続く							
カストルム・オリエンスのサンソン大牙士は、ヌールヴァルの行動に怪しいところを感じているようだ。			カストルム・オリエンスのサンソン大牙士は、ヌールヴァルの行動に怪しいところを感じているようだ。			紅葉戦争の秘密							
ヌールヴァルをひとりにして、跡をつけることになった。カストルム・オリエンスの「ヌールヴァル」と話そう。			ヌールヴァルをひとりにして、跡をつけることになった。カストルム・オリエンスの「ヌールヴァル」と話そう。			紅葉戦争の秘密							
ヌールヴァルは、嘘の情報を信じて去っていった。カストルム・オリエンスの外で「サンソン大牙士」と落ち合おう。			ヌールヴァルは、嘘の情報を信じて去っていった。カストルム・オリエンスの外で「サンソン大牙士」と落ち合おう。			紅葉戦争の秘密							
