オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
早速ですが、例のごとく、玄武様の使い狸から手紙を預かっておりますぞぉ～。何やら慌てた様子だったので、火急の要件のようですなぁ～。			早速ですが、例のごとく、玄武様の使い狸から手紙を預かっておりますぞぉ～。何やら慌てた様子だったので、火急の要件のようですなぁ～。			群青の誓い							
(-玄武の手紙-)鎮石の封印が今にも破れようとしている。座敷わらしにも同様の文を届けさせるゆえ、急ぎ醴泉神社まで来られたし。			(-玄武の手紙-)鎮石の封印が今にも破れようとしている。座敷わらしにも同様の文を届けさせるゆえ、急ぎ醴泉神社まで来られたし。			群青の誓い							
「玄武」様は、ずいぶんと切羽詰まってらっしゃるようですなぁ～。ワシにはなんのことやらわかりませんがぁ～。ともあれ、お気をつけてぇ～。			「玄武」様は、ずいぶんと切羽詰まってらっしゃるようですなぁ～。ワシにはなんのことやらわかりませんがぁ～。ともあれ、お気をつけてぇ～。			群青の誓い							
よし、揃ったようじゃな。			よし、揃ったようじゃな。			群青の誓い							
手紙に書かれていた、鎮石の封印が解けそうというのは、本当でっすか！？			手紙に書かれていた、鎮石の封印が解けそうというのは、本当でっすか！？			群青の誓い							
……いかにも。ソロバンと瑞獣たちが封印を抑えているとはいえ、強大な黄龍の妖力が相手では、長くは持たんじゃろう。			……いかにも。ソロバンと瑞獣たちが封印を抑えているとはいえ、強大な黄龍の妖力が相手では、長くは持たんじゃろう。			群青の誓い							
じゃが、なにゆえ今なのじゃ……。ワシの見立てでは、まだ時間は残されていたはず……。			じゃが、なにゆえ今なのじゃ……。ワシの見立てでは、まだ時間は残されていたはず……。			群青の誓い							
っと、今は原因を追及しておる場合ではないわい！急ぎすべての四聖獣を揃え、再封印を施さなければ、黄龍が復活してしまう！			っと、今は原因を追及しておる場合ではないわい！急ぎすべての四聖獣を揃え、再封印を施さなければ、黄龍が復活してしまう！			群青の誓い							
Forename、おぬしに最後の頼みじゃ！四聖獣の残る一体、青龍のアラミタマを鎮めてもらいたい！			Forename、おぬしに最後の頼みじゃ！四聖獣の残る一体、青龍のアラミタマを鎮めてもらいたい！			群青の誓い							
おぬしなら快諾してくれると思っておったぞい！さて、あとは青龍の到着を待つばかりじゃが……			おぬしなら快諾してくれると思っておったぞい！さて、あとは青龍の到着を待つばかりじゃが……			群青の誓い							
あやつは四聖獣の中でも随一の妖力の持ち主でな。特に式鬼を操る術に長け、今やテンゼンに迫るほどの戦巧者じゃ。一筋縄ではゆかぬ相手ぞ……。			あやつは四聖獣の中でも随一の妖力の持ち主でな。特に式鬼を操る術に長け、今やテンゼンに迫るほどの戦巧者じゃ。一筋縄ではゆかぬ相手ぞ……。			群青の誓い							
(-物静かな青年の声-)待たせたね、玄武。			(-物静かな青年の声-)待たせたね、玄武。			群青の誓い							
おお、青龍よ。使いの者から聞いておろうが、黄龍を再封印するために、おぬしの力が必要になったのじゃ。			おお、青龍よ。使いの者から聞いておろうが、黄龍を再封印するために、おぬしの力が必要になったのじゃ。			群青の誓い							
そのためには、取り急ぎForenameに、おぬしのアラミタマを鎮めてもらう必要がある。こやつは白虎と朱雀を征したつわものゆえ、案ずることはない。			そのためには、取り急ぎForenameに、おぬしのアラミタマを鎮めてもらう必要がある。こやつは白虎と朱雀を征したつわものゆえ、案ずることはない。			群青の誓い							
……わかった、ならすぐに始めよう。とはいえ、こんなところで戦うわけにもいかないな。			……わかった、ならすぐに始めよう。とはいえ、こんなところで戦うわけにもいかないな。			群青の誓い							
キミは泳げるか？ひんがしの国の東沖に、僕がねぐらにしている孤島があってね。そこならば、存分に暴れられるだろう。			キミは泳げるか？ひんがしの国の東沖に、僕がねぐらにしている孤島があってね。そこならば、存分に暴れられるだろう。			群青の誓い							
そんな距離を泳がされては、おぬしを鎮める前に、Forenameの体力が尽きてしまうわい。ワシが水の神通力を使って島まで送り届けよう。			そんな距離を泳がされては、おぬしを鎮める前に、Forenameの体力が尽きてしまうわい。ワシが水の神通力を使って島まで送り届けよう。			群青の誓い							
話は決まったようだね。とはいえ道中、ヒトに見られるのも面倒だ。人気の少ない「ベッコウ島」の海岸から出発しよう。			話は決まったようだね。とはいえ道中、ヒトに見られるのも面倒だ。人気の少ない「ベッコウ島」の海岸から出発しよう。			群青の誓い							
