革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			博物学者と剥製師							
私に考えがある。ちょっと準備をするから、その間に、Forenameに頼み事をしてもいいかい？			私に考えがある。ちょっと準備をするから、その間に、Forenameに頼み事をしてもいいかい？			剥製が抱える難事							
受付の「ランダル」に材料を用意させているから、それを使って「高級ダルメルジャケット」を作ってきてほしいんだ。			受付の「ランダル」に材料を用意させているから、それを使って「高級ダルメルジャケット」を作ってきてほしいんだ。			剥製が抱える難事							
何に使うのかって顔ね、まあ、私に任せておきなさい。久しぶりの、私からの依頼だ、良いものを作ってくれると信じているよ。			何に使うのかって顔ね、まあ、私に任せておきなさい。久しぶりの、私からの依頼だ、良いものを作ってくれると信じているよ。			剥製が抱える難事							
革細工師ギルドも、乱獲のあおりを食らって、贅沢品をむやみに作っていると批判された時期があったのよ。「ゲヴァ」なら、打開策を知っているんじゃないかしら。			革細工師ギルドも、乱獲のあおりを食らって、贅沢品をむやみに作っていると批判された時期があったのよ。「ゲヴァ」なら、打開策を知っているんじゃないかしら。			剥製が抱える難事							
冒険者さん、お久しぶりです、その後はどうですか？私たちは最近、新規の注文が増えて大忙しでして……。			冒険者さん、お久しぶりです、その後はどうですか？私たちは最近、新規の注文が増えて大忙しでして……。			剥製が抱える難事							
ああ、すみません、お急ぎですよね。じゃあこれ、「ジャケットの材料」です。なくしたらまた都合しますから、よろしくお願いしますね。			ああ、すみません、お急ぎですよね。じゃあこれ、「ジャケットの材料」です。なくしたらまた都合しますから、よろしくお願いしますね。			剥製が抱える難事							
受付の「ランダル」に「ジャケットの材料」を用意させたよ。それを使って、「高級ダルメルジャケット」を作ってきて。			受付の「ランダル」に「ジャケットの材料」を用意させたよ。それを使って、「高級ダルメルジャケット」を作ってきて。			剥製が抱える難事							
Forename、「高級ダルメルジャケット」は出来上がったかい？			Forename、「高級ダルメルジャケット」は出来上がったかい？			剥製が抱える難事							
……グリダニアを離れて久しいから、どれほど技を高めたのか気になっていたけれど……。ずいぶん腕前を上げたみたいだね。			……グリダニアを離れて久しいから、どれほど技を高めたのか気になっていたけれど……。ずいぶん腕前を上げたみたいだね。			剥製が抱える難事							
す、すみませーん……。Surnameさんはいますかー？アテルーネさんが、進捗を教えろって言ってるんですけど……。			す、すみませーん……。Surnameさんはいますかー？アテルーネさんが、進捗を教えろって言ってるんですけど……。			剥製が抱える難事							
あら、いいところに来たわね、ちっこいの。あんた、Forenameが作った、この「高級ダルメルジャケット」を着てみなさい。			あら、いいところに来たわね、ちっこいの。あんた、Forenameが作った、この「高級ダルメルジャケット」を着てみなさい。			剥製が抱える難事							
ぼ、僕がですか！？Surnameさんが作ったものなら、喜んで着ますけど……ずいぶん、突然ですね……。			ぼ、僕がですか！？Surnameさんが作ったものなら、喜んで着ますけど……ずいぶん、突然ですね……。			剥製が抱える難事							
