クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
皆の者、聞いてくれ。我が国では、ムソウサイはウゲツを誤った方向へ導き、その責任も取らずに逃げた罪人とされている。			皆の者、聞いてくれ。我が国では、ムソウサイはウゲツを誤った方向へ導き、その責任も取らずに逃げた罪人とされている。			ベッコウ島の決闘							
しかし、それは誤解である。ムソウサイの真の教えとは、太平の世の侍は、その平和を護るためにこそ、刀を振るというもの。			しかし、それは誤解である。ムソウサイの真の教えとは、太平の世の侍は、その平和を護るためにこそ、刀を振るというもの。			ベッコウ島の決闘							
幕府を討って、戦乱の世を招こうとしているウゲツは、その教えの逆へ向かおうとしている。			幕府を討って、戦乱の世を招こうとしているウゲツは、その教えの逆へ向かおうとしている。			ベッコウ島の決闘							
そして、こちらのForename殿こそ、その真の教えを護る、真のムソウサイの後継者なのだ。さればこそ……			そして、こちらのForename殿こそ、その真の教えを護る、真のムソウサイの後継者なのだ。さればこそ……			ベッコウ島の決闘							
そんな理屈はもういいんだ！じゃあ、聞くが平和を護るってのは、どういうことだ？ムソウサイってのは、そのために何をしたってんだ……！？			そんな理屈はもういいんだ！じゃあ、聞くが平和を護るってのは、どういうことだ？ムソウサイってのは、そのために何をしたってんだ……！？			ベッコウ島の決闘							
確かに、ムソウサイについて我々が知ることといえば……。かつて国中の達人と決闘し、無敗を誇り、天下無双の剣豪、ムソウサイと呼ばれたという武勇伝だけです。			確かに、ムソウサイについて我々が知ることといえば……。かつて国中の達人と決闘し、無敗を誇り、天下無双の剣豪、ムソウサイと呼ばれたという武勇伝だけです。			ベッコウ島の決闘							
平和を護るためには力が不可欠。我らが日々鍛錬を繰り返すように、彼は決闘によって己の刀を高めていたのだ……。			平和を護るためには力が不可欠。我らが日々鍛錬を繰り返すように、彼は決闘によって己の刀を高めていたのだ……。			ベッコウ島の決闘							
何と言う？			何と言う？			ベッコウ島の決闘							
コガラシと名乗り世直しの旅をした			コガラシと名乗り世直しの旅をした			ベッコウ島の決闘							
コガラシと名乗り悪党を成敗した			コガラシと名乗り悪党を成敗した			ベッコウ島の決闘							
な、なんだって……？コガラシといえば、俺がガキの頃に、この国の悪党を成敗して回ったという……謎の侍の名じゃないか！			な、なんだって……？コガラシといえば、俺がガキの頃に、この国の悪党を成敗して回ったという……謎の侍の名じゃないか！			ベッコウ島の決闘							
弱者を虐げる、各地の大名や権力者を懲らしめ、風のように去っていくという、国中で噂だった……伝説の侍！			弱者を虐げる、各地の大名や権力者を懲らしめ、風のように去っていくという、国中で噂だった……伝説の侍！			ベッコウ島の決闘							
そ、そんな……その正体が……ムソウサイだったなんて……。僕は、コガラシに憧れて……侍になろうと決心したんだ！			そ、そんな……その正体が……ムソウサイだったなんて……。僕は、コガラシに憧れて……侍になろうと決心したんだ！			ベッコウ島の決闘							
じ、実は俺もそうだ……！コガラシのような侍になれば、世を直せると思ったから……。			じ、実は俺もそうだ……！コガラシのような侍になれば、世を直せると思ったから……。			ベッコウ島の決闘							
私も思えば……侍を志したきっかけは……コガラシの話を聞いたことだった……。			私も思えば……侍を志したきっかけは……コガラシの話を聞いたことだった……。			ベッコウ島の決闘							
ウゲツとの修行の旅が、それだったと……？兄はコガラシとの世直しの旅をしたことで、極端な考えに陥ってしまったのか……。			ウゲツとの修行の旅が、それだったと……？兄はコガラシとの世直しの旅をしたことで、極端な考えに陥ってしまったのか……。			ベッコウ島の決闘							
しかし、ムソウサイのことはともかく……。局長代理が、ウゲツの実妹だということは、どうしても解せませぬ！			しかし、ムソウサイのことはともかく……。局長代理が、ウゲツの実妹だということは、どうしても解せませぬ！			ベッコウ島の決闘							
そうだ、そうだ！国を壊そうとする重罪人の妹なんか、信用できるかよ！			そうだ、そうだ！国を壊そうとする重罪人の妹なんか、信用できるかよ！			ベッコウ島の決闘							
