巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
そいつはめでたい！しかし、すごいものだな……蛮神戦から生還した猛者の召喚獣を、赤子の手をひねるように、次々と撃破するなんてな！			そいつはめでたい！しかし、すごいものだな……蛮神戦から生還した猛者の召喚獣を、赤子の手をひねるように、次々と撃破するなんてな！			プリンクの試練							
……感謝するよ。目の前で「ホンモノ」の召喚魔法を見せつけられて、おのれの未熟さを思い知った。			……感謝するよ。目の前で「ホンモノ」の召喚魔法を見せつけられて、おのれの未熟さを思い知った。			プリンクの試練							
お役に立ったようで、何よりね。それじゃ、私たちはグリダニアへ戻るわ。			お役に立ったようで、何よりね。それじゃ、私たちはグリダニアへ戻るわ。			プリンクの試練							
Forenameさん、ありがとうございました。今回の経験を、無駄にはしませんよ！			Forenameさん、ありがとうございました。今回の経験を、無駄にはしませんよ！			プリンクの試練							
また相手してくれよ、じゃあね！			また相手してくれよ、じゃあね！			プリンクの試練							
残る試練は、あとひとつでございます。召喚魔法の大いなる秘法……どうか、勝ち取ってくださいませ。			残る試練は、あとひとつでございます。召喚魔法の大いなる秘法……どうか、勝ち取ってくださいませ。			プリンクの試練							
Forename、おめでとう。これで3つの試練のうち、「力」「技」のふたつの試練を乗り越えたことになるわね！			Forename、おめでとう。これで3つの試練のうち、「力」「技」のふたつの試練を乗り越えたことになるわね！			プリンクの試練							
そうそう、最後の試練について話す前に……プリンクがまた、召喚魔法の歴史を講釈してくれるそうよ。			そうそう、最後の試練について話す前に……プリンクがまた、召喚魔法の歴史を講釈してくれるそうよ。			プリンクの試練							
そもそも召喚魔法は、蛮神を倒すために生まれた魔法体系です。召喚士は蛮神討滅で大きな戦功をあげ、一時は英雄視されました。			そもそも召喚魔法は、蛮神を倒すために生まれた魔法体系です。召喚士は蛮神討滅で大きな戦功をあげ、一時は英雄視されました。			プリンクの試練							
でも一部の者がその力を悪用し……一転、弾圧の対象になった。たしか、そうだったわね？			でも一部の者がその力を悪用し……一転、弾圧の対象になった。たしか、そうだったわね？			プリンクの試練							
はい……私めを創造したサリ様は、現在でいう第三星暦の末期、弾圧から逃れつつ、蛮神討滅に力をつくした方。ベリアスを手始めに、弟子とともに多くの蛮神を葬ったのです。			はい……私めを創造したサリ様は、現在でいう第三星暦の末期、弾圧から逃れつつ、蛮神討滅に力をつくした方。ベリアスを手始めに、弟子とともに多くの蛮神を葬ったのです。			プリンクの試練							
トリスタンの力の源となった、蛮神ベリアスを倒したのも、アラグの大召喚士サリだったのね……。			トリスタンの力の源となった、蛮神ベリアスを倒したのも、アラグの大召喚士サリだったのね……。			プリンクの試練							
サリ様は、先人たちが築いた、偉大な召喚魔法が失われぬよう、文献の収集と保存、後継者の育成につとめました。			サリ様は、先人たちが築いた、偉大な召喚魔法が失われぬよう、文献の収集と保存、後継者の育成につとめました。			プリンクの試練							
一方で魔科学にも造詣が深く、特に情報技術に注目されていました。たとえば魔道書を使わない魔紋構築や、機械の力を借りて、召喚獣をより強化する技術など。			一方で魔科学にも造詣が深く、特に情報技術に注目されていました。たとえば魔道書を使わない魔紋構築や、機械の力を借りて、召喚獣をより強化する技術など。			プリンクの試練							
結局、それらの技術は未完成で、遺すには不向きだと判断されたようです。そしてサリ様は、後世の平和のために、私めを書き遺したのです。			結局、それらの技術は未完成で、遺すには不向きだと判断されたようです。そしてサリ様は、後世の平和のために、私めを書き遺したのです。			プリンクの試練							
