双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
……お断りダヨォ。もともと、里が嫌いなんだ。ボクの才能を活かすには、あの地は狭すぎる。			……お断りダヨォ。もともと、里が嫌いなんだ。ボクの才能を活かすには、あの地は狭すぎる。			雲晴れる夜に							
それに事実がどうあれェ……里の情報を持っているボクが、脱走をしたこと。そして、この地で帝国軍についていた事実は変わらない。			それに事実がどうあれェ……里の情報を持っているボクが、脱走をしたこと。そして、この地で帝国軍についていた事実は変わらない。			雲晴れる夜に							
お前の任務は、あくまでボクの誅殺……。それを遂げずに逃げ帰ったら、どうなるかなァ……？まあ、それも面白いけど……プププ。			お前の任務は、あくまでボクの誅殺……。それを遂げずに逃げ帰ったら、どうなるかなァ……？まあ、それも面白いけど……プププ。			雲晴れる夜に							
お前は、紛れもない里の優等生……。そいつを持って帰って、ボクを殺したと報告しなヨォ。そうしたらボクはもっと、自由になるんだ。			お前は、紛れもない里の優等生……。そいつを持って帰って、ボクを殺したと報告しなヨォ。そうしたらボクはもっと、自由になるんだ。			雲晴れる夜に							
……わかった。私は里の優等生として、出世することを約束しよう。死んでいった仲間たちが、誇れるような里を作ってみせる。			……わかった。私は里の優等生として、出世することを約束しよう。死んでいった仲間たちが、誇れるような里を作ってみせる。			雲晴れる夜に							
……いいネェ。そういうウザい優等生発言を聞くと、里をぶっ潰しに行きたくなっちゃう……。			……いいネェ。そういうウザい優等生発言を聞くと、里をぶっ潰しに行きたくなっちゃう……。			雲晴れる夜に							
その時は、改めてお前を殺そう。……我が心の正しさに誓って。			その時は、改めてお前を殺そう。……我が心の正しさに誓って。			雲晴れる夜に							
あの時、Forename様が来てくれて……とてもホッとしました。本当に、ありがとうございました。			あの時、Forename様が来てくれて……とてもホッとしました。本当に、ありがとうございました。			雲晴れる夜に							
おかしな話だ……。お主に「忍術」を教えていたはずなのに、逆に、忍びとしての「心」を教わることになろうとは。			おかしな話だ……。お主に「忍術」を教えていたはずなのに、逆に、忍びとしての「心」を教わることになろうとは。			雲晴れる夜に							
……改めて礼を言おう。お主のおかげで、私は己の心の正しさを見つけ、より強き刃を手に入れることができた。			……改めて礼を言おう。お主のおかげで、私は己の心の正しさを見つけ、より強き刃を手に入れることができた。			雲晴れる夜に							
お主の心、そして技能は、もう一人前の忍び……。私が教えることができる、最後の技を伝授いたそう。			お主の心、そして技能は、もう一人前の忍び……。私が教えることができる、最後の技を伝授いたそう。			雲晴れる夜に							
「活殺自在」……内在する気を操って素早く体勢を整え、必殺の「忍術」を繰り出す技……。文字どおり、活かすも殺すも、己の心次第の技だ。			「活殺自在」……内在する気を操って素早く体勢を整え、必殺の「忍術」を繰り出す技……。文字どおり、活かすも殺すも、己の心次第の技だ。			雲晴れる夜に							
……さぁ、これで長らく続いた「取引」は終いだ。我々は里に帰る、つまり……お別れだな。			……さぁ、これで長らく続いた「取引」は終いだ。我々は里に帰る、つまり……お別れだな。			雲晴れる夜に							
……と、言いたいところだが、里を良くするため、外の地のしきたりを学びたくてな、いろいろと策を講じたのだ。			……と、言いたいところだが、里を良くするため、外の地のしきたりを学びたくてな、いろいろと策を講じたのだ。			雲晴れる夜に							
私がひとりで里に帰り、長老たちに報告をしてきます。オボロ様は戦いで怪我を負い、長旅ができぬ体……。世話係を看病に残し、治り次第帰還する……って！			私がひとりで里に帰り、長老たちに報告をしてきます。オボロ様は戦いで怪我を負い、長旅ができぬ体……。世話係を看病に残し、治り次第帰還する……って！			雲晴れる夜に							
