スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			ヒスイとクレナイ							
ハリセンボムの脂を気の利く海女に渡す			ハリセンボムの脂を気の利く海女に渡す			希望のイサリ							
コルリと話す			コルリと話す			希望のイサリ							
よしと、これでキレイさっぱり片付いた、と。			よしと、これでキレイさっぱり片付いた、と。			希望のイサリ							
恩人殿、これまで付き合ってくれて、本当にありがとう！側にいてくれたおかげで、精一杯、特訓できた。おかげで、漁師の道もすっぱり諦められるよ。			恩人殿、これまで付き合ってくれて、本当にありがとう！側にいてくれたおかげで、精一杯、特訓できた。おかげで、漁師の道もすっぱり諦められるよ。			希望のイサリ							
コルリには、戻るまで待ってろって言われたが……俺は、今すぐ荷物をまとめて出ていくつもりだ。			コルリには、戻るまで待ってろって言われたが……俺は、今すぐ荷物をまとめて出ていくつもりだ。			希望のイサリ							
だが、その前に恩人殿に、礼の品を渡したい。いったん村に戻るから、一緒に来てくれ。			だが、その前に恩人殿に、礼の品を渡したい。いったん村に戻るから、一緒に来てくれ。			希望のイサリ							
おう、来てくれたか。持ち物も少ないもんで、旅支度もあっという間に終わったよ。			おう、来てくれたか。持ち物も少ないもんで、旅支度もあっという間に終わったよ。			希望のイサリ							
これで俺は村を去るが、最後にひとつだけ……。コルリに会ったら、達者でな、と伝えてくれ。それじゃ、礼の品を受けとってくれ。			これで俺は村を去るが、最後にひとつだけ……。コルリに会ったら、達者でな、と伝えてくれ。それじゃ、礼の品を受けとってくれ。			希望のイサリ							
(-漁師の叫び声-)コルリが溺れたぞ！！小屋の囲炉裏の火を起こせ！！			(-漁師の叫び声-)コルリが溺れたぞ！！小屋の囲炉裏の火を起こせ！！			希望のイサリ							
バカな、あの素潜り上手のコルリが！？小屋に運ばれたみたいだ……見にいこう！！			バカな、あの素潜り上手のコルリが！？小屋に運ばれたみたいだ……見にいこう！！			希望のイサリ							
ああ、ナヨシ……コルリが、コルリが……			ああ、ナヨシ……コルリが、コルリが……			希望のイサリ							
あのコルリちゃんが、溺れるだなんて……。			あのコルリちゃんが、溺れるだなんて……。			希望のイサリ							
本当に、コルリが溺れちまったらしい！今、この小屋で、手当を受けてるそうだ。			本当に、コルリが溺れちまったらしい！今、この小屋で、手当を受けてるそうだ。			希望のイサリ							
ああ、ナヨシ……コルリが、コルリが……。こんなことで溺れるはずないのに！！今日は、何だか心ここにあらずって感じで……。			ああ、ナヨシ……コルリが、コルリが……。こんなことで溺れるはずないのに！！今日は、何だか心ここにあらずって感じで……。			希望のイサリ							
なっ……まさかコルリが溺れたのは俺のせいか！？俺が村を出て行くなんて言ったから……。			なっ……まさかコルリが溺れたのは俺のせいか！？俺が村を出て行くなんて言ったから……。			希望のイサリ							
コルリの体温が上がらなくて、危ないらしいの！囲炉裏の火を強めたいんだけど、薪が足りなくって……ねえ、ナヨシ、どうしよう！？			コルリの体温が上がらなくて、危ないらしいの！囲炉裏の火を強めたいんだけど、薪が足りなくって……ねえ、ナヨシ、どうしよう！？			希望のイサリ							
と、と、とにかく燃やす物を集めよう！恩人殿も、何か燃やせる物があったら、出してくれ！			と、と、とにかく燃やす物を集めよう！恩人殿も、何か燃やせる物があったら、出してくれ！			希望のイサリ							
何を燃やす？			何を燃やす？			希望のイサリ							
ハリセンボムの脂			ハリセンボムの脂			希望のイサリ							
…………			…………			希望のイサリ							
はっ、確かに、あの魔物をぶち込んだら、燃えさしの樽が燃え盛った……！こいつは、使える……使えるぞ！！			はっ、確かに、あの魔物をぶち込んだら、燃えさしの樽が燃え盛った……！こいつは、使える……使えるぞ！！			希望のイサリ							
はっ、そうだハリセンボムがあるじゃないか！あれを燃えさしの樽の残骸にぶち込んだら、消えかけの種火が燃え盛った！！			はっ、そうだハリセンボムがあるじゃないか！あれを燃えさしの樽の残骸にぶち込んだら、消えかけの種火が燃え盛った！！			希望のイサリ							
燃料は俺に任せろ、心当たりがある。急いで用意するから、それまでなんとか持ちこたえさせろ！			燃料は俺に任せろ、心当たりがある。急いで用意するから、それまでなんとか持ちこたえさせろ！			希望のイサリ							
恩人殿、また助けてほしい！樽を燃やした場所で、俺がハリセンボムを釣り上げるから、そいつを倒して、「ハリセンボムの脂」を集めてくれ！			恩人殿、また助けてほしい！樽を燃やした場所で、俺がハリセンボムを釣り上げるから、そいつを倒して、「ハリセンボムの脂」を集めてくれ！			希望のイサリ							
