剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			自由騎士の誓約							
コロセウムで、この手の棄権騒ぎが起きるときは、よからぬ連中が裏で動いていることが多い……。			コロセウムで、この手の棄権騒ぎが起きるときは、よからぬ連中が裏で動いていることが多い……。			いざ、決勝戦へ……							
対戦相手の棄権で不戦勝だなんて、Forenameとしても、不本意だろう？そこで、背後関係を調べたいと思うのだが、手伝ってくれるか？			対戦相手の棄権で不戦勝だなんて、Forenameとしても、不本意だろう？そこで、背後関係を調べたいと思うのだが、手伝ってくれるか？			いざ、決勝戦へ……							
ありがとう！まずは、棄権を打診されたという「闘技会の受付人」に、詳しい話を聞いてみるのがよさそうだな。			ありがとう！まずは、棄権を打診されたという「闘技会の受付人」に、詳しい話を聞いてみるのがよさそうだな。			いざ、決勝戦へ……							
我々にも、何がなんだかさっぱりでして……棄権の話を聞いたのは「闘技会の受付人」なので、彼に聞けば、もう少し詳しい話が聞けるかもしれませんが……。			我々にも、何がなんだかさっぱりでして……棄権の話を聞いたのは「闘技会の受付人」なので、彼に聞けば、もう少し詳しい話が聞けるかもしれませんが……。			いざ、決勝戦へ……							
まずは、棄権を打診されたという「闘技会の受付人」に、詳しい話を聞いてみるのがよさそうだな。			まずは、棄権を打診されたという「闘技会の受付人」に、詳しい話を聞いてみるのがよさそうだな。			いざ、決勝戦へ……							
はい、確かに私がブラック・ロータス選手から、決勝戦を棄権する旨を聞きました。			はい、確かに私がブラック・ロータス選手から、決勝戦を棄権する旨を聞きました。			いざ、決勝戦へ……							
あれはちょうど、あなたが控室に入ったあとだったでしょうか。やってきて、控室に入られるかと思いきや、突然、棄権すると申し出てこられまして……。			あれはちょうど、あなたが控室に入ったあとだったでしょうか。やってきて、控室に入られるかと思いきや、突然、棄権すると申し出てこられまして……。			いざ、決勝戦へ……							
しかも、手続きだけ済ませると、早々に帰ろうとなさいまして……どうにか引き留めようと、追いかけたもののなしのつぶて。棄権の理由すら話してくれませんでした……。			しかも、手続きだけ済ませると、早々に帰ろうとなさいまして……どうにか引き留めようと、追いかけたもののなしのつぶて。棄権の理由すら話してくれませんでした……。			いざ、決勝戦へ……							
彼なら「パールレーン」の方へと去っていきましたよ。気になるようでしたら、そちらを捜してみてはいかがですか？			彼なら「パールレーン」の方へと去っていきましたよ。気になるようでしたら、そちらを捜してみてはいかがですか？			いざ、決勝戦へ……							
彼なら「パールレーン」の方へと去っていきましたよ。気になるようでしたら、そちらを捜してみてはいかがですか？			彼なら「パールレーン」の方へと去っていきましたよ。気になるようでしたら、そちらを捜してみてはいかがですか？			いざ、決勝戦へ……							
どうだ、何か手がかりは掴めたか？			どうだ、何か手がかりは掴めたか？			いざ、決勝戦へ……							
(-ブラック・ロータス-)おっと、追いつかれちまったか。……とっくにバレてたかもしれねェが、こうなっちまったら、もう正体を明かすしかなさそうだな。			(-ブラック・ロータス-)おっと、追いつかれちまったか。……とっくにバレてたかもしれねェが、こうなっちまったら、もう正体を明かすしかなさそうだな。			いざ、決勝戦へ……							
