彫金師ギルドのセレンディピティーは、わたわたしているようだ。			彫金師ギルドのセレンディピティーは、わたわたしているようだ。			ギルドへの私的な依頼							
あ、え～と、そうだ！先ほど銀冑団の方がいらっしゃいまして、大量の「カッパーリングズ」の製作依頼を受けたのです。			あ、え～と、そうだ！先ほど銀冑団の方がいらっしゃいまして、大量の「カッパーリングズ」の製作依頼を受けたのです。			銀冑団からの願いごと							
Forenameさんも、だいぶ上達してきましたし、そろそろギルドの仕事をやってみましょう！「カッパーリングズ」を12箱ぶん、製作してください！			Forenameさんも、だいぶ上達してきましたし、そろそろギルドの仕事をやってみましょう！「カッパーリングズ」を12箱ぶん、製作してください！			銀冑団からの願いごと							
少々数が多くて大変だと思いますが、Forenameさんなら、きっとできますよ！ギルドでの初仕事ですっ、がんばってください！			少々数が多くて大変だと思いますが、Forenameさんなら、きっとできますよ！ギルドでの初仕事ですっ、がんばってください！			銀冑団からの願いごと							
Forenameさん、おかえりなさいっ！「カッパーリングズ」を12箱、作れましたか？			Forenameさん、おかえりなさいっ！「カッパーリングズ」を12箱、作れましたか？			銀冑団からの願いごと							
……ネジジ……カッパーリングズ……フムフム……ワかっぱー！コレハ　ソコソコ　かっぱーりんぐず！			……ネジジ……カッパーリングズ……フムフム……ワかっぱー！コレハ　ソコソコ　かっぱーりんぐず！			銀冑団からの願いごと							
……「そこそこ」っていうか、コレ、どう見ても「カッパーリングズ」なんですけど……。			……「そこそこ」っていうか、コレ、どう見ても「カッパーリングズ」なんですけど……。			銀冑団からの願いごと							
って、あれ？ネジ、もしかしてこの「カッパーリングズ」を褒めてるの？			って、あれ？ネジ、もしかしてこの「カッパーリングズ」を褒めてるの？			銀冑団からの願いごと							
す、すごい！すごいですよ、Forenameさん！ネジを認めさせる品を作るなんて！			す、すごい！すごいですよ、Forenameさん！ネジを認めさせる品を作るなんて！			銀冑団からの願いごと							
ネジはエシュテムの超一流の鑑定士でさえ舌を巻くほどの「審美眼」を持っているんです。百年に渡って職人技を見てきた「目」は、まさにホンモノ。			ネジはエシュテムの超一流の鑑定士でさえ舌を巻くほどの「審美眼」を持っているんです。百年に渡って職人技を見てきた「目」は、まさにホンモノ。			銀冑団からの願いごと							
ネジに褒められる人は、ギルドでもトップクラスの彫金師数人だけです！見習いがこんなこと言われるなんて、快挙ですっ！			ネジに褒められる人は、ギルドでもトップクラスの彫金師数人だけです！見習いがこんなこと言われるなんて、快挙ですっ！			銀冑団からの願いごと							
ちなみに「カッパーリングズ」は、その名の通り銅の輪。繋ぎ合わせてチェーンメイル、つまり鎖かたびらを作る素材になります。			ちなみに「カッパーリングズ」は、その名の通り銅の輪。繋ぎ合わせてチェーンメイル、つまり鎖かたびらを作る素材になります。			銀冑団からの願いごと							
