巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
再度埋もれた壺を掘り出す			再度埋もれた壺を掘り出す			魔法都市「マハ」の陰謀							
ワンダラーパレスのスリト・カリトにからっぽの壺を渡す			ワンダラーパレスのスリト・カリトにからっぽの壺を渡す			魔法都市「マハ」の陰謀							
あぁ、君たちか……。治療法の研究は、完全に行き詰まってしまったよ。やはり、「トンベリ病」に関する情報が少なすぎる……。			あぁ、君たちか……。治療法の研究は、完全に行き詰まってしまったよ。やはり、「トンベリ病」に関する情報が少なすぎる……。			魔法都市「マハ」の陰謀							
情報かぁ……。現代に生きる僕らも、「トンベリ病」については無知です。確か、交易船が持ち帰った奇病なんですよね？			情報かぁ……。現代に生きる僕らも、「トンベリ病」については無知です。確か、交易船が持ち帰った奇病なんですよね？			魔法都市「マハ」の陰謀							
うむ、南洋に向かった交易船が持ち帰ったのだ。途中で嵐に遭遇したこの船は、目的地にはたどり着けず、漂流の果てに、絶海の孤島に漂着したと言われている。			うむ、南洋に向かった交易船が持ち帰ったのだ。途中で嵐に遭遇したこの船は、目的地にはたどり着けず、漂流の果てに、絶海の孤島に漂着したと言われている。			魔法都市「マハ」の陰謀							
その島には、ララフェル族の原住民がいてな。彼らは、衰弱しきった同族の船員たちを助けたばかりか、船の修理を手伝い、最後には贈り物まで持たせてくれたそうだ。			その島には、ララフェル族の原住民がいてな。彼らは、衰弱しきった同族の船員たちを助けたばかりか、船の修理を手伝い、最後には贈り物まで持たせてくれたそうだ。			魔法都市「マハ」の陰謀							
出港から一年以上経ったある日。誰もが沈んだものだと思っていた交易船が帰ってきたときは、それはスゴイ大騒ぎになったもんだよ。			出港から一年以上経ったある日。誰もが沈んだものだと思っていた交易船が帰ってきたときは、それはスゴイ大騒ぎになったもんだよ。			魔法都市「マハ」の陰謀							
だが、この船が帰港してからほどなくして、ニームの市民たちが、次々と「トンベリ」化していったのだ！			だが、この船が帰港してからほどなくして、ニームの市民たちが、次々と「トンベリ」化していったのだ！			魔法都市「マハ」の陰謀							
なるほど……。普通に考えれば、その「絶海の孤島」で、船員たちが「トンベリ病」に感染していたことになりますね。			なるほど……。普通に考えれば、その「絶海の孤島」で、船員たちが「トンベリ病」に感染していたことになりますね。			魔法都市「マハ」の陰謀							
……あれ、でも、おかしいな。なんで船員たちは、「トンベリ」化していなかったんです？潜伏期間があるにせよ、長い航海を耐え抜けるとは……。			……あれ、でも、おかしいな。なんで船員たちは、「トンベリ」化していなかったんです？潜伏期間があるにせよ、長い航海を耐え抜けるとは……。			魔法都市「マハ」の陰謀							
そ、そうか……病を運んできたのは船員じゃない！帰港後に封を解かれた積荷、つまり原住民から贈られた、「贈り物」こそが、「トンベリ病」の原因ということか！			そ、そうか……病を運んできたのは船員じゃない！帰港後に封を解かれた積荷、つまり原住民から贈られた、「贈り物」こそが、「トンベリ病」の原因ということか！			魔法都市「マハ」の陰謀							
つまり、原因である「贈り物」を調べれば、治療法に繋がるヒントが得られるかもしれませんね！……でも、1500年以上前のものなんて、遺ってるかどうか。			つまり、原因である「贈り物」を調べれば、治療法に繋がるヒントが得られるかもしれませんね！……でも、1500年以上前のものなんて、遺ってるかどうか。			魔法都市「マハ」の陰謀							
原住民からの贈り物、すなわち美しい「南洋の飾り壺」は、市民に公開するため、議事堂に大切に保管されていた。遺跡を探せばあるいは……。			原住民からの贈り物、すなわち美しい「南洋の飾り壺」は、市民に公開するため、議事堂に大切に保管されていた。遺跡を探せばあるいは……。			魔法都市「マハ」の陰謀							
ニームの議事堂ですって！？それなら、「ニーム浮遊遺跡」と呼ばれてるあたりですね。よし、Forename、ダメ元だけど探してみよう！			ニームの議事堂ですって！？それなら、「ニーム浮遊遺跡」と呼ばれてるあたりですね。よし、Forename、ダメ元だけど探してみよう！			魔法都市「マハ」の陰謀							
原住民からの贈り物、すなわち美しい「南洋の飾り壺」は、市民に公開するため、議事堂に大切に保管されていた。「ニーム浮遊遺跡」を探せばあるいは……。			原住民からの贈り物、すなわち美しい「南洋の飾り壺」は、市民に公開するため、議事堂に大切に保管されていた。「ニーム浮遊遺跡」を探せばあるいは……。			魔法都市「マハ」の陰謀							
