シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			祭器の秘された力							
私は、お世話になった人たちに礼を伝えてから帰るので、先にトライヨラで両親に報告をお願いできますか？			私は、お世話になった人たちに礼を伝えてから帰るので、先にトライヨラで両親に報告をお願いできますか？			祭器と作られた虚像							
おや、Forenameさんではないですか！			おや、Forenameさんではないですか！			祭器と作られた虚像							
あら、ふたたびトライヨラに戻られたということは、もしかして祭器を……！？			あら、ふたたびトライヨラに戻られたということは、もしかして祭器を……！？			祭器と作られた虚像							
ついに祭器を取り返してくださったのですね！犯人も、故郷で罪に問われると……。			ついに祭器を取り返してくださったのですね！犯人も、故郷で罪に問われると……。			祭器と作られた虚像							
父さん、母さん……ただいま！			父さん、母さん……ただいま！			祭器と作られた虚像							
Forenameさんのおかげで、無事に、祭器を取り返すことができたよ……！			Forenameさんのおかげで、無事に、祭器を取り返すことができたよ……！			祭器と作られた虚像							
話は、Forenameさんからも聞いた。遠き外つ国での難役をよくぞ果たしてくれたな。			話は、Forenameさんからも聞いた。遠き外つ国での難役をよくぞ果たしてくれたな。			祭器と作られた虚像							
それが叶ったのも、あなたのお力添えがあったからこそ。村を代表し、礼を述べさせてください。ありがとうございます……！			それが叶ったのも、あなたのお力添えがあったからこそ。村を代表し、礼を述べさせてください。ありがとうございます……！			祭器と作られた虚像							
故郷に祭器を戻したら……ふたたび封印すべきだな。			故郷に祭器を戻したら……ふたたび封印すべきだな。			祭器と作られた虚像							
村の逸話や、封じられたトラルヴィドラールの顛末からすれば、やはり、この能力を人が使いこなすのは難しいだろう。			村の逸話や、封じられたトラルヴィドラールの顛末からすれば、やはり、この能力を人が使いこなすのは難しいだろう。			祭器と作られた虚像							
