トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トラル大陸のモブハント（初級）							
画家さんにもお礼を言えたし、素敵なお話が聞けて、ぼくもトライヨラの素敵な風景をもっと探したくなっちゃった！			画家さんにもお礼を言えたし、素敵なお話が聞けて、ぼくもトライヨラの素敵な風景をもっと探したくなっちゃった！			丘より見ゆる、絵になる街							
お姉お兄ちゃんも、一緒に来てくれてありがとう！預けてた絵は、ぼくが大切にするね。すごいお礼じゃないけど、これよかったら！			お姉お兄ちゃんも、一緒に来てくれてありがとう！預けてた絵は、ぼくが大切にするね。すごいお礼じゃないけど、これよかったら！			丘より見ゆる、絵になる街							
特殊ルール： レベルアジャストベイサイド・ベヴィーのペルペル族の行商人は、困り果てているようだ。			特殊ルール： レベルアジャストベイサイド・ベヴィーのペルペル族の行商人は、困り果てているようだ。			トライヨラの御用聞き							
翼鏡の街で注文客と話す			翼鏡の街で注文客と話す			トライヨラの御用聞き							
ベイサイド・ベヴィーでペルペル族の行商人と話す			ベイサイド・ベヴィーでペルペル族の行商人と話す			トライヨラの御用聞き							
いやあ、困った……。注文された品物を届けに来たんだけど……苦手なんだよね、ここの居住区は入り組んでいて。			いやあ、困った……。注文された品物を届けに来たんだけど……苦手なんだよね、ここの居住区は入り組んでいて。			トライヨラの御用聞き							
その点、あなたはたいそう旅慣れた出で立ち。道にも詳しそうだし、注文主のお家を探して、私が商品を届けに来たと言伝をお願いできないかな？			その点、あなたはたいそう旅慣れた出で立ち。道にも詳しそうだし、注文主のお家を探して、私が商品を届けに来たと言伝をお願いできないかな？			トライヨラの御用聞き							
ういうい、本当にありがとう！それじゃあ、さっそく翼鏡の街ヘ向かい、お家を「2軒」、探してきてくれるかな。			ういうい、本当にありがとう！それじゃあ、さっそく翼鏡の街ヘ向かい、お家を「2軒」、探してきてくれるかな。			トライヨラの御用聞き							
1軒目は、青と黄色の壁で、軒先に羽飾りがぶら下がっている、高台の大きな屋敷さ。「紳士的なハヌハヌ族」がいれば、その人が注文主だよ。			1軒目は、青と黄色の壁で、軒先に羽飾りがぶら下がっている、高台の大きな屋敷さ。「紳士的なハヌハヌ族」がいれば、その人が注文主だよ。			トライヨラの御用聞き							
もう1軒は、水色の壁と黄色の屋根で、壺の飾り付けがある家だ。広い倉庫が備え付けられていて、「食いしん坊のモブリン族」が住んでいるからね！			もう1軒は、水色の壁と黄色の屋根で、壺の飾り付けがある家だ。広い倉庫が備え付けられていて、「食いしん坊のモブリン族」が住んでいるからね！			トライヨラの御用聞き							
翼鏡の街で注文主のお家を探して、言伝を頼むよ！青と黄色の壁のお宅のハヌハヌ族、水色の壁と黄色の屋根のお宅の、モブリン族のお客さんだからね。			翼鏡の街で注文主のお家を探して、言伝を頼むよ！青と黄色の壁のお宅のハヌハヌ族、水色の壁と黄色の屋根のお宅の、モブリン族のお客さんだからね。			トライヨラの御用聞き							
これは、これは、到着を心待ちにしていました！最近、やっと収穫できるようになったと聞いたもので、オック・ハヌから干したての葦を取り寄せたのですよ。			これは、これは、到着を心待ちにしていました！最近、やっと収穫できるようになったと聞いたもので、オック・ハヌから干したての葦を取り寄せたのですよ。			トライヨラの御用聞き							
この家を見てのとおり、トライヨラに住むようになっても、離れた故郷での暮らしを採り入れているんですよ。葦の香りで満ちた住居、ハヌハヌにはたまりません！			この家を見てのとおり、トライヨラに住むようになっても、離れた故郷での暮らしを採り入れているんですよ。葦の香りで満ちた住居、ハヌハヌにはたまりません！			トライヨラの御用聞き							
