トメラの村の噂好きのドワーフは、困っているようだ。			トメラの村の噂好きのドワーフは、困っているようだ。			コメラの村の事件							
人形タチノ軍事基地の最奥で、コノッグを発見した。白い球のような物体にうわごとのように話しかけるコノッグの姿に、冒険者の超える力が反応した。冒険者は過去視を通して、アノッグが落石からコノッグをかばって崖下へと転落したこと、転落したアノッグを探している最中に、コノッグが白い球を発見したこと、さらに白い球からアノッグそっくりのドワーフ族が吐き出される光景を視た。機械遺跡の坑道の「コノッグ」と話そう。			人形タチノ軍事基地の最奥で、コノッグを発見した。白い球のような物体にうわごとのように話しかけるコノッグの姿に、冒険者の超える力が反応した。冒険者は過去視を通して、アノッグが落石からコノッグをかばって崖下へと転落したこと、転落したアノッグを探している最中に、コノッグが白い球を発見したこと、さらに白い球からアノッグそっくりのドワーフ族が吐き出される光景を視た。機械遺跡の坑道の「コノッグ」と話そう。			コメラの村の傷痕							
コノッグと話した。コメラの村の「ドワーフ族の親方」と話そう。			コノッグと話した。コメラの村の「ドワーフ族の親方」と話そう。			コメラの村の傷痕							
ドワーフ族の親方と話して、コノッグを通して視た過去について伝えたが、親方にとっては理解に苦しむ話だったようだ。行方不明になったアノッグや、村を襲ったアンドロイドなど気がかりなことは多いが、今は待つことしかできない。			ドワーフ族の親方と話して、コノッグを通して視た過去について伝えたが、親方にとっては理解に苦しむ話だったようだ。行方不明になったアノッグや、村を襲ったアンドロイドなど気がかりなことは多いが、今は待つことしかできない。			コメラの村の傷痕							
コノッグに「なぐさめる」をする			コノッグに「なぐさめる」をする			コメラの村の傷痕							
事情に詳しそうな村人から話を聞く			事情に詳しそうな村人から話を聞く			コメラの村の傷痕							
コノッグと話す			コノッグと話す			コメラの村の傷痕							
再度コノッグと話す			再度コノッグと話す			コメラの村の傷痕							
さらにコノッグと話す			さらにコノッグと話す			コメラの村の傷痕							
トップラングのコノッグと話す			トップラングのコノッグと話す			コメラの村の傷痕							
ボトムラングのコノッグと話す			ボトムラングのコノッグと話す			コメラの村の傷痕							
スティルタイドのコノッグと話す			スティルタイドのコノッグと話す			コメラの村の傷痕							
コノッグと話す			コノッグと話す			コメラの村の傷痕							
再度コノッグと話す			再度コノッグと話す			コメラの村の傷痕							
コノッグを探す			コノッグを探す			コメラの村の傷痕							
人形タチノ軍事基地の指定地点で見渡す			人形タチノ軍事基地の指定地点で見渡す			コメラの村の傷痕							
