先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
ふう……タムタラの墓所に、ハウケタ御用邸……。最近、黒衣森で妖異による事件が増えています。しかし、どうにも情報が少ない……困ったものです。			ふう……タムタラの墓所に、ハウケタ御用邸……。最近、黒衣森で妖異による事件が増えています。しかし、どうにも情報が少ない……困ったものです。			記憶を失う男							
……これは例の小包？　よかった、面談に間に合ったようです。この小包の中身は、ウルダハの呪術士ギルドに依頼していた、妖異に関する一級品の資料なのです。			……これは例の小包？　よかった、面談に間に合ったようです。この小包の中身は、ウルダハの呪術士ギルドに依頼していた、妖異に関する一級品の資料なのです。			記憶を失う男							
実は、私が担当している相談者さんが、妖異に魅入られている恐れがありまして……この本を取り寄せてみたのです。			実は、私が担当している相談者さんが、妖異に魅入られている恐れがありまして……この本を取り寄せてみたのです。			記憶を失う男							
その相談者さんは、記憶の欠落が頻繁に発生し、ふと気付くと心当たりのない場所にいることがあるそうです。しかも、身体中に身に覚えのない傷が無数にできているとか。			その相談者さんは、記憶の欠落が頻繁に発生し、ふと気付くと心当たりのない場所にいることがあるそうです。しかも、身体中に身に覚えのない傷が無数にできているとか。			記憶を失う男							
……今日は、件の相談者さんとの面談の日。そろそろいらしても良い頃合いなのですが……どうにも遅いですね。			……今日は、件の相談者さんとの面談の日。そろそろいらしても良い頃合いなのですが……どうにも遅いですね。			記憶を失う男							
もしや妖異に操られ、危険な目にあっているかもしれません。クォーリーミルにいる相談者の妹「エドック」に、お兄さんの安否を確認してくださいませんか？			もしや妖異に操られ、危険な目にあっているかもしれません。クォーリーミルにいる相談者の妹「エドック」に、お兄さんの安否を確認してくださいませんか？			記憶を失う男							
クォーリーミルにいる相談者の妹「エドック」に、お兄さんの安否を確認してくださいませんか？			クォーリーミルにいる相談者の妹「エドック」に、お兄さんの安否を確認してくださいませんか？			記憶を失う男							
……えっ、ブレイヤ様が兄を探しているんですか？やだ、てっきり碩老樹瞑想窟に行っているものだとばかり……。			……えっ、ブレイヤ様が兄を探しているんですか？やだ、てっきり碩老樹瞑想窟に行っているものだとばかり……。			記憶を失う男							
ブレイヤ様のところに行っていないなら、出先から直接、仕事場に向かったのかもしれません……。「ムントゥイ醸造庫」で兄の居場所を聞いてみてください。			ブレイヤ様のところに行っていないなら、出先から直接、仕事場に向かったのかもしれません……。「ムントゥイ醸造庫」で兄の居場所を聞いてみてください。			記憶を失う男							
……すでにお聞き及びでしょうが、最近、なんだか兄……ペンスの様子がおかしいのです。どこかで倒れていなければいいのですが……。			……すでにお聞き及びでしょうが、最近、なんだか兄……ペンスの様子がおかしいのです。どこかで倒れていなければいいのですが……。			記憶を失う男							
ブレイヤ様のところに行っていないというなら、出先から直接、仕事場に向かったのかもしれません……。「ムントゥイ醸造庫」で兄の居場所を聞いてみてください。			ブレイヤ様のところに行っていないというなら、出先から直接、仕事場に向かったのかもしれません……。「ムントゥイ醸造庫」で兄の居場所を聞いてみてください。			記憶を失う男							
