リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
あの子の驕りのせいで、迷惑をかけたわね。舞の技術はともかく、まだまだラナーは真の踊り子には程遠い。今回の失敗が、教訓となればいいのだけれど……。			あの子の驕りのせいで、迷惑をかけたわね。舞の技術はともかく、まだまだラナーは真の踊り子には程遠い。今回の失敗が、教訓となればいいのだけれど……。			ザナラーンにて踊る者							
何と答える？			何と答える？			ザナラーンにて踊る者							
少し、言い過ぎでは……			少し、言い過ぎでは……			ザナラーンにて踊る者							
ずいぶん厳しいんだな			ずいぶん厳しいんだな			ザナラーンにて踊る者							
舞い踊るだけが、踊り子ではない。エオルゼア巡業を、本当の意味で成功させるためにも、私は、誰よりも厳しくあの子を指導しなければならないの。			舞い踊るだけが、踊り子ではない。エオルゼア巡業を、本当の意味で成功させるためにも、私は、誰よりも厳しくあの子を指導しなければならないの。			ザナラーンにて踊る者							
私が何を言っているのか……いずれ、あなたにもラナーにも理解できる日が来るわ。今はわからなくても……必ず……。			私が何を言っているのか……いずれ、あなたにもラナーにも理解できる日が来るわ。今はわからなくても……必ず……。			ザナラーンにて踊る者							
……さて、ウルダハでの興行だけど、予定を変更して、ラナーひとりに任せてみましょう。彼女には、公演を通じて、己を見つめ直してもらうわ。			……さて、ウルダハでの興行だけど、予定を変更して、ラナーひとりに任せてみましょう。彼女には、公演を通じて、己を見つめ直してもらうわ。			ザナラーンにて踊る者							
だから、あなたはラナーが競い合う相手として、今以上に踊り子として、実戦経験を積んできてほしいの。ウルダハを発つときに、また合流してちょうだい。			だから、あなたはラナーが競い合う相手として、今以上に踊り子として、実戦経験を積んできてほしいの。ウルダハを発つときに、また合流してちょうだい。			ザナラーンにて踊る者							
不気味な舞、か。……自分の目で確認する必要がありそうね。			不気味な舞、か。……自分の目で確認する必要がありそうね。			ザナラーンにて踊る者							
リムサ・ロミンサの下甲板層にいるナシュメラは、興行の目的を説明したいようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、興行の目的を説明したいようだ。			初舞台を舞い踊れ							
ナシュメラから、次の公演の主演に抜擢された。東ラノシアのコスタ・デル・ソルで「ナシュメラ」と話そう。			ナシュメラから、次の公演の主演に抜擢された。東ラノシアのコスタ・デル・ソルで「ナシュメラ」と話そう。			初舞台を舞い踊れ							
パトロン候補であるゲゲルジュへの挨拶を済ませた。コスタ・デル・ソルの「ラナー・ミーゴ」と話し、公演に挑もう。			パトロン候補であるゲゲルジュへの挨拶を済ませた。コスタ・デル・ソルの「ラナー・ミーゴ」と話し、公演に挑もう。			初舞台を舞い踊れ							
ラナー・ミーゴとの一騎打ちを制し、公演を無事にやり遂げた。東ラノシアでラナー・ミーゴ、ナシュメラとともに、ゲゲルジュの感想を聞こう。			ラナー・ミーゴとの一騎打ちを制し、公演を無事にやり遂げた。東ラノシアでラナー・ミーゴ、ナシュメラとともに、ゲゲルジュの感想を聞こう。			初舞台を舞い踊れ							
ゲゲルジュは一座の支援を約束し、砂蠍衆へ推薦状まで書いてもらえることになった。コスタ・デル・ソルの「ナシュメラ」と話そう。			ゲゲルジュは一座の支援を約束し、砂蠍衆へ推薦状まで書いてもらえることになった。コスタ・デル・ソルの「ナシュメラ」と話そう。			初舞台を舞い踊れ							
