宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
せ、先輩……！？そんなに簡単に引き下がっちゃって、いいの！？寮長に逆らったのがバレたら、復讐されちゃうよ！			せ、先輩……！？そんなに簡単に引き下がっちゃって、いいの！？寮長に逆らったのがバレたら、復讐されちゃうよ！			弱者の反乱							
おお、後輩ときたら、なんという怯えよう……。これほどの恐怖を乗り越え、我らは立ち上がったのです。どうか、貴方からも後輩を「励ま」してやってください。			おお、後輩ときたら、なんという怯えよう……。これほどの恐怖を乗り越え、我らは立ち上がったのです。どうか、貴方からも後輩を「励ま」してやってください。			弱者の反乱							
後輩が、先行きを案じて、ひどく怯えています……。どうか、貴方からも後輩を「励ま」してやってください。			後輩が、先行きを案じて、ひどく怯えています……。どうか、貴方からも後輩を「励ま」してやってください。			弱者の反乱							
寮長に逆らおうとしたのがバレたら、寮長に何をされるか、わかったもんじゃないよ！？もう、お先真っ暗だ！			寮長に逆らおうとしたのがバレたら、寮長に何をされるか、わかったもんじゃないよ！？もう、お先真っ暗だ！			弱者の反乱							
……あ、ありがとう。みんなの剣幕にのまれて、先行きを悲観しちゃったけど、まだ何も起きてないんだし、対策は打てるよね……。			……あ、ありがとう。みんなの剣幕にのまれて、先行きを悲観しちゃったけど、まだ何も起きてないんだし、対策は打てるよね……。			弱者の反乱							
ええ、寮長さえ除籍にできれば、恐れるものはありません。そのためにも、テオモサンに先頭に立ってもらわなければ……。ここは、貴方から本人の意思を確認してもらえませんか？			ええ、寮長さえ除籍にできれば、恐れるものはありません。そのためにも、テオモサンに先頭に立ってもらわなければ……。ここは、貴方から本人の意思を確認してもらえませんか？			弱者の反乱							
……あ、ありがとう、少し落ち着いたよ……。確かに、悪いことはまだ起きてないし、対応策なら、何か起きてから考えればいいよね。			……あ、ありがとう、少し落ち着いたよ……。確かに、悪いことはまだ起きてないし、対応策なら、何か起きてから考えればいいよね。			弱者の反乱							
テオモサンには、必ず運動の先頭に立ってもらいます。ここは、貴方から本人の意思を確認してもらえませんか？			テオモサンには、必ず運動の先頭に立ってもらいます。ここは、貴方から本人の意思を確認してもらえませんか？			弱者の反乱							
みんな、落ち着いてきたようだな……ありがとよ。それにしても、腹黒寮長の野郎……。どれだけ神学生たちを苦しめてきやがったんだッ！			みんな、落ち着いてきたようだな……ありがとよ。それにしても、腹黒寮長の野郎……。どれだけ神学生たちを苦しめてきやがったんだッ！			弱者の反乱							
今までためこんだ怒りを、ようやく吐き出せたんだから、よい解決法が見つかるといいね……。そのときが、ほんとうの祝祭だよ。			今までためこんだ怒りを、ようやく吐き出せたんだから、よい解決法が見つかるといいね……。そのときが、ほんとうの祝祭だよ。			弱者の反乱							
ありがとうございます、ようやく、まともに話し合いが始められそうです。			ありがとうございます、ようやく、まともに話し合いが始められそうです。			弱者の反乱							
