石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雲神ビスマルク							
敵将レグラ・ヴァン・ヒュドルスが命を賭して切り拓いた、蛮神討滅の好機。想いを継いで、ウヌクアルハイ、クルル、ヤ・シュトラ、ウリエンジェ、そして冒険者はそれぞれの戦場へと向かう……。仲間とともに、鬼神「ズルワーン」を倒そう！※コンテンツファインダーから攻略に参加できます。			敵将レグラ・ヴァン・ヒュドルスが命を賭して切り拓いた、蛮神討滅の好機。想いを継いで、ウヌクアルハイ、クルル、ヤ・シュトラ、ウリエンジェ、そして冒険者はそれぞれの戦場へと向かう……。仲間とともに、鬼神「ズルワーン」を倒そう！※コンテンツファインダーから攻略に参加できます。			永き冥路の果てに							
鬼神「ズルワーン」を討滅した。アジス・ラー旗艦島に戻ろう。			鬼神「ズルワーン」を討滅した。アジス・ラー旗艦島に戻ろう。			永き冥路の果てに							
冒険者らの手により、「三闘神」討滅計画はついに完了した。最後まで皇帝に忠義を尽くしたレグラ・ヴァン・ヒュドルスの死にざまに、ウヌクアルハイも感じ入るところがあったようだ。石の家の「ウヌクアルハイ」と話そう。			冒険者らの手により、「三闘神」討滅計画はついに完了した。最後まで皇帝に忠義を尽くしたレグラ・ヴァン・ヒュドルスの死にざまに、ウヌクアルハイも感じ入るところがあったようだ。石の家の「ウヌクアルハイ」と話そう。			永き冥路の果てに							
ウヌクアルハイはその仮面を外し、自身の素性を明かした。その生まれ故郷は、この世界とは異なる次元……現在では「ヴォイド」と呼ばれる世界。彼は冒険者と同じく「超える力」を持ちながら、生まれてくるのが遅かったために、守るべき世界を失った英雄の卵であった。光と闇が急速にその均衡を崩すことは、ひとつの次元を「無」に変えてしまうという。この世界が同じ道を歩まぬようにと「暁」へ遣わされた彼は、そこで得た仲間とともに、新たな一歩を踏みだすのだった。			ウヌクアルハイはその仮面を外し、自身の素性を明かした。その生まれ故郷は、この世界とは異なる次元……現在では「ヴォイド」と呼ばれる世界。彼は冒険者と同じく「超える力」を持ちながら、生まれてくるのが遅かったために、守るべき世界を失った英雄の卵であった。光と闇が急速にその均衡を崩すことは、ひとつの次元を「無」に変えてしまうという。この世界が同じ道を歩まぬようにと「暁」へ遣わされた彼は、そこで得た仲間とともに、新たな一歩を踏みだすのだった。			永き冥路の果てに							
アジス・ラー旗艦島の指定地点で待機			アジス・ラー旗艦島の指定地点で待機			永き冥路の果てに							
アジス・ラー旗艦島のウヌクアルハイと話す			アジス・ラー旗艦島のウヌクアルハイと話す			永き冥路の果てに							
魔大陸中枢へ向かう			魔大陸中枢へ向かう			永き冥路の果てに							
魔大陸中枢のウヌクアルハイと話す			魔大陸中枢のウヌクアルハイと話す			永き冥路の果てに							
鬼神「ズルワーン」を討滅			鬼神「ズルワーン」を討滅			永き冥路の果てに							
石の家のウヌクアルハイと話す			石の家のウヌクアルハイと話す			永き冥路の果てに							
光の戦士よ……とある「調査」に、ご協力いただけないでしょうか？三闘神の、最後の一柱に関するものです。			光の戦士よ……とある「調査」に、ご協力いただけないでしょうか？三闘神の、最後の一柱に関するものです。			永き冥路の果てに							
その名は、鬼神「ズルワーン」……南方大陸の獣人が奉じた、異形の神とされます。			その名は、鬼神「ズルワーン」……南方大陸の獣人が奉じた、異形の神とされます。			永き冥路の果てに							
「魔科学研究所」には、その顕現を維持するため、テンパードの生体が保存されているはずですが……位置はまだ、特定できていません。			「魔科学研究所」には、その顕現を維持するため、テンパードの生体が保存されているはずですが……位置はまだ、特定できていません。			永き冥路の果てに							
先の一戦で、女神ソフィアのテンパードが目を覚まし、思わぬ危機を招いたことは、ご存じのとおり……。「暁」も事態を重くみて、調査を始めました。			先の一戦で、女神ソフィアのテンパードが目を覚まし、思わぬ危機を招いたことは、ご存じのとおり……。「暁」も事態を重くみて、調査を始めました。			永き冥路の果てに							
