レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
ラサンシューと話し、殺害予告を受けたエディシアの護衛をすることになった。ラドヴァンは彼女の情報を集めたいようだ。グリダニアのミィ・ケット野外音楽堂付近で情報収集しよう。			ラサンシューと話し、殺害予告を受けたエディシアの護衛をすることになった。ラドヴァンは彼女の情報を集めたいようだ。グリダニアのミィ・ケット野外音楽堂付近で情報収集しよう。			殺害予告？ 人気演奏家を護れ！							
エディシアについて情報収集した。脅迫者は彼女の過激なファンという噂のようだ。ミィ・ケット野外音楽堂付近の「ラドヴァン」と話そう。			エディシアについて情報収集した。脅迫者は彼女の過激なファンという噂のようだ。ミィ・ケット野外音楽堂付近の「ラドヴァン」と話そう。			殺害予告？ 人気演奏家を護れ！							
ラドヴァンに話したところ、オンディヌという女性と話していた。エディシアの護衛を開始するため、鬼哭隊屯所付近で「ラサンシュー」と話そう。			ラドヴァンに話したところ、オンディヌという女性と話していた。エディシアの護衛を開始するため、鬼哭隊屯所付近で「ラサンシュー」と話そう。			殺害予告？ 人気演奏家を護れ！							
護衛を始めると、盗賊団が襲撃してきて、黒幕らしき仮面の女が現れ、魔物をけしかけてくるのだった。			護衛を始めると、盗賊団が襲撃してきて、黒幕らしき仮面の女が現れ、魔物をけしかけてくるのだった。			殺害予告？ 人気演奏家を護れ！							
エディシアの護衛を完了した。彼女に嫉妬するオンディヌが、盗賊団を雇って襲わせたようだ。エディシアが話したいことがあるという。グリダニアのグレートローム農場で「エディシア」と話そう。			エディシアの護衛を完了した。彼女に嫉妬するオンディヌが、盗賊団を雇って襲わせたようだ。エディシアが話したいことがあるという。グリダニアのグレートローム農場で「エディシア」と話そう。			殺害予告？ 人気演奏家を護れ！							
エディシアと話し、彼女の正体がシルフ族だと明かされた。光合成が欠かせないため、外に出る必要があったようだ。ラドヴァンは次の仕事をウルダハで探すという。ウルダハのクイックサンドで「ラドヴァン」と話そう。※「メインクエスト：新生エオルゼア」の「森都と砂都と海都と砂都と海都と森都と」を完了することで、「ウルダハ」へ行くことができるようになります。			エディシアと話し、彼女の正体がシルフ族だと明かされた。光合成が欠かせないため、外に出る必要があったようだ。ラドヴァンは次の仕事をウルダハで探すという。ウルダハのクイックサンドで「ラドヴァン」と話そう。※「メインクエスト：新生エオルゼア」の「森都と砂都と海都と砂都と海都と森都と」を完了することで、「ウルダハ」へ行くことができるようになります。			殺害予告？ 人気演奏家を護れ！							
ラドヴァンと話した。護衛の仕事が入るまで、冒険者は腕を磨くことになった。※ガンブレイカーのレベルが63以上になると、クイックサンドのラドヴァンから次のガンブレイカークエストを受注することができます。			ラドヴァンと話した。護衛の仕事が入るまで、冒険者は腕を磨くことになった。※ガンブレイカーのレベルが63以上になると、クイックサンドのラドヴァンから次のガンブレイカークエストを受注することができます。			殺害予告？ 人気演奏家を護れ！							
カーラインカフェのラドヴァンと話す			カーラインカフェのラドヴァンと話す			殺害予告？ 人気演奏家を護れ！							
鬼哭隊屯所付近のラサンシューと話す			鬼哭隊屯所付近のラサンシューと話す			殺害予告？ 人気演奏家を護れ！							
ミィ・ケット野外音楽堂付近で情報収集する			ミィ・ケット野外音楽堂付近で情報収集する			殺害予告？ 人気演奏家を護れ！							
ラドヴァンと話す			ラドヴァンと話す			殺害予告？ 人気演奏家を護れ！							
ラサンシューと話す			ラサンシューと話す			殺害予告？ 人気演奏家を護れ！							
エディシアと話す			エディシアと話す			殺害予告？ 人気演奏家を護れ！							
クイックサンドのラドヴァンと話す			クイックサンドのラドヴァンと話す			殺害予告？ 人気演奏家を護れ！							
ミィ・ケット野外音楽堂へ向かえ！			ミィ・ケット野外音楽堂へ向かえ！			殺害予告？ 人気演奏家を護れ！							
人々に話しかけて情報を集めろ！			人々に話しかけて情報を集めろ！			殺害予告？ 人気演奏家を護れ！							
エディシアを護りながら敵を倒せ！			エディシアを護りながら敵を倒せ！			殺害予告？ 人気演奏家を護れ！							
アタシたちは、冒険者というものにも疎いんで、キミがいてくれると助かるよ。			アタシたちは、冒険者というものにも疎いんで、キミがいてくれると助かるよ。			殺害予告？ 人気演奏家を護れ！							
いいぞ、様になっているじゃないか。私の見込みどおり、きっと君には才があるはず。すでにソウルクリスタルから、いくつか技も引き出せたことだろう。			いいぞ、様になっているじゃないか。私の見込みどおり、きっと君には才があるはず。すでにソウルクリスタルから、いくつか技も引き出せたことだろう。			殺害予告？ 人気演奏家を護れ！							
