ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			英雄への鎮魂歌							
ウルダハ：ナル回廊にてレベル15から受注できるクエスト、「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。			ウルダハ：ナル回廊にてレベル15から受注できるクエスト、「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。			ナナモの本気							
こ……ここが、夢にまで見たゴールドソーサー……なんと、煌びやかで楽しげな場所なのじゃ……。			こ……ここが、夢にまで見たゴールドソーサー……なんと、煌びやかで楽しげな場所なのじゃ……。			ナナモの本気							
ハッ……！！いや、遊んでいきたいなどとは、思っておらぬぞ！？			ハッ……！！いや、遊んでいきたいなどとは、思っておらぬぞ！？			ナナモの本気							
ゴッドベルトには、すでに連絡を入れてある。ワンダースクウェアの「ラウンジ・マンダヴィル」にて、待ち合わせる手はずになっているゆえ、さあ、ゆくぞ！			ゴッドベルトには、すでに連絡を入れてある。ワンダースクウェアの「ラウンジ・マンダヴィル」にて、待ち合わせる手はずになっているゆえ、さあ、ゆくぞ！			ナナモの本気							
待ち合わせのラウンジは、ここで良いはずじゃ。しばし、ゴッドベルトの到着を待つとしよう。			待ち合わせのラウンジは、ここで良いはずじゃ。しばし、ゴッドベルトの到着を待つとしよう。			ナナモの本気							
いやはや、お待たせしてしまい、申し訳ございません。			いやはや、お待たせしてしまい、申し訳ございません。			ナナモの本気							
とんでもない。急に呼び立てたのは、こちらの方じゃ。今日は、そなたに相談したいことがあってな。			とんでもない。急に呼び立てたのは、こちらの方じゃ。今日は、そなたに相談したいことがあってな。			ナナモの本気							
女王陛下に加え、Forename殿もご一緒とあっては、駆けつけぬわけにも、まいりますまい！			女王陛下に加え、Forename殿もご一緒とあっては、駆けつけぬわけにも、まいりますまい！			ナナモの本気							
砂蠍衆として、女王陛下に仕えると誓った身、いつでも駆けつけさせていただきますぞ。			砂蠍衆として、女王陛下に仕えると誓った身、いつでも駆けつけさせていただきますぞ。			ナナモの本気							
話というのは、ほかでもない。ザナラーンに身を寄せるアラミゴ難民のことじゃ。			話というのは、ほかでもない。ザナラーンに身を寄せるアラミゴ難民のことじゃ。			ナナモの本気							
祖国が解放されたことで、彼らの間に、帰国の動きが見られることは、そなたも知っておろう。しかし、住居と雇用がなければ、その先には苦しみしかない。			祖国が解放されたことで、彼らの間に、帰国の動きが見られることは、そなたも知っておろう。しかし、住居と雇用がなければ、その先には苦しみしかない。			ナナモの本気							
わらわは公費を投じることで、彼らを救いたい。そのための方策について、そなたの意見を聞きたいのじゃ。			わらわは公費を投じることで、彼らを救いたい。そのための方策について、そなたの意見を聞きたいのじゃ。			ナナモの本気							
冒険者殿を同行させておられるのは、忠臣ではない、第三者の意見を求めておられるがゆえ……そう見込んで、率直に申し上げます。			冒険者殿を同行させておられるのは、忠臣ではない、第三者の意見を求めておられるがゆえ……そう見込んで、率直に申し上げます。			ナナモの本気							
よろしくない。公費を投じて、アラミゴ難民を救うなど、もってのほかですぞ！			よろしくない。公費を投じて、アラミゴ難民を救うなど、もってのほかですぞ！			ナナモの本気							
