レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
つまり、クリスタルタワーに大きな力を注いで、オレたちが通るためのヴォイドゲートを開くのさ！			つまり、クリスタルタワーに大きな力を注いで、オレたちが通るためのヴォイドゲートを開くのさ！			闇の世界							
異界に詳しい呪術士ギルドにも相談して、実現は可能であると、お墨付きをもらっている。今は、シドを中心に、準備の最終段階を進めているところだ。			異界に詳しい呪術士ギルドにも相談して、実現は可能であると、お墨付きをもらっている。今は、シドを中心に、準備の最終段階を進めているところだ。			闇の世界							
……おお！お前も来てたのか、Forename。			……おお！お前も来てたのか、Forename。			闇の世界							
ちょうど、例の作戦の話をしていたんだ。……準備の方は順調か？			ちょうど、例の作戦の話をしていたんだ。……準備の方は順調か？			闇の世界							
ああ、ガーロンド・アイアンワークスの総力をつくして、どでかい動力を生み出す装置を用意した。すでに、シルクスの塔への接続も終わってる。			ああ、ガーロンド・アイアンワークスの総力をつくして、どでかい動力を生み出す装置を用意した。すでに、シルクスの塔への接続も終わってる。			闇の世界							
装置の調整をすませたら、あとは実際にゲートを開くのみだ。それで、お前たちを呼びにきたのさ。			装置の調整をすませたら、あとは実際にゲートを開くのみだ。それで、お前たちを呼びにきたのさ。			闇の世界							
Forename、お前も立ち会ってくれないか？「八剣士の前庭」にウェッジたちを遣っておくから、指示に従って、シルクスの塔まで来てくれ。			Forename、お前も立ち会ってくれないか？「八剣士の前庭」にウェッジたちを遣っておくから、指示に従って、シルクスの塔まで来てくれ。			闇の世界							
シドたちのことだ、きっと成功させてくれるさ。さぁ、行ってみよう！			シドたちのことだ、きっと成功させてくれるさ。さぁ、行ってみよう！			闇の世界							
シドたちのことだ、きっと成功させてくれるさ。シルクスの塔に行ってみようぜ！			シドたちのことだ、きっと成功させてくれるさ。シルクスの塔に行ってみようぜ！			闇の世界							
お前も、今回の作戦について聞いたんだろ？オレたちガーロンド・アイアンワークスの威信にかけて、必ずヴォイドゲートを開いてみせるぜ！			お前も、今回の作戦について聞いたんだろ？オレたちガーロンド・アイアンワークスの威信にかけて、必ずヴォイドゲートを開いてみせるぜ！			闇の世界							
……むしろ、心配なのはその後だ。「闇の世界」に人が踏み込んだなんて話、聞いたことがない。無事に3人を助け出せるといいんだが……。			……むしろ、心配なのはその後だ。「闇の世界」に人が踏み込んだなんて話、聞いたことがない。無事に3人を助け出せるといいんだが……。			闇の世界							
あっ、Surnameッス！ヴォイドゲートの開放に、立ち会いにきたッス？			あっ、Surnameッス！ヴォイドゲートの開放に、立ち会いにきたッス？			闇の世界							
今は、最終調整の途中……うちの社員たちが、シルクスの塔のあちこちで、装置から動力を流すための準備をしてるッス！			今は、最終調整の途中……うちの社員たちが、シルクスの塔のあちこちで、装置から動力を流すための準備をしてるッス！			闇の世界							
Surnameは、おとなしく最上階で待つといいッス！親方も、そこで指揮をとってるはずッス。			Surnameは、おとなしく最上階で待つといいッス！親方も、そこで指揮をとってるはずッス。			闇の世界							
