玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
えぇ、そうなのん！？頑張って集めてきたのに、売れるものがないだなんて、自慢のヒゲが、ヘナヘナしてきちゃうよん……。			えぇ、そうなのん！？頑張って集めてきたのに、売れるものがないだなんて、自慢のヒゲが、ヘナヘナしてきちゃうよん……。			ボクはギョリン！							
…………気遣いは無用だよん。目が……目がすべてを語りすぎているよん……。売れそうなものが、ひとつもないのねん……。			…………気遣いは無用だよん。目が……目がすべてを語りすぎているよん……。売れそうなものが、ひとつもないのねん……。			ボクはギョリン！							
……でもでも、それなら、ボクの手で、ヒトに欲しがられるものを手に入れるしかないのねん！商人として、絶対に成り上がってみせるよん！			……でもでも、それなら、ボクの手で、ヒトに欲しがられるものを手に入れるしかないのねん！商人として、絶対に成り上がってみせるよん！			ボクはギョリン！							
……って言ってみたものの、何をすればいいのかなぁん？			……って言ってみたものの、何をすればいいのかなぁん？			ボクはギョリン！							
……そうだ、魚釣りがいいかもしれないよん！お魚なら、ヒトも食べてるから、売れるはずだよねん？			……そうだ、魚釣りがいいかもしれないよん！お魚なら、ヒトも食べてるから、売れるはずだよねん？			ボクはギョリン！							
さっそく釣り場でお魚を釣るとするから、Forenameは、釣った魚が、ヒトに売れる魚か判別してよん！			さっそく釣り場でお魚を釣るとするから、Forenameは、釣った魚が、ヒトに売れる魚か判別してよん！			ボクはギョリン！							
ボクらナマズオとヒトじゃ、好みの魚が違うだろうからねん。じゃ、待ってるから来てね～ん！			ボクらナマズオとヒトじゃ、好みの魚が違うだろうからねん。じゃ、待ってるから来てね～ん！			ボクはギョリン！							
ううう……あんまりだよん……。			ううう……あんまりだよん……。			ボクはギョリン！							
釣ろうとしてたら……スベって、釣竿を落としちゃったんだよん……うぅ……。			釣ろうとしてたら……スベって、釣竿を落としちゃったんだよん……うぅ……。			ボクはギョリン！							
取ってこれないのか、って言うのん？ボクたちのような、野生じゃないナマズオは、陸で暮らしてるんだから、おいそれと川は泳げないんだよん！			取ってこれないのか、って言うのん？ボクたちのような、野生じゃないナマズオは、陸で暮らしてるんだから、おいそれと川は泳げないんだよん！			ボクはギョリン！							
Forename、ボクの大事な大事な釣竿を取ってきてくれないかなぁん？お願いだよん……うぅ……。			Forename、ボクの大事な大事な釣竿を取ってきてくれないかなぁん？お願いだよん……うぅ……。			ボクはギョリン！							
Forename、ボクの大事な大事な釣竿を取ってきてくれないかなぁん？お願いだよん……うぅ……。			Forename、ボクの大事な大事な釣竿を取ってきてくれないかなぁん？お願いだよん……うぅ……。			ボクはギョリン！							
ボクの大事な大事な釣竿……うぅ……。			ボクの大事な大事な釣竿……うぅ……。			ボクはギョリン！							
こ、これは……ボクの落とした釣竿なんだよん！取ってきてくれたのん！？ありがとう、うれしいなぁ……んふっ♪			こ、これは……ボクの落とした釣竿なんだよん！取ってきてくれたのん！？ありがとう、うれしいなぁ……んふっ♪			ボクはギョリン！							
でも、釣竿を落としちゃってから考えてたんだけれど、よくよく思ったら、魚売りって、仲間のみんなも、もうやってることなんだよねん……。			でも、釣竿を落としちゃってから考えてたんだけれど、よくよく思ったら、魚売りって、仲間のみんなも、もうやってることなんだよねん……。			ボクはギョリン！							
それに、お金持ちになるには、ほかのヒトと違うことをやらないとダメだって、絵巻物に書いてあったのを思い出したんだよん。			それに、お金持ちになるには、ほかのヒトと違うことをやらないとダメだって、絵巻物に書いてあったのを思い出したんだよん。			ボクはギョリン！							
だから、ほかの稼ぎ方がないか、改めていろいろと考えてみることに決めたんだよん！……ということで、ボクはお屋敷に戻るねんっ♪			だから、ほかの稼ぎ方がないか、改めていろいろと考えてみることに決めたんだよん！……ということで、ボクはお屋敷に戻るねんっ♪			ボクはギョリン！							
やぁ、Forename！あれから、絵巻物を読み返していたら、新たな発見をしたんだよん！			やぁ、Forename！あれから、絵巻物を読み返していたら、新たな発見をしたんだよん！			ボクはギョリン！							
なんでも、コウブツってのも、モノによってはお金になるらしいとわかったんだよん。だから、次はコウブツ探しをやってみようと思うんだよねん！			なんでも、コウブツってのも、モノによってはお金になるらしいとわかったんだよん。だから、次はコウブツ探しをやってみようと思うんだよねん！			ボクはギョリン！							
Forenameも付き合ってくれるよねん！？よろしくお願いねんっ♪			Forenameも付き合ってくれるよねん！？よろしくお願いねんっ♪			ボクはギョリン！							
