鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			直情娘、来たる							
ギルドを訪ねてきたシントウは、セッカの新たな決意を聞いて、彼女に最後の機会を与えた。それは、冒険者と勝負をして、セッカが勝ったら弟子入りを認めるというものだった。セッカとシントウは、勝負の地であるクガネに帰っていった。ブリサエルが予定を調整しおわるまで、勝負に備えて腕を上げておこう。※鍛冶師のレベルが70以上になると、鍛冶師ギルドのブリサエルから、次の鍛冶師クエストを受注することができます。			ギルドを訪ねてきたシントウは、セッカの新たな決意を聞いて、彼女に最後の機会を与えた。それは、冒険者と勝負をして、セッカが勝ったら弟子入りを認めるというものだった。セッカとシントウは、勝負の地であるクガネに帰っていった。ブリサエルが予定を調整しおわるまで、勝負に備えて腕を上げておこう。※鍛冶師のレベルが70以上になると、鍛冶師ギルドのブリサエルから、次の鍛冶師クエストを受注することができます。			直情娘、悩む							
西国際街商通りのシントウと話す			西国際街商通りのシントウと話す			直情娘、悩む							
鍛冶師ギルドのブリサエルに報告			鍛冶師ギルドのブリサエルに報告			直情娘、悩む							
ランドウルフと話す			ランドウルフと話す			直情娘、悩む							
製作手帳 クラスクエスト：小ぶりなハンマーを製作ブリサエルに小ぶりなハンマーを納品			製作手帳 クラスクエスト：小ぶりなハンマーを製作ブリサエルに小ぶりなハンマーを納品			直情娘、悩む							
セッカに真新しい鍛冶道具を渡す			セッカに真新しい鍛冶道具を渡す			直情娘、悩む							
鍛冶師ギルドのセッカと話す			鍛冶師ギルドのセッカと話す			直情娘、悩む							
ああ、悩みすぎて、僕の胃が溶解する前によく来てくれました。シントウさんが、どうすればセッカさんを認めるか知るため、キミに、頼みたいことがあったんです……。			ああ、悩みすぎて、僕の胃が溶解する前によく来てくれました。シントウさんが、どうすればセッカさんを認めるか知るため、キミに、頼みたいことがあったんです……。			直情娘、悩む							
僕には、シントウさんが言うほど、セッカさんの腕前が低いとは思えないんですよ。そりゃ、キミのように超一流と呼べるほどではないですが……。			僕には、シントウさんが言うほど、セッカさんの腕前が低いとは思えないんですよ。そりゃ、キミのように超一流と呼べるほどではないですが……。			直情娘、悩む							
彼女が、「刀鍛冶を辞めろ」なんて言われちゃうような、ひどい腕前だとは、僕には思えない……。どうも、シントウさんの発言には、なにか裏がある気がします。			彼女が、「刀鍛冶を辞めろ」なんて言われちゃうような、ひどい腕前だとは、僕には思えない……。どうも、シントウさんの発言には、なにか裏がある気がします。			直情娘、悩む							
さっき、「西国際街商通り」で「シントウ」さんを見ました。腕前を買っていたキミになら、気が緩むかもしれません……！彼の真意を、うまく聞き出してもらえませんか？			さっき、「西国際街商通り」で「シントウ」さんを見ました。腕前を買っていたキミになら、気が緩むかもしれません……！彼の真意を、うまく聞き出してもらえませんか？			直情娘、悩む							
「西国際街商通り」で、「シントウ」さんを見かけました。どうすれば、セッカさんを認めてくれるのか、うまいこと彼の真意を聞き出してください！			「西国際街商通り」で、「シントウ」さんを見かけました。どうすれば、セッカさんを認めてくれるのか、うまいこと彼の真意を聞き出してください！			直情娘、悩む							
……なに、どうすればセッカを認めるか、だと？			……なに、どうすればセッカを認めるか、だと？			直情娘、悩む							
……そなたは、不思議な女男だ。職人として、それだけの腕を持ちながら、セッカのような未熟者にかかずらいおって。			……そなたは、不思議な女男だ。職人として、それだけの腕を持ちながら、セッカのような未熟者にかかずらいおって。			直情娘、悩む							
……はっきり言っておく。今のセッカには、腕前以上に足りないものがある。そこが改善されぬ限り、弟子入りを認める気はない。			……はっきり言っておく。今のセッカには、腕前以上に足りないものがある。そこが改善されぬ限り、弟子入りを認める気はない。			直情娘、悩む							
