不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
シダーウッドのアルフィノは、リムサ・ロミンサに戻りたいようだ。			シダーウッドのアルフィノは、リムサ・ロミンサに戻りたいようだ。			荒波を撃ち抜く弾丸							
アドミラルブリッジ：提督室のメルウィブと話す			アドミラルブリッジ：提督室のメルウィブと話す			荒波を撃ち抜く弾丸							
メルウィブと話す			メルウィブと話す			荒波を撃ち抜く弾丸							
シカルドってやつ、言うことがいちいち厭味ったらしかったわね。法的に黒じゃないっていうのが、余計に腹立たしいんだから……！			シカルドってやつ、言うことがいちいち厭味ったらしかったわね。法的に黒じゃないっていうのが、余計に腹立たしいんだから……！			荒波を撃ち抜く弾丸							
……オレだって、これまでのあんたの冒険については、「知ってる」ってだけで、ほとんど部外者だ。シカルドの解釈を否定できるような立場じゃないだろう。			……オレだって、これまでのあんたの冒険については、「知ってる」ってだけで、ほとんど部外者だ。シカルドの解釈を否定できるような立場じゃないだろう。			荒波を撃ち抜く弾丸							
だから……あいつへの反論は呑み込んでおく。断罪党の処遇は提督が判断するだろうし、あんたの戦いの意味は、変わらずあんたの中にあればいいんだ。			だから……あいつへの反論は呑み込んでおく。断罪党の処遇は提督が判断するだろうし、あんたの戦いの意味は、変わらずあんたの中にあればいいんだ。			荒波を撃ち抜く弾丸							
尻尾を掴んだつもりになっていたが、筒抜けだったとは……。海都における断罪党、ひいては海賊たちの力は、衰えてなお油断ならないか……。			尻尾を掴んだつもりになっていたが、筒抜けだったとは……。海都における断罪党、ひいては海賊たちの力は、衰えてなお油断ならないか……。			荒波を撃ち抜く弾丸							
……すまない。だが、シカルドが挑発に乗ってくれたのは助かった。このことを、メルウィブ提督に伝えに戻るとしよう。			……すまない。だが、シカルドが挑発に乗ってくれたのは助かった。このことを、メルウィブ提督に伝えに戻るとしよう。			荒波を撃ち抜く弾丸							
シカルドは、かなり口が立つ男だった。それでも、メルウィブ提督ならきっとやってくれるはずさ。			シカルドは、かなり口が立つ男だった。それでも、メルウィブ提督ならきっとやってくれるはずさ。			荒波を撃ち抜く弾丸							
会談の場はアスタリシア号だったわね。断罪党の旗艦なんだから、提督にとっては敵地も同然か……。			会談の場はアスタリシア号だったわね。断罪党の旗艦なんだから、提督にとっては敵地も同然か……。			荒波を撃ち抜く弾丸							
