流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
改めて礼を言わせてくれ。この国の民を守る者として……それから、共に戦場に立つひとりの仲間として。			改めて礼を言わせてくれ。この国の民を守る者として……それから、共に戦場に立つひとりの仲間として。			僕たちは還り、君を見送ろう							
どれだけ窮地に追い込まれようとも、貴様が戦場で立ち続けている限り、勝利への希望は決して潰えぬ。			どれだけ窮地に追い込まれようとも、貴様が戦場で立ち続けている限り、勝利への希望は決して潰えぬ。			僕たちは還り、君を見送ろう							
それにしても、フォルドラが人を頼るとはな。きっと、絶望の際で必死に抗いながらも、貴様という希望の光を見失いたくなかったのだろう。			それにしても、フォルドラが人を頼るとはな。きっと、絶望の際で必死に抗いながらも、貴様という希望の光を見失いたくなかったのだろう。			僕たちは還り、君を見送ろう							
何と言う？			何と言う？			僕たちは還り、君を見送ろう							
似合わないことを言うな			似合わないことを言うな			僕たちは還り、君を見送ろう							
だからといって無茶な戦い方は勘弁だ			だからといって無茶な戦い方は勘弁だ			僕たちは還り、君を見送ろう							
貴様も頼もしかった			貴様も頼もしかった			僕たちは還り、君を見送ろう							
む、そうだろうか……？メ・ナーゴやアレンヴァルドとも話していたが、貴様は希望の光そのものであると、吾輩も改めて感じたのでな。			む、そうだろうか……？メ・ナーゴやアレンヴァルドとも話していたが、貴様は希望の光そのものであると、吾輩も改めて感じたのでな。			僕たちは還り、君を見送ろう							
先ほどの戦いでのことを言っているのか？あれは、貴様に全幅の信頼を置いていたからなのだが……少し無茶をした自覚もある……肝に銘じておこう。			先ほどの戦いでのことを言っているのか？あれは、貴様に全幅の信頼を置いていたからなのだが……少し無茶をした自覚もある……肝に銘じておこう。			僕たちは還り、君を見送ろう							
そう言われると身が引き締まるな。その改まった口調も、親近感が湧いて良いものだ。			そう言われると身が引き締まるな。その改まった口調も、親近感が湧いて良いものだ。			僕たちは還り、君を見送ろう							
それにしても、貴様ほど頼りになる癒し手はおらぬだろう。絶望に呑まれかけていた者たちの、心まで癒やしたのだからな。アラミゴを守る者として、重ねて感謝させてくれ！			それにしても、貴様ほど頼りになる癒し手はおらぬだろう。絶望に呑まれかけていた者たちの、心まで癒やしたのだからな。アラミゴを守る者として、重ねて感謝させてくれ！			僕たちは還り、君を見送ろう							
さて、ラザハンに赴くことがあれば、「アラミゴの駐在武官」にも、事の次第を報告してもらいたい。謝礼を用意しておくように命じてあるのでな。			さて、ラザハンに赴くことがあれば、「アラミゴの駐在武官」にも、事の次第を報告してもらいたい。謝礼を用意しておくように命じてあるのでな。			僕たちは還り、君を見送ろう							
ウルダハを訪問なされたと、聞き及んでおります！その後、偽神獣は発見に至ったのでしょうか？			ウルダハを訪問なされたと、聞き及んでおります！その後、偽神獣は発見に至ったのでしょうか？			僕たちは還り、君を見送ろう							
