再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			アダルキムの後継者							
マウシが剣聖の生まれ変わりでないと証明したいんだ。けどな、族長の名づけが間違っていたなんてこと、一族の者は簡単に認めてはくれないだろう。			マウシが剣聖の生まれ変わりでないと証明したいんだ。けどな、族長の名づけが間違っていたなんてこと、一族の者は簡単に認めてはくれないだろう。			「七剣」マウシの真実							
……そうだ、ウヤギル族には凄腕のシャーマンがいるんだ！彼女に過去を視てもらえば、マウシの前代がハッキリするはずさ。			……そうだ、ウヤギル族には凄腕のシャーマンがいるんだ！彼女に過去を視てもらえば、マウシの前代がハッキリするはずさ。			「七剣」マウシの真実							
あんたは、西にある洞穴、百一の啓示に向かって、「イバクハ」に話を通してくれないか？私は、マウシを探して、連れてくるからさ。			あんたは、西にある洞穴、百一の啓示に向かって、「イバクハ」に話を通してくれないか？私は、マウシを探して、連れてくるからさ。			「七剣」マウシの真実							
……異邦の旅人よ、この薄暗い洞穴に、よくぞ参った。だが、今はまだ何も語る必要はない……。語るべき者は、これから来るのであろう？			……異邦の旅人よ、この薄暗い洞穴に、よくぞ参った。だが、今はまだ何も語る必要はない……。語るべき者は、これから来るのであろう？			「七剣」マウシの真実							
Forename、待たせたな。もう、話をつけておいてくれたのかい？			Forename、待たせたな。もう、話をつけておいてくれたのかい？			「七剣」マウシの真実							
さすが、瞑想を続けるウヤギル族のシャーマンだな……。相談事をしたいのが、俺だって見抜いてたとは……。			さすが、瞑想を続けるウヤギル族のシャーマンだな……。相談事をしたいのが、俺だって見抜いてたとは……。			「七剣」マウシの真実							
それだけではない……。若きドタールの者よ、お前の悩み事とやらも知っておる。ただお前は、尋ねたいことだけを語ればよい。			それだけではない……。若きドタールの者よ、お前の悩み事とやらも知っておる。ただお前は、尋ねたいことだけを語ればよい。			「七剣」マウシの真実							
……それならば、単刀直入に聞かせてもらう。俺は、「七剣」の生まれ変わりではないのか？			……それならば、単刀直入に聞かせてもらう。俺は、「七剣」の生まれ変わりではないのか？			「七剣」マウシの真実							
……………………知らん。			……………………知らん。			「七剣」マウシの真実							
ウヤギルのシャーマンは、過去ではなく未来を視る。ゆえに、お前の前代が「七剣」であるか否かは答えられぬが、お前が未来、武の達人として名を馳せることは視えておる。			ウヤギルのシャーマンは、過去ではなく未来を視る。ゆえに、お前の前代が「七剣」であるか否かは答えられぬが、お前が未来、武の達人として名を馳せることは視えておる。			「七剣」マウシの真実							
……さあ、語るべきことは語った。欲を捨て去りしウヤギルは、礼の言葉も必要とせぬ。お前たちも今を受け入れ、ただ未来に歩み続けるがいい。			……さあ、語るべきことは語った。欲を捨て去りしウヤギルは、礼の言葉も必要とせぬ。お前たちも今を受け入れ、ただ未来に歩み続けるがいい。			「七剣」マウシの真実							
今を受け入れる、か……。それなら、きちんと「七剣」ではないと、一族の者たちに伝えたほうがいいんだろうな。			今を受け入れる、か……。それなら、きちんと「七剣」ではないと、一族の者たちに伝えたほうがいいんだろうな。			「七剣」マウシの真実							
