裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
ケイメイに、天女の羽衣を納品した。コトチョウとコトツルは、素晴らしい舞を披露した。冒険者が作成した衣装は、ふたりの芸子の魅力を一層引き立て、「クガネをどり」は大成功に終わった。楽座街の「ケイメイ」と話そう。			ケイメイに、天女の羽衣を納品した。コトチョウとコトツルは、素晴らしい舞を披露した。冒険者が作成した衣装は、ふたりの芸子の魅力を一層引き立て、「クガネをどり」は大成功に終わった。楽座街の「ケイメイ」と話そう。			天女がまとう「どれす」どす							
ケイメイと話した。ふたりの芸子の勝負は、引き分けだった。コトチョウは、冒険者が仕立てた「ドレス」とコトツルから受け継いだ着物に身を包み、もてなしの心で、花街を背負っていくことだろう。			ケイメイと話した。ふたりの芸子の勝負は、引き分けだった。コトチョウは、冒険者が仕立てた「ドレス」とコトツルから受け継いだ着物に身を包み、もてなしの心で、花街を背負っていくことだろう。			天女がまとう「どれす」どす							
コトチョウと話す			コトチョウと話す			天女がまとう「どれす」どす							
ケイメイに報告			ケイメイに報告			天女がまとう「どれす」どす							
コトツルと話す			コトツルと話す			天女がまとう「どれす」どす							
ケイメイと話す			ケイメイと話す			天女がまとう「どれす」どす							
ヤギリと話して羽衣の材料を入手			ヤギリと話して羽衣の材料を入手			天女がまとう「どれす」どす							
製作手帳 クラスクエスト：天女の羽衣を製作ケイメイに天女の羽衣を納品			製作手帳 クラスクエスト：天女の羽衣を製作ケイメイに天女の羽衣を納品			天女がまとう「どれす」どす							
ケイメイと話す			ケイメイと話す			天女がまとう「どれす」どす							
Forenameさん、よく来てくれました！コトチョウは、心を入れ替えて下働きに励みました。おかげで、早くも芸子に返り咲くことになりましたよ！			Forenameさん、よく来てくれました！コトチョウは、心を入れ替えて下働きに励みました。おかげで、早くも芸子に返り咲くことになりましたよ！			天女がまとう「どれす」どす							
復帰は、年に一度の「クガネをどり」。舞子も芸子も総出で行われる、それは華やかな舞踏公演で、クガネ中の人々が見物に集まる、三条花街の最大の催しです。			復帰は、年に一度の「クガネをどり」。舞子も芸子も総出で行われる、それは華やかな舞踏公演で、クガネ中の人々が見物に集まる、三条花街の最大の催しです。			天女がまとう「どれす」どす							
この公演で、もっとも高い評価を受けた芸子が、一番人気として、花街を引っ張っていくことになります。もちろん、ここ数年は、コトツルの独壇場でした。			この公演で、もっとも高い評価を受けた芸子が、一番人気として、花街を引っ張っていくことになります。もちろん、ここ数年は、コトツルの独壇場でした。			天女がまとう「どれす」どす							
ところが、突然、コトツルが結婚のため引退を表明し、今回の「クガネをどり」の出演を辞退してしまったのです！コトチョウの復帰が早まったのも、その影響でしょう……。			ところが、突然、コトツルが結婚のため引退を表明し、今回の「クガネをどり」の出演を辞退してしまったのです！コトチョウの復帰が早まったのも、その影響でしょう……。			天女がまとう「どれす」どす							
