カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
その様子を見た男は、すぐに動かねば集落を守れぬと悟った。そして、たったひとり魔物の大群に、挑むことを選んだ。まだ幼い子どもを、アナンタ族に預けて……。			その様子を見た男は、すぐに動かねば集落を守れぬと悟った。そして、たったひとり魔物の大群に、挑むことを選んだ。まだ幼い子どもを、アナンタ族に預けて……。			剣に誓う							
男は孤軍奮闘し、次々と魔物を仕留めた。そうして、ある洞窟まで魔物の群れを押し返したが、ついには石化毒に犯され、徐々に身動きがとれなくなっていった。			男は孤軍奮闘し、次々と魔物を仕留めた。そうして、ある洞窟まで魔物の群れを押し返したが、ついには石化毒に犯され、徐々に身動きがとれなくなっていった。			剣に誓う							
それでも最後の力を振り絞り、洞窟の入口を崩落させると、わずかに残った穴を、石と化しつつある己の身体で塞いだのだ。			それでも最後の力を振り絞り、洞窟の入口を崩落させると、わずかに残った穴を、石と化しつつある己の身体で塞いだのだ。			剣に誓う							
……その男の名は、メ・アト・ヌン。お前の父親だ……。			……その男の名は、メ・アト・ヌン。お前の父親だ……。			剣に誓う							
奴を、「ヌン」争いの決闘から逃げた臆病者と誹る者もいた。しかし本当は、誰よりも勇敢な戦士だったのだ。			奴を、「ヌン」争いの決闘から逃げた臆病者と誹る者もいた。しかし本当は、誰よりも勇敢な戦士だったのだ。			剣に誓う							
この剣に見覚えはないか……？メ・アトが命を落とした、崩壊した洞窟の入口……つまり、この場所にずっと放置されていた剣なのだが……。			この剣に見覚えはないか……？メ・アトが命を落とした、崩壊した洞窟の入口……つまり、この場所にずっと放置されていた剣なのだが……。			剣に誓う							
……親父の、剣だ……。じゃあ……本当に、一族を守るために……アンタ……オレを捨てて逃げた、臆病者じゃなかったのかよ……？			……親父の、剣だ……。じゃあ……本当に、一族を守るために……アンタ……オレを捨てて逃げた、臆病者じゃなかったのかよ……？			剣に誓う							
親父…………オレ…………アンタを、誇りに思っていいのか…………？			親父…………オレ…………アンタを、誇りに思っていいのか…………？			剣に誓う							
メ・ゼト・ティアよ、強く清い男になれ！私を越え……父を越える偉大な「ヌン」に！			メ・ゼト・ティアよ、強く清い男になれ！私を越え……父を越える偉大な「ヌン」に！			剣に誓う							
………………借りるよ、親父。			………………借りるよ、親父。			剣に誓う							
メ・ラツ・ヌンめ……こんなところに呼び出すなんて、何を考えている？			メ・ラツ・ヌンめ……こんなところに呼び出すなんて、何を考えている？			剣に誓う							
そうか、決闘の立会人を頼まれたか。ならば、ここより南東の谷間で待っていてくれ。			そうか、決闘の立会人を頼まれたか。ならば、ここより南東の谷間で待っていてくれ。			剣に誓う							
確かに、アナンタ族の集落に連れて行かれて、こわくなって逃げ出した記憶がおぼろげにあるんです……。メ・ラツ・ヌンが話したとおりだ……。			確かに、アナンタ族の集落に連れて行かれて、こわくなって逃げ出した記憶がおぼろげにあるんです……。メ・ラツ・ヌンが話したとおりだ……。			剣に誓う							
親父は、オレを捨てたわけじゃなかったんですね……集落を守るために、立派に戦って散ったんだ……。			親父は、オレを捨てたわけじゃなかったんですね……集落を守るために、立派に戦って散ったんだ……。			剣に誓う							
…………。			…………。			剣に誓う							
オレも……親父が守ろうとしたものを守りたい……守れる男になりたい……！！			オレも……親父が守ろうとしたものを守りたい……守れる男になりたい……！！			剣に誓う							
師匠……オレ、行かなきゃ。ピーリングストーンズの「メ・ラツ・ヌン」に会いに。			師匠……オレ、行かなきゃ。ピーリングストーンズの「メ・ラツ・ヌン」に会いに。			剣に誓う							
