エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			交わる世界							
ご存じでしょうが、異界の敵ともなるとその戦力は未知数……今回もお力添えをいただけないでしょうか？			ご存じでしょうが、異界の敵ともなるとその戦力は未知数……今回もお力添えをいただけないでしょうか？			一万年の夢の残響							
何と言う？			何と言う？			一万年の夢の残響							
もちろんだ！			もちろんだ！			一万年の夢の残響							
この件への協力は惜しまない			この件への協力は惜しまない			一万年の夢の残響							
ありがとうございます！では、マムークにいる「トラージャ」に声をかけ、バクージャジャ殿の所在を確認しつつ、合流願います！			ありがとうございます！では、マムークにいる「トラージャ」に声をかけ、バクージャジャ殿の所在を確認しつつ、合流願います！			一万年の夢の残響							
マムークにいる「トラージャ」に声をかけ、バクージャジャ殿の所在を確認しつつ、合流願います！			マムークにいる「トラージャ」に声をかけ、バクージャジャ殿の所在を確認しつつ、合流願います！			一万年の夢の残響							
Forename殿ですね？警備隊長のバクージャジャ殿は、ゴクドラーク岩窟の付近にて、「エコーズの残滓」を捜索中です。			Forename殿ですね？警備隊長のバクージャジャ殿は、ゴクドラーク岩窟の付近にて、「エコーズの残滓」を捜索中です。			一万年の夢の残響							
こちらの飛獣で近くまでご案内いたしますので、到着次第、北の方へ向かってください！			こちらの飛獣で近くまでご案内いたしますので、到着次第、北の方へ向かってください！			一万年の夢の残響							
以後、マムークの「トラージャ」と話すことで、「ジュノ下層」入口の近くまで移動することができます。			以後、マムークの「トラージャ」と話すことで、「ジュノ下層」入口の近くまで移動することができます。			一万年の夢の残響							
「ジュノ下層」入口の近くまで移動しますか？			「ジュノ下層」入口の近くまで移動しますか？			一万年の夢の残響							
(-魔のバクージャジャ-)待ってたよォ、Forename。さっそくだけど、これを見てくれるかい？			(-魔のバクージャジャ-)待ってたよォ、Forename。さっそくだけど、これを見てくれるかい？			一万年の夢の残響							
(-戦のバクージャジャ-)こいつら、話をする間もなくいきなり襲いかかってきやがった。ずいぶんと好戦的な連中みてェだぜ。			(-戦のバクージャジャ-)こいつら、話をする間もなくいきなり襲いかかってきやがった。ずいぶんと好戦的な連中みてェだぜ。			一万年の夢の残響							
(-魔のバクージャジャ-)オイラたちにかかれば、ちょちょいのちょいだったけどねェ！キャハハハハ！			(-魔のバクージャジャ-)オイラたちにかかれば、ちょちょいのちょいだったけどねェ！キャハハハハ！			一万年の夢の残響							
Forename、バクージャジャ！伝令役の隊士から話は聞いたぜ！			Forename、バクージャジャ！伝令役の隊士から話は聞いたぜ！			一万年の夢の残響							
くっ……これは、オーク……！？			くっ……これは、オーク……！？			一万年の夢の残響							
コイツらは俺の故郷、タブナジアを襲ったこともある獣人族だ。凶暴で、とにかく数が多いんで、タブナジアの自警団でも手を焼いてる連中さ。			コイツらは俺の故郷、タブナジアを襲ったこともある獣人族だ。凶暴で、とにかく数が多いんで、タブナジアの自警団でも手を焼いてる連中さ。			一万年の夢の残響							
念のために聞いておきたいのだが、マムージャ族のように、こちらの世界にも同種が……			念のために聞いておきたいのだが、マムージャ族のように、こちらの世界にも同種が……			一万年の夢の残響							
確認するまでもなかったようだな。エレクトロープに変化したということは、「エコーズの残滓」で間違いないということになる。			確認するまでもなかったようだな。エレクトロープに変化したということは、「エコーズの残滓」で間違いないということになる。			一万年の夢の残響							
おや……？			おや……？			一万年の夢の残響							
手紙のようだが……こちらの世界の文字で綴られている。すまないが、読んでもらえるだろうか？			手紙のようだが……こちらの世界の文字で綴られている。すまないが、読んでもらえるだろうか？			一万年の夢の残響							
