スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
嵐が来る……。こいつは、大捕り物になるかもな。			嵐が来る……。こいつは、大捕り物になるかもな。			我は銃士、友は騎士							
関係者は集まったようだな。ステファニヴィアン殿、では頼む。			関係者は集まったようだな。ステファニヴィアン殿、では頼む。			我は銃士、友は騎士							
ああ、単刀直入に結論からいくぞ。宝剣の柄に、小型の爆弾が仕掛けられていた。			ああ、単刀直入に結論からいくぞ。宝剣の柄に、小型の爆弾が仕掛けられていた。			我は銃士、友は騎士							
機工房が訓練用として神殿騎士団に納入したもので、雷波を使って、遠隔起動できる型だね。何しろ俺が作ったものだから、間違いない。			機工房が訓練用として神殿騎士団に納入したもので、雷波を使って、遠隔起動できる型だね。何しろ俺が作ったものだから、間違いない。			我は銃士、友は騎士							
なんてこった……。宝剣を盗んだのは、その爆弾を仕込むためか。だとすると、目的は叙任式に出席する要人の暗殺？			なんてこった……。宝剣を盗んだのは、その爆弾を仕込むためか。だとすると、目的は叙任式に出席する要人の暗殺？			我は銃士、友は騎士							
訓練用だし、そこまでの威力はないよ。手元で爆発したところで、指すら吹き飛ばない。せいぜい火傷を負うくらいなものだね。			訓練用だし、そこまでの威力はないよ。手元で爆発したところで、指すら吹き飛ばない。せいぜい火傷を負うくらいなものだね。			我は銃士、友は騎士							
いや、火傷を負うだけでも十分だ。公衆の面前で、叙任のための宝剣を取り落としたとなれば、総長の面目は潰れ、警備を担当する銃士隊の責任問題に発展する。			いや、火傷を負うだけでも十分だ。公衆の面前で、叙任のための宝剣を取り落としたとなれば、総長の面目は潰れ、警備を担当する銃士隊の責任問題に発展する。			我は銃士、友は騎士							
そうすると、ここのところ社交界で流れている噂は、銃士隊を追い詰めるためのものってことか……。			そうすると、ここのところ社交界で流れている噂は、銃士隊を追い詰めるためのものってことか……。			我は銃士、友は騎士							
噂？　いったいどんな噂だ？			噂？　いったいどんな噂だ？			我は銃士、友は騎士							
宝剣窃盗事件は、自警団の自作自演……。ならず者に銃を横流しして、宝物庫を襲わせておいて、自ら捕まえ、手柄を創りだしたっていう、愚にもつかない噂さ。			宝剣窃盗事件は、自警団の自作自演……。ならず者に銃を横流しして、宝物庫を襲わせておいて、自ら捕まえ、手柄を創りだしたっていう、愚にもつかない噂さ。			我は銃士、友は騎士							
そんな噂が流れてるところで、宝剣が爆発したら、それこそ爆弾の導火線に火をつけるようなものだ！すべての責任を押しつけられて、銃士隊が吹っ飛ぶぞ！			そんな噂が流れてるところで、宝剣が爆発したら、それこそ爆弾の導火線に火をつけるようなものだ！すべての責任を押しつけられて、銃士隊が吹っ飛ぶぞ！			我は銃士、友は騎士							
そもそも、噂を流したのはどこの愚か者だ？どう考えても、事件について知っている者の仕業だぞ。捜査情報には箝口令を布いていたというのに……。			そもそも、噂を流したのはどこの愚か者だ？どう考えても、事件について知っている者の仕業だぞ。捜査情報には箝口令を布いていたというのに……。			我は銃士、友は騎士							
噂を流した者は？			噂を流した者は？			我は銃士、友は騎士							
宝剣窃盗を依頼した女			宝剣窃盗を依頼した女			我は銃士、友は騎士							
神殿騎士の裏切り者			神殿騎士の裏切り者			我は銃士、友は騎士							
……なるほど、今回の事件を起こしたヤツらってことだな。			……なるほど、今回の事件を起こしたヤツらってことだな。			我は銃士、友は騎士							
確かに、その可能性もなくはないか……。けど、野盗に宝剣を盗むよう依頼した女……今回の事件を起こしたヤツらの方が、怪しくないか？			確かに、その可能性もなくはないか……。けど、野盗に宝剣を盗むよう依頼した女……今回の事件を起こしたヤツらの方が、怪しくないか？			我は銃士、友は騎士							
