シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
聞ける話は、大体こんなところか……。なんだか小難しい話ばっかりだったけど、結局レオフィーヌはクズだってことでいいか？			聞ける話は、大体こんなところか……。なんだか小難しい話ばっかりだったけど、結局レオフィーヌはクズだってことでいいか？			人間の限界							
何と言う？			何と言う？			人間の限界							
それだけに、次の行動が読めそうだ			それだけに、次の行動が読めそうだ			人間の限界							
総長も苦労してたんだなー……			総長も苦労してたんだなー……			人間の限界							
ああ、どんなデカいことを計画してるにせよ、神殿騎士を眠らせて、連中の失態にする……それだけは間違いない。			ああ、どんなデカいことを計画してるにせよ、神殿騎士を眠らせて、連中の失態にする……それだけは間違いない。			人間の限界							
さっきの話じゃ、ズンド族へのヒョーケーホーモン？ってのが狙われる可能性があるんだろ？			さっきの話じゃ、ズンド族へのヒョーケーホーモン？ってのが狙われる可能性があるんだろ？			人間の限界							
ソーチョーって、神殿騎士の長か？堅っ苦しい人間はオレも苦手だけど、レオフィーヌが部下にいたのは同情するなぁ。			ソーチョーって、神殿騎士の長か？堅っ苦しい人間はオレも苦手だけど、レオフィーヌが部下にいたのは同情するなぁ。			人間の限界							
それはさておき……さっきの話じゃ、ズンド族へのヒョーケーホーモン？ってのが狙われる可能性があるんだろ？			それはさておき……さっきの話じゃ、ズンド族へのヒョーケーホーモン？ってのが狙われる可能性があるんだろ？			人間の限界							
そこまでわかってるなら、むしろ利用すべきだ。皆で協力すれば、レオフィーヌをワナにかけることもできるはず。			そこまでわかってるなら、むしろ利用すべきだ。皆で協力すれば、レオフィーヌをワナにかけることもできるはず。			人間の限界							
よーっし、それじゃ神殿騎士団本部にいる、「アンドゥルー」って人に相談してみよう！			よーっし、それじゃ神殿騎士団本部にいる、「アンドゥルー」って人に相談してみよう！			人間の限界							
アンドゥルー卿に相談を？でしたら、中におりますので、どうぞそちらへ。			アンドゥルー卿に相談を？でしたら、中におりますので、どうぞそちらへ。			人間の限界							
おお、Forename殿。レオフィーヌの件は聞いているが……お仲間は一緒ではないのか？			おお、Forename殿。レオフィーヌの件は聞いているが……お仲間は一緒ではないのか？			人間の限界							
