キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
でも、このあたりは魔物だらけで危険クポ……冒険者さん、落ちてる「クポの実」を集めてほしいクポ！			でも、このあたりは魔物だらけで危険クポ……冒険者さん、落ちてる「クポの実」を集めてほしいクポ！			散らばった実							
おみやげに持ってきた「クポの実」が散乱してるクポ……。拾って集めるクポ！			おみやげに持ってきた「クポの実」が散乱してるクポ……。拾って集めるクポ！			散らばった実							
「クポの実」は集まったクポ？			「クポの実」は集まったクポ？			散らばった実							
どうもありがとうクポ！全部で5個持ってきたはずだけど……このあたりに落ちてたのは、これで全部クポ。			どうもありがとうクポ！全部で5個持ってきたはずだけど……このあたりに落ちてたのは、これで全部クポ。			散らばった実							
はぐれた仲間は、ここらへんにはいなかったクポ。いったいどこまで逃げていったクポ……？もうちょっと遠くまで、探してみたいクポ～！			はぐれた仲間は、ここらへんにはいなかったクポ。いったいどこまで逃げていったクポ……？もうちょっと遠くまで、探してみたいクポ～！			散らばった実							
渡り鳥の営巣地付近のクプリ・クキは、モグモグホームに向かおうとしている。			渡り鳥の営巣地付近のクプリ・クキは、モグモグホームに向かおうとしている。			語られし伝承							
仲間と再会したクプリ・クキは、さっそくモグモグホームに向かうようだ。ドラヴァニア雲海のモグモグホーム付近で、「モグール」と話そう。			仲間と再会したクプリ・クキは、さっそくモグモグホームに向かうようだ。ドラヴァニア雲海のモグモグホーム付近で、「モグール」と話そう。			語られし伝承							
空のモーグリ族のモグールと、森のモーグリ族のクプリ・クキたちは、ようやく出会うことができた。全員が揃ったところで、モグモグホームの長老「モグリン」に、彼らの歴史について聞こう。			空のモーグリ族のモグールと、森のモーグリ族のクプリ・クキたちは、ようやく出会うことができた。全員が揃ったところで、モグモグホームの長老「モグリン」に、彼らの歴史について聞こう。			語られし伝承							
空のモーグリ族と森のモーグリ族は、ともに似通った歴史を持っていることがわかった。モグールとクプリ・クキは、歴史的な大発見をしたと喜んでいる。交流と親睦を深めようとしている彼らを、手伝ってあげよう。			空のモーグリ族と森のモーグリ族は、ともに似通った歴史を持っていることがわかった。モグールとクプリ・クキは、歴史的な大発見をしたと喜んでいる。交流と親睦を深めようとしている彼らを、手伝ってあげよう。			語られし伝承							
モグモグホーム付近のモグールと話す			モグモグホーム付近のモグールと話す			語られし伝承							
モグリンと話す			モグリンと話す			語られし伝承							
全員揃ったことだし、空のモーグリたちのところに行くクポ♪……なんだか、急に緊張してきたクポ！			全員揃ったことだし、空のモーグリたちのところに行くクポ♪……なんだか、急に緊張してきたクポ！			語られし伝承							
二度と、あば……「あばらぼね雲海」は、ごめんクポ！早く、空のモーグリたちがいるところに行きたいクポ！！			二度と、あば……「あばらぼね雲海」は、ごめんクポ！早く、空のモーグリたちがいるところに行きたいクポ！！			語られし伝承							
今度こそ、迷わずにお空のモーグリたちの所に行くクポ！「あばらばら雲海」じゃなくて、「どらばらば雲海」クポ！覚えたクポ、完璧クポ！　冒険者さん、あっちで会うクポ～！			今度こそ、迷わずにお空のモーグリたちの所に行くクポ！「あばらばら雲海」じゃなくて、「どらばらば雲海」クポ！覚えたクポ、完璧クポ！　冒険者さん、あっちで会うクポ～！			語られし伝承							
くぽ、冒険者さん、お帰りくぽ！森のモーグリたちは見つかったくぽ？			くぽ、冒険者さん、お帰りくぽ！森のモーグリたちは見つかったくぽ？			語られし伝承							
はじめましてクポ！　「クプリ・クキ」というクポ～！道に迷って、着くのが遅くなってしまったクポ～。			はじめましてクポ！　「クプリ・クキ」というクポ～！道に迷って、着くのが遅くなってしまったクポ～。			語られし伝承							
こちらこそ、はじめましてくぽ！　「モグール」くぽ！無事に到着して何よりくぽ～♪			こちらこそ、はじめましてくぽ！　「モグール」くぽ！無事に到着して何よりくぽ～♪			語られし伝承							
「モグール」クポ？　不思議な名前クポ！それに、クポの発音もちょっと違うクポ～！			「モグール」クポ？　不思議な名前クポ！それに、クポの発音もちょっと違うクポ～！			語られし伝承							
……そうだクポ！友好の証として、おみやげを持ってきたクポ。ぜひぜひ受け取ってほしいクポ～♪			……そうだクポ！友好の証として、おみやげを持ってきたクポ。ぜひぜひ受け取ってほしいクポ～♪			語られし伝承							
わざわざありがとうくぽ～！！……ん、これは「クポの実」くぽ？			わざわざありがとうくぽ～！！……ん、これは「クポの実」くぽ？			語られし伝承							
モグールも知ってるクポ？これは、黒衣森で採れるクポの実クポ！とってもおいしいクポ！			モグールも知ってるクポ？これは、黒衣森で採れるクポの実クポ！とってもおいしいクポ！			語られし伝承							
くぽぽ、雲海にもあるくぽ！ちょうど、ここにある木がそうくぽ！みんなで大事にお世話しているくぽ～！			くぽぽ、雲海にもあるくぽ！ちょうど、ここにある木がそうくぽ！みんなで大事にお世話しているくぽ～！			語られし伝承							
