双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
さあ野郎ども、仕事といくぞ！まず、犯人の「クフサド商船団」は、俺が直接追いかける。			さあ野郎ども、仕事といくぞ！まず、犯人の「クフサド商船団」は、俺が直接追いかける。			黙した悲鳴							
ペリム・ハウリムとヴァ・ケビは、すでに売られた連中の捜索に協力してやれ。双剣士の技術がありゃ、何かと役立つだろうしな。			ペリム・ハウリムとヴァ・ケビは、すでに売られた連中の捜索に協力してやれ。双剣士の技術がありゃ、何かと役立つだろうしな。			黙した悲鳴							
Forename、お前は俺と来い。……今のお前になら、実戦で教えられることもあるはずだ。			Forename、お前は俺と来い。……今のお前になら、実戦で教えられることもあるはずだ。			黙した悲鳴							
禁忌とされる掟を平気で破る「クフサド商船団」は、必ずシメないといけませんね。			禁忌とされる掟を平気で破る「クフサド商船団」は、必ずシメないといけませんね。			黙した悲鳴							
Forenameとジャックなら、心配してない……。でも、力が必要になったときは、必ず私たちを呼んで……。			Forenameとジャックなら、心配してない……。でも、力が必要になったときは、必ず私たちを呼んで……。			黙した悲鳴							
君たちの助力に感謝する。すでに売られた者に関しては、イエロージャケットとも協力し、必ず連れ戻してみせる。			君たちの助力に感謝する。すでに売られた者に関しては、イエロージャケットとも協力し、必ず連れ戻してみせる。			黙した悲鳴							
さて、俺たちで「クフサド商船団」を追うとしようぜ。			さて、俺たちで「クフサド商船団」を追うとしようぜ。			黙した悲鳴							
黒渦団からの情報によると、連中の船「デスマーチャント号」は、しばらく前にエールポートから出港しているらしい。			黒渦団からの情報によると、連中の船「デスマーチャント号」は、しばらく前にエールポートから出港しているらしい。			黙した悲鳴							
今頃は、どっかの海で私掠船として活躍してるんだろうが、そいつは周囲の目を欺くための余興にすぎねぇ……。裏で、陸に残った船員が、貧民を誘拐してるんだろう。			今頃は、どっかの海で私掠船として活躍してるんだろうが、そいつは周囲の目を欺くための余興にすぎねぇ……。裏で、陸に残った船員が、貧民を誘拐してるんだろう。			黙した悲鳴							
その証拠に、低地ラノシアをうろつく、「クフサド商船団」の一員らしき男が目撃されてるんだとよ。			その証拠に、低地ラノシアをうろつく、「クフサド商船団」の一員らしき男が目撃されてるんだとよ。			黙した悲鳴							
そこまでわかってるなら、双剣士の情報網も使えるだろう。低地ラノシアのことなら、モラビー造船廠にいる、「スヮルセィント」に聞けばいい。			そこまでわかってるなら、双剣士の情報網も使えるだろう。低地ラノシアのことなら、モラビー造船廠にいる、「スヮルセィント」に聞けばいい。			黙した悲鳴							
あいつは造船師として働いてるが、双剣士ギルドの仲間だ。俺もすぐに向かうから、お前は先に行っててくれ。			あいつは造船師として働いてるが、双剣士ギルドの仲間だ。俺もすぐに向かうから、お前は先に行っててくれ。			黙した悲鳴							
低地ラノシアで「クフサド商船団」を追うぞ。俺もすぐに向かうから、お前は先に行っててくれ。			低地ラノシアで「クフサド商船団」を追うぞ。俺もすぐに向かうから、お前は先に行っててくれ。			黙した悲鳴							
お前……双剣士か。用向きは何だ。			お前……双剣士か。用向きは何だ。			黙した悲鳴							
「クフサド商船団」が貧民を拐っている……？……なるほど、あれはそういうことだったのか。			「クフサド商船団」が貧民を拐っている……？……なるほど、あれはそういうことだったのか。			黙した悲鳴							
