槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
Forenameのことは、父ちゃんから聞いたことがあるんだ。すごい強くて、竜みたいなヒトだってさ！			Forenameのことは、父ちゃんから聞いたことがあるんだ。すごい強くて、竜みたいなヒトだってさ！			眠れる猛竜							
待たせたな、Forename。ドラヴァニア以東地域に伝わる竜の伝承についてだが、ひととおり調査が終わったところでな。			待たせたな、Forename。ドラヴァニア以東地域に伝わる竜の伝承についてだが、ひととおり調査が終わったところでな。			眠れる猛竜							
ただし、伝承に詳しい司祭によると、この手の言い伝えというものは、誇張が多いそうだ。			ただし、伝承に詳しい司祭によると、この手の言い伝えというものは、誇張が多いそうだ。			眠れる猛竜							
ただの甲鱗綱の魔物、たとえば有翼トカゲの「プーク」が、伝説の巨竜と呼ばれたりな。まぁ、語り継がれるうちに、話が大きくなることもあるのだろう。			ただの甲鱗綱の魔物、たとえば有翼トカゲの「プーク」が、伝説の巨竜と呼ばれたりな。まぁ、語り継がれるうちに、話が大きくなることもあるのだろう。			眠れる猛竜							
とにかく信憑性はさておき、調査結果はまとめておいた。最初の手がかりをメモに記しておいたから役立ててくれ。では、メアズオウス遺跡で待つ「ウスティエヌ」によろしくな。			とにかく信憑性はさておき、調査結果はまとめておいた。最初の手がかりをメモに記しておいたから役立ててくれ。では、メアズオウス遺跡で待つ「ウスティエヌ」によろしくな。			眠れる猛竜							
竜を狩るために探し回る経験は、幾度もしているが、呼び戻すためにというのは、私も初めてだよ。			竜を狩るために探し回る経験は、幾度もしているが、呼び戻すためにというのは、私も初めてだよ。			眠れる猛竜							
む、そのメモらしき物は、竜の伝承についての調査結果か？			む、そのメモらしき物は、竜の伝承についての調査結果か？			眠れる猛竜							
ほう、これはありがたい。最初の調査対象は、ギラバニア地方の言い伝えか……。当地には「眠れる猛竜」という存在について、伝承があるらしい。			ほう、これはありがたい。最初の調査対象は、ギラバニア地方の言い伝えか……。当地には「眠れる猛竜」という存在について、伝承があるらしい。			眠れる猛竜							
へぇ～、おもしろいなぁ。ヒトって、そのウニョウニョした模様で、いろんなことを伝えるんだね。			へぇ～、おもしろいなぁ。ヒトって、そのウニョウニョした模様で、いろんなことを伝えるんだね。			眠れる猛竜							
ドラゴン族は、その文字ってのじゃなくて、竜詩で語り継ぐんだ。だから、父ちゃんの番いさんについて、僕もいろいろ知ってるよ。たとえば、名前は「ファウネム」さんっていうんだ。			ドラゴン族は、その文字ってのじゃなくて、竜詩で語り継ぐんだ。だから、父ちゃんの番いさんについて、僕もいろいろ知ってるよ。たとえば、名前は「ファウネム」さんっていうんだ。			眠れる猛竜							
なるほど、ファウネムか……。では、Forename、このメモの情報に基づき、ファウネムの捜索を開始してくれ。			なるほど、ファウネムか……。では、Forename、このメモの情報に基づき、ファウネムの捜索を開始してくれ。			眠れる猛竜							
ギラバニア辺境地帯にあるラールガー星導教の寺院跡が、どうやら「眠れる猛竜」伝承発祥の地らしい。			ギラバニア辺境地帯にあるラールガー星導教の寺院跡が、どうやら「眠れる猛竜」伝承発祥の地らしい。			眠れる猛竜							
それじゃ、「ギラバニア辺境地帯」ってとこに案内しておくれよ。僕は、Forenameの近くを飛んでるからさ、目的地に着いたら、笛を吹いて呼んでね！			それじゃ、「ギラバニア辺境地帯」ってとこに案内しておくれよ。僕は、Forenameの近くを飛んでるからさ、目的地に着いたら、笛を吹いて呼んでね！			眠れる猛竜							
オーン・カイとは仲良くしてやってくれ。父親の番いを探そうなど、なかなか親孝行なヤツだと思うだろう？			オーン・カイとは仲良くしてやってくれ。父親の番いを探そうなど、なかなか親孝行なヤツだと思うだろう？			眠れる猛竜							
ここが目的地？ふーん、ドラヴァニア雲海にもヒトが作った建物があるけど、なんだか、ちょっぴり雰囲気が違うねぇ……。			ここが目的地？ふーん、ドラヴァニア雲海にもヒトが作った建物があるけど、なんだか、ちょっぴり雰囲気が違うねぇ……。			眠れる猛竜							
