バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			背中を見て学べ							
こんなに熱心に道具までそろえちゃって……。フフ、石の家の守護者は、タタルさんなのかもね？			こんなに熱心に道具までそろえちゃって……。フフ、石の家の守護者は、タタルさんなのかもね？			タタル頑張ル							
でも、ちょっと心配でもあるの。採掘をするだけとはいえ、レヴナンツトールの近郊は、危険が多いから……。			でも、ちょっと心配でもあるの。採掘をするだけとはいえ、レヴナンツトールの近郊は、危険が多いから……。			タタル頑張ル							
よかったら、様子を見てきてもらえないかしら？タングル湿林の手前で「タタル」と呼べば、彼女、きっと気付くはずよ。			よかったら、様子を見てきてもらえないかしら？タングル湿林の手前で「タタル」と呼べば、彼女、きっと気付くはずよ。			タタル頑張ル							
タングル湿林北東にある「指定地点」の周辺で、タタルを探す必要がありそうだ……。			タングル湿林北東にある「指定地点」の周辺で、タタルを探す必要がありそうだ……。			タタル頑張ル							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『タタル』を含む好きな言葉を入力し、タタルを呼びましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『タタル』を含む好きな言葉を入力し、タタルを呼びましょう。			タタル頑張ル							
タタルさんの様子を見てきてもらえないかしら？タングル湿林のあたりで「タタル」と呼べば、彼女、きっと気付くはずよ。			タタルさんの様子を見てきてもらえないかしら？タングル湿林のあたりで「タタル」と呼べば、彼女、きっと気付くはずよ。			タタル頑張ル							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『タタル』を含む好きな言葉を入力し、タタルを呼びましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『タタル』を含む好きな言葉を入力し、タタルを呼びましょう。			タタル頑張ル							
フンフ　フンフ　フーン。あかつきーの　おーさいふ　まーもるーためー。みーんなーの　たーめにー　たーちあーがるのー。			フンフ　フンフ　フーン。あかつきーの　おーさいふ　まーもるーためー。みーんなーの　たーめにー　たーちあーがるのー。			タタル頑張ル							
こーせき　あーつめーて　ざっくざくー！ぜーんぶ　うっぱらって　ざっくざくー！あまった　おかねーは　おーこづかいー！			こーせき　あーつめーて　ざっくざくー！ぜーんぶ　うっぱらって　ざっくざくー！あまった　おかねーは　おーこづかいー！			タタル頑張ル							
いーらない　くずいし　ぽーいぽい！ひーまな　けんじゃも　ぽーいぽい！フンフ　フンフ　フーン。			いーらない　くずいし　ぽーいぽい！ひーまな　けんじゃも　ぽーいぽい！フンフ　フンフ　フーン。			タタル頑張ル							
ふぅ……。今日は、こんなところでっすかね？			ふぅ……。今日は、こんなところでっすかね？			タタル頑張ル							
Forenameさんが副道具を運んできてくれれば、明日からはもっと、ざっくざっくでっす。			Forenameさんが副道具を運んできてくれれば、明日からはもっと、ざっくざっくでっす。			タタル頑張ル							
フフフ……。夢の、おやつが支給される職場も遠くないでっす！まずは、ブラッドカーラントタルトでっすかねぇ……？			フフフ……。夢の、おやつが支給される職場も遠くないでっす！まずは、ブラッドカーラントタルトでっすかねぇ……？			タタル頑張ル							
