小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			追われた巡業一座							
大局の前に亡命ガレアン人など知ったことか！利用できるものは利用する……。そうでなければ帝国に勝利することなど夢のまた夢！			大局の前に亡命ガレアン人など知ったことか！利用できるものは利用する……。そうでなければ帝国に勝利することなど夢のまた夢！			ダルマスカのレジスタンス							
さぁ、どうする？取引に応じるか、否や！			さぁ、どうする？取引に応じるか、否や！			ダルマスカのレジスタンス							
何と答える？			何と答える？			ダルマスカのレジスタンス							
実現できるかどうかわからないが、努力はしよう			実現できるかどうかわからないが、努力はしよう			ダルマスカのレジスタンス							
劇場艇のガレアン人の安全を保証しろ			劇場艇のガレアン人の安全を保証しろ			ダルマスカのレジスタンス							
構わぬ、貴殿は我が申し出を伝えるだけで結構。その結果について、貴殿に責を負わせるつもりはない！			構わぬ、貴殿は我が申し出を伝えるだけで結構。その結果について、貴殿に責を負わせるつもりはない！			ダルマスカのレジスタンス							
我が言を疑うか！？我らの敵はダルマスカを蹂躙する外道どもだ！戦う気のないガレアン人に興味はない！			我が言を疑うか！？我らの敵はダルマスカを蹂躙する外道どもだ！戦う気のないガレアン人に興味はない！			ダルマスカのレジスタンス							
な、なら、さっさと帰るクポ……！			な、なら、さっさと帰るクポ……！			ダルマスカのレジスタンス							
ブワジ！彼らを送り届け、そして我らの申し出の行く先を見極めるのだ！行けッ！！			ブワジ！彼らを送り届け、そして我らの申し出の行く先を見極めるのだ！行けッ！！			ダルマスカのレジスタンス							
(-ブワジ-)ハッ、承知！！			(-ブワジ-)ハッ、承知！！			ダルマスカのレジスタンス							
このような甘い願いなど聞き入れられるはずもなく……。戦いは熾烈かつ冷酷なのですよ、アーシェ様……。			このような甘い願いなど聞き入れられるはずもなく……。戦いは熾烈かつ冷酷なのですよ、アーシェ様……。			ダルマスカのレジスタンス							
姐さん、きっついお方だが、気を悪くしないでクレ！レジスタンスを立て直そうと必死なのサ……。マァ、とにかくオレたちはここで待ってるヨ。			姐さん、きっついお方だが、気を悪くしないでクレ！レジスタンスを立て直そうと必死なのサ……。マァ、とにかくオレたちはここで待ってるヨ。			ダルマスカのレジスタンス							
オレたちゃ、バッガモナン兄貴のこと……もう気にしてないからサ……アンタももう忘れてクレヨ……。兄貴は心の闇に飲み込まれちマッタが、その想いはオレが……。			オレたちゃ、バッガモナン兄貴のこと……もう気にしてないからサ……アンタももう忘れてクレヨ……。兄貴は心の闇に飲み込まれちマッタが、その想いはオレが……。			ダルマスカのレジスタンス							
姐さん、ああ見えても案外優しいお方なんだヨ。仲間思いだし、気配りもうまい……。もちろん、戦士としての腕は一流だけどネ。			姐さん、ああ見えても案外優しいお方なんだヨ。仲間思いだし、気配りもうまい……。もちろん、戦士としての腕は一流だけどネ。			ダルマスカのレジスタンス							
まさかの展開でモグは大興奮クポ！！ダルマスカ解放に力添えできるなら、それはモグの本望クポ！……い、いや、役者を目指すのがモグの本望……クポ。			まさかの展開でモグは大興奮クポ！！ダルマスカ解放に力添えできるなら、それはモグの本望クポ！……い、いや、役者を目指すのがモグの本望……クポ。			ダルマスカのレジスタンス							
