漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
私、イシュガルドの話なんて、ぜんぜん知らないわ。カルヴァランさんは、この話を知ってて、依頼したのかしら……			私、イシュガルドの話なんて、ぜんぜん知らないわ。カルヴァランさんは、この話を知ってて、依頼したのかしら……			飛魚乗雲							
あやつは、リムサ・ロミンサでは珍しいエレゼン族ぢや。イシュガルドの高貴な出……なんて噂もあるんぢやが、どうする、シシプちゃん？			あやつは、リムサ・ロミンサでは珍しいエレゼン族ぢや。イシュガルドの高貴な出……なんて噂もあるんぢやが、どうする、シシプちゃん？			飛魚乗雲							
どうもしません！　もうっ、やっぱり親分は邪魔ばっかり！このお魚は、私がシベルさんに届けておくわね。今回もありがとう！！			どうもしません！　もうっ、やっぱり親分は邪魔ばっかり！このお魚は、私がシベルさんに届けておくわね。今回もありがとう！！			飛魚乗雲							
漁師ギルドのワワラゴのもとに、レイナから連絡が来たようだ。			漁師ギルドのワワラゴのもとに、レイナから連絡が来たようだ。			減少を食い止めろ							
「海の流星」に関する調査結果が出たらしい。低地ラノシアのゴッズグリップの「指定地点」で、ワワラゴと落ち合おう。			「海の流星」に関する調査結果が出たらしい。低地ラノシアのゴッズグリップの「指定地点」で、ワワラゴと落ち合おう。			減少を食い止めろ							
シシプの許しが出たことで、ワワラゴも調査に参加できるようになった。ワワラゴの到着を待つ間、紅玉海のイサリ村の住人たちに聞き込みを行おう。			シシプの許しが出たことで、ワワラゴも調査に参加できるようになった。ワワラゴの到着を待つ間、紅玉海のイサリ村の住人たちに聞き込みを行おう。			減少を食い止めろ							
イサリ村の住人に、紅玉海の変化についての聞き込みを行った。クガネに向かい、「ワワラゴ」に報告しよう。			イサリ村の住人に、紅玉海の変化についての聞き込みを行った。クガネに向かい、「ワワラゴ」に報告しよう。			減少を食い止めろ							
ワワラゴは、イサリ村で行われていた「ワダツミ祭」の禁止こそが「海の流星」減少の原因だと推理した。祭りの折にコウジン族に捧げていた魚を獲るため、ヤンサのナマイ村付近で「ワワラゴ」と合流しよう。			ワワラゴは、イサリ村で行われていた「ワダツミ祭」の禁止こそが「海の流星」減少の原因だと推理した。祭りの折にコウジン族に捧げていた魚を獲るため、ヤンサのナマイ村付近で「ワワラゴ」と合流しよう。			減少を食い止めろ							
ワワラゴは、祭りを復活させるため、コウジン族に捧げる「大方士」を獲りたいらしい。「大方士」を3匹獲って、無二江流域の「ワワラゴ」に納品しよう。「大方士」は、無二江流域の南西にある漁場、「沈没川船周辺」に出現するようだ。刺突漁にて「魚蜥蜴」を獲り続けていると、「魚影」と共に、その姿を現すらしい。魚影は、スキル「トゥルー・オブ・オーシャン」使用時にナビマップに表示される。			ワワラゴは、祭りを復活させるため、コウジン族に捧げる「大方士」を獲りたいらしい。「大方士」を3匹獲って、無二江流域の「ワワラゴ」に納品しよう。「大方士」は、無二江流域の南西にある漁場、「沈没川船周辺」に出現するようだ。刺突漁にて「魚蜥蜴」を獲り続けていると、「魚影」と共に、その姿を現すらしい。魚影は、スキル「トゥルー・オブ・オーシャン」使用時にナビマップに表示される。			減少を食い止めろ							
大方士をワワラゴに納品した。祭りを再開させたいと伝えるため、イサリ村の「ジショウ」に、「大方士入りの魚籠」を見せよう。			大方士をワワラゴに納品した。祭りを再開させたいと伝えるため、イサリ村の「ジショウ」に、「大方士入りの魚籠」を見せよう。			減少を食い止めろ							
ジショウは、祭りの再開に協力してくれるようだ。コウジン族にも協力してもらうため、紅玉海の碧のタマミズに向かい、「ウキモノ」に「大方士入りの魚籠」を渡そう。			ジショウは、祭りの再開に協力してくれるようだ。コウジン族にも協力してもらうため、紅玉海の碧のタマミズに向かい、「ウキモノ」に「大方士入りの魚籠」を渡そう。			減少を食い止めろ							
ウキモノは、ほかのコウジン族を説得してまわってくれるらしい。一度、漁師ギルドへ戻って「ワワラゴ」と話そう。			ウキモノは、ほかのコウジン族を説得してまわってくれるらしい。一度、漁師ギルドへ戻って「ワワラゴ」と話そう。			減少を食い止めろ							
「ワダツミ祭」を再開させるため、ワワラゴはじめ、みな尽力してくれているようだ。来る祭りの日に備え、冒険者も腕前を上げておこう。※漁師のレベルが70以上になると、漁師ギルドのワワラゴから次の漁師クエストを受注することができます。			「ワダツミ祭」を再開させるため、ワワラゴはじめ、みな尽力してくれているようだ。来る祭りの日に備え、冒険者も腕前を上げておこう。※漁師のレベルが70以上になると、漁師ギルドのワワラゴから次の漁師クエストを受注することができます。			減少を食い止めろ							
