アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			弱き者の底意地							
おお、戻ったか。首尾よく、マーブル・ウロリスを追い払うことはできたか？			おお、戻ったか。首尾よく、マーブル・ウロリスを追い払うことはできたか？			石切場を取り戻せ							
これは、間違いなくウロリスの心核……。奴らを始末した証として、これ以上のものはあるまい！			これは、間違いなくウロリスの心核……。奴らを始末した証として、これ以上のものはあるまい！			石切場を取り戻せ							
さっそく、皆の者に知らせてやらねば！精を出す仕事があれば、村人たちも生きる力が湧くはず……！			さっそく、皆の者に知らせてやらねば！精を出す仕事があれば、村人たちも生きる力が湧くはず……！			石切場を取り戻せ							
アラギリのジャ・ヤーラニは、バウトの自決を止めるために冒険者の力を貸してほしいようだ。			アラギリのジャ・ヤーラニは、バウトの自決を止めるために冒険者の力を貸してほしいようだ。			彼の生きる意味							
ジャ・ヤーラニから、バウトの自決を止めるために力を貸すよう頼まれた。ギラバニア山岳地帯のワイトロックで「バウト」を探そう。			ジャ・ヤーラニから、バウトの自決を止めるために力を貸すよう頼まれた。ギラバニア山岳地帯のワイトロックで「バウト」を探そう。			彼の生きる意味							
バウトを襲っていた獣を討伐した。ワイトロックの「バウト」を救助しよう。			バウトを襲っていた獣を討伐した。ワイトロックの「バウト」を救助しよう。			彼の生きる意味							
バウトにこれまでのすれ違いを説明すると、彼は自分が死にたかっただけだと明かした。だが、ジャ・ヤーラニの言葉に、彼は自決を思いとどまり、解放軍に投降することを決めた。アラギリの「ブレイゼン・ブルック」に報告しよう。			バウトにこれまでのすれ違いを説明すると、彼は自分が死にたかっただけだと明かした。だが、ジャ・ヤーラニの言葉に、彼は自決を思いとどまり、解放軍に投降することを決めた。アラギリの「ブレイゼン・ブルック」に報告しよう。			彼の生きる意味							
ブレイゼン・ブルックに報告した。穏便にバウトが投降できたのは冒険者のおかげだと、彼は感謝した。バウトのようにアラギリの今を大切にしていきたいという、ブレイゼン・ブルックがいれば、この街の未来も大丈夫だろう。			ブレイゼン・ブルックに報告した。穏便にバウトが投降できたのは冒険者のおかげだと、彼は感謝した。バウトのようにアラギリの今を大切にしていきたいという、ブレイゼン・ブルックがいれば、この街の未来も大丈夫だろう。			彼の生きる意味							
バウトを探す			バウトを探す			彼の生きる意味							
バウトを救助			バウトを救助			彼の生きる意味							
ブレイゼン・ブルックに報告			ブレイゼン・ブルックに報告			彼の生きる意味							
早くバウトさまを見つけて、自決を思い止まっていただかなくては！冒険者さま、力をお貸しください！			早くバウトさまを見つけて、自決を思い止まっていただかなくては！冒険者さま、力をお貸しください！			彼の生きる意味							
書き置きに記された自決場所は、アラギリの北西、辺境地帯へ向かう道すがらでした。急いで向かいましょう！			書き置きに記された自決場所は、アラギリの北西、辺境地帯へ向かう道すがらでした。急いで向かいましょう！			彼の生きる意味							
