宝杖通りのナシュは、何か手伝ってほしいようだ。			宝杖通りのナシュは、何か手伝ってほしいようだ。			事件屋を探せ							
ふん、若造が偉そうなことを……。天まで届く跳躍力と称賛された大技、とくと見せてくれるわ！			ふん、若造が偉そうなことを……。天まで届く跳躍力と称賛された大技、とくと見せてくれるわ！			時魔法の謎							
壮年のドラゴンダーーーイブッ！			壮年のドラゴンダーーーイブッ！			時魔法の謎							
懐かしいわい、この感覚。血が湧き、体内のエーテルが疼く。ワシもまだまだ現役、若いもんには負けん。			懐かしいわい、この感覚。血が湧き、体内のエーテルが疼く。ワシもまだまだ現役、若いもんには負けん。			時魔法の謎							
そうそう、死んだ婆さんも、この大技に惚れ込んどったもんだ……。			そうそう、死んだ婆さんも、この大技に惚れ込んどったもんだ……。			時魔法の謎							
……ば、婆さん！？もしかして、本当に天まで届いてしまったのか！？ダメじゃ、ワシにはまだやることが……			……ば、婆さん！？もしかして、本当に天まで届いてしまったのか！？ダメじゃ、ワシにはまだやることが……			時魔法の謎							
あれ、何をしていたんじゃっけ？なんだか、気持ちよく……なってきたのう……。			あれ、何をしていたんじゃっけ？なんだか、気持ちよく……なってきたのう……。			時魔法の謎							
このまま……婆さんのもとへ……。			このまま……婆さんのもとへ……。			時魔法の謎							
オルランドー！！			オルランドー！！			時魔法の謎							
なかなかの大技でしたな……。惜しい人を亡くしました、安らかにお眠りください……。			なかなかの大技でしたな……。惜しい人を亡くしました、安らかにお眠りください……。			時魔法の謎							
こ、これじゃあ、昇天のドラゴンダイブじゃないですか！でも、今ならまだ間に合うかもしれませんよ……。癒し手の方、早く治療してあげた方がいいのでは？			こ、これじゃあ、昇天のドラゴンダイブじゃないですか！でも、今ならまだ間に合うかもしれませんよ……。癒し手の方、早く治療してあげた方がいいのでは？			時魔法の謎							
はて……癒し手とは……ワシのことじゃったかのう？			はて……癒し手とは……ワシのことじゃったかのう？			時魔法の謎							
万物を癒やす、清らかなる命の風よ……えーと、何じゃったっけ……			万物を癒やす、清らかなる命の風よ……えーと、何じゃったっけ……			時魔法の謎							
おお、そうじゃ、そうじゃ……逆巻き刃となって、我が敵を討て……			おお、そうじゃ、そうじゃ……逆巻き刃となって、我が敵を討て……			時魔法の謎							
エアロ！			エアロ！			時魔法の謎							
トドメを刺してどうするんですかっ！？			トドメを刺してどうするんですかっ！？			時魔法の謎							
アイタタタタ！腰が、腰がぁーーーー！			アイタタタタ！腰が、腰がぁーーーー！			時魔法の謎							
お、お主ら、なかなかやるではないか……。			お、お主ら、なかなかやるではないか……。			時魔法の謎							
こっちは、さっきから何もしてませんけど……。			こっちは、さっきから何もしてませんけど……。			時魔法の謎							
(-？？？？-)そこまでだよ！こいつがどうなってもいいのかい？			(-？？？？-)そこまでだよ！こいつがどうなってもいいのかい？			時魔法の謎							
