特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
ただねぇ……彼女、いろいろあったみたい。ひとり育てるだけでも大変だし、引き受けるかはわからないわ。			ただねぇ……彼女、いろいろあったみたい。ひとり育てるだけでも大変だし、引き受けるかはわからないわ。			錬金術師と赤ん坊							
ケラシャフとメヴァンの子のことか。イェザーンは信用に足るが、仕事が忙しいだろうし、本来なら里で育てるのが筋だが、他の候補……思いつかんな。			ケラシャフとメヴァンの子のことか。イェザーンは信用に足るが、仕事が忙しいだろうし、本来なら里で育てるのが筋だが、他の候補……思いつかんな。			錬金術師と赤ん坊							
なんなら、私も名乗り出たい気持ちはある。だが、先の混乱で身内も落ち着かない状況だから難しい。きっと、似たような住民が大半だろうな。			なんなら、私も名乗り出たい気持ちはある。だが、先の混乱で身内も落ち着かない状況だから難しい。きっと、似たような住民が大半だろうな。			錬金術師と赤ん坊							
イェザーンになら、赤ん坊も任せられるだろう。			イェザーンになら、赤ん坊も任せられるだろう。			錬金術師と赤ん坊							
パサリーン、大丈夫かしらね……。			パサリーン、大丈夫かしらね……。			錬金術師と赤ん坊							
お役に立てなくて、すまない。			お役に立てなくて、すまない。			錬金術師と赤ん坊							
おつかれさん。めぼしい情報は聞けたか？			おつかれさん。めぼしい情報は聞けたか？			錬金術師と赤ん坊							
へえ？俺って意外と評判いいじゃないの、なんて話はさておき……			へえ？俺って意外と評判いいじゃないの、なんて話はさておき……			錬金術師と赤ん坊							
パサリーン、ね。メヴァンとも親しかったし、納得の人選だわ。ただ、お前さんの聞いた話によると、ワケありらしいな。			パサリーン、ね。メヴァンとも親しかったし、納得の人選だわ。ただ、お前さんの聞いた話によると、ワケありらしいな。			錬金術師と赤ん坊							
そういうヤツは、なるべく避けたいんだがねぇ。ま、何の事情も抱えてないヤツなんか、今の里にいるはずもない、か。			そういうヤツは、なるべく避けたいんだがねぇ。ま、何の事情も抱えてないヤツなんか、今の里にいるはずもない、か。			錬金術師と赤ん坊							
込み入った話をすんのは苦手だが、赤ん坊のためなら、嫌がってもいられないよな。よかったら、お前さんも同行してもらえると心強いよ。			込み入った話をすんのは苦手だが、赤ん坊のためなら、嫌がってもいられないよな。よかったら、お前さんも同行してもらえると心強いよ。			錬金術師と赤ん坊							
赤ん坊を抱えている女性がいたら、そいつが「パサリーン」だ。俺は先に、調合した薬を依頼人に届けてくるから、お前さんは彼女に声をかけておいてくれ。			赤ん坊を抱えている女性がいたら、そいつが「パサリーン」だ。俺は先に、調合した薬を依頼人に届けてくるから、お前さんは彼女に声をかけておいてくれ。			錬金術師と赤ん坊							
あら、イェザーン。もしかして、こちらの方はあなたのお知り合い？			あら、イェザーン。もしかして、こちらの方はあなたのお知り合い？			錬金術師と赤ん坊							
Forenameだ。ケラシャフとメヴァンの子を、救ってくれた。			Forenameだ。ケラシャフとメヴァンの子を、救ってくれた。			錬金術師と赤ん坊							
そう、あなたが……メヴァンの子を守ってくれて、ありがとう。			そう、あなたが……メヴァンの子を守ってくれて、ありがとう。			錬金術師と赤ん坊							
彼女のことは、聞いているわ。一緒に育児をがんばろうって、話していたのに……。			彼女のことは、聞いているわ。一緒に育児をがんばろうって、話していたのに……。			錬金術師と赤ん坊							
