蒼天街のフランセルは、気になる人物を見かけたようだ。			蒼天街のフランセルは、気になる人物を見かけたようだ。			お得意様デュランデル伯爵							
スカイスチール機工房で職人を探しているらしい。イシュガルドのスカイスチール機工房付近で、技師の「ネイユマル」と話そう。			スカイスチール機工房で職人を探しているらしい。イシュガルドのスカイスチール機工房付近で、技師の「ネイユマル」と話そう。			工房に眠っていた古道具							
ネイユマルは、工房から見つかった道具「スカイスチールツール」を改良して、さらなる性能を持たせたいのだという。彼ら工房の技師と協力し、道具を改良していこう。			ネイユマルは、工房から見つかった道具「スカイスチールツール」を改良して、さらなる性能を持たせたいのだという。彼ら工房の技師と協力し、道具を改良していこう。			工房に眠っていた古道具							
スカイスチール機工房付近のネイユマルと話す			スカイスチール機工房付近のネイユマルと話す			工房に眠っていた古道具							
姐さん旦那、もしかして蒼天街に向かう途中かい？実は、今スカイスチール機工房で、腕利きの職人を探していて……。			姐さん旦那、もしかして蒼天街に向かう途中かい？実は、今スカイスチール機工房で、腕利きの職人を探していて……。			工房に眠っていた古道具							
……って、Forenameじゃないか！俺は機工士じゃあないが、ステファニヴィアンの坊っちゃんと、姐さん旦那が仲睦まじくしている姿は、工房で目にしていたよ。			……って、Forenameじゃないか！俺は機工士じゃあないが、ステファニヴィアンの坊っちゃんと、姐さん旦那が仲睦まじくしている姿は、工房で目にしていたよ。			工房に眠っていた古道具							
……って、姐さん旦那まさか、Forenameかい？皇都を救った英雄様じゃないか！とんでもない大物に声をかけちまったな！			……って、姐さん旦那まさか、Forenameかい？皇都を救った英雄様じゃないか！とんでもない大物に声をかけちまったな！			工房に眠っていた古道具							
こいつはちょうどいい、姐さん旦那なら顔も広いだろう！実は今、腕が立ち、かつ信頼も置ける職人を探していてね。			こいつはちょうどいい、姐さん旦那なら顔も広いだろう！実は今、腕が立ち、かつ信頼も置ける職人を探していてね。			工房に眠っていた古道具							
できれば、蒼天街を中心に取り組んでいる復興事業を、手助けしてくれるような人材だとありがたいんだが……。姐さん旦那、そのあたりはどうだい？			できれば、蒼天街を中心に取り組んでいる復興事業を、手助けしてくれるような人材だとありがたいんだが……。姐さん旦那、そのあたりはどうだい？			工房に眠っていた古道具							
何と言う？			何と言う？			工房に眠っていた古道具							
まさに、復興事業に関わっている			まさに、復興事業に関わっている			工房に眠っていた古道具							
フランセルに復興事業の助力を頼まれている			フランセルに復興事業の助力を頼まれている			工房に眠っていた古道具							
ありゃ、こいつはたまげた！姐さん旦那自身が、復興事業に関わっているってのかい。それは好都合だ！			ありゃ、こいつはたまげた！姐さん旦那自身が、復興事業に関わっているってのかい。それは好都合だ！			工房に眠っていた古道具							
実は、腕が立つ職人の力を借りたい案件があってね。決して損はさせないから、「スカイスチール機工房」で、うちの技師「ネイユマル」に話を聞いてみちゃくれないかい？			実は、腕が立つ職人の力を借りたい案件があってね。決して損はさせないから、「スカイスチール機工房」で、うちの技師「ネイユマル」に話を聞いてみちゃくれないかい？			工房に眠っていた古道具							
実は、腕が立つ職人の力を借りたい案件があってね。決して損はさせないから、「スカイスチール機工房」で、うちの技師「ネイユマル」に話を聞いてみちゃくれないかい？			実は、腕が立つ職人の力を借りたい案件があってね。決して損はさせないから、「スカイスチール機工房」で、うちの技師「ネイユマル」に話を聞いてみちゃくれないかい？			工房に眠っていた古道具							
