忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
長年ともに旅をした仲間や、固い絆で結ばれた友とは、どことなく似た雰囲気を纏うもの。お前たちも、そうであると感じたが……気のせいだったか。			長年ともに旅をした仲間や、固い絆で結ばれた友とは、どことなく似た雰囲気を纏うもの。お前たちも、そうであると感じたが……気のせいだったか。			悲鳴に導かれ							
……Forename、そろそろ行きましょう。			……Forename、そろそろ行きましょう。			悲鳴に導かれ							
レッドラビリンスに「ゴートの胸肉」を設置すれば、「クラッグバイト・ペイスト」を、おびき寄せられるだろう。……修練、励めよ。			レッドラビリンスに「ゴートの胸肉」を設置すれば、「クラッグバイト・ペイスト」を、おびき寄せられるだろう。……修練、励めよ。			悲鳴に導かれ							
ここで、君の「暗黒騎士」としての実力を見させてもらいます。「ゴートの胸肉」を設置して、おびき寄せた「クラッグバイト・ペイスト」を倒してください。			ここで、君の「暗黒騎士」としての実力を見させてもらいます。「ゴートの胸肉」を設置して、おびき寄せた「クラッグバイト・ペイスト」を倒してください。			悲鳴に導かれ							
敵の攻撃は強力だそうですね。それを、極力小さな被害でしのぎつつ、隙を見て攻勢に転じることが、勝利への道となるでしょう。			敵の攻撃は強力だそうですね。それを、極力小さな被害でしのぎつつ、隙を見て攻勢に転じることが、勝利への道となるでしょう。			悲鳴に導かれ							
……それでは、健闘を！			……それでは、健闘を！			悲鳴に導かれ							
ここで、君の暗黒騎士としての実力を見させてもらいます。「ゴートの胸肉」を設置して、おびき寄せた「クラッグバイト・ペイスト」を倒してください。			ここで、君の暗黒騎士としての実力を見させてもらいます。「ゴートの胸肉」を設置して、おびき寄せた「クラッグバイト・ペイスト」を倒してください。			悲鳴に導かれ							
お見事でした、Forename。前回から、着実に腕を上げているようですね。			お見事でした、Forename。前回から、着実に腕を上げているようですね。			悲鳴に導かれ							
「護る」ための戦いが本分の暗黒騎士ですが、無闇に攻撃を受け、倒れてしまっては元も子もありません。			「護る」ための戦いが本分の暗黒騎士ですが、無闇に攻撃を受け、倒れてしまっては元も子もありません。			悲鳴に導かれ							
本当に大切なものを護りたいなら、敵の動きを見極め、被害を抑えることも重要です。「暗黒」の力をどう使うかも含めてね。			本当に大切なものを護りたいなら、敵の動きを見極め、被害を抑えることも重要です。「暗黒」の力をどう使うかも含めてね。			悲鳴に導かれ							
これなら、儀式を行っても問題ないでしょう。……ひとまず、リトルアラミゴのそばまで戻りましょうか。残った肉に誘われて、ほかの獣まで襲ってきそうですし。			これなら、儀式を行っても問題ないでしょう。……ひとまず、リトルアラミゴのそばまで戻りましょうか。残った肉に誘われて、ほかの獣まで襲ってきそうですし。			悲鳴に導かれ							
