ヤーンの大穴のビッグスは、一息ついたようだ。			ヤーンの大穴のビッグスは、一息ついたようだ。			翼に夢を							
シドたちと話し、デルタIIIとの戦いに進むことにした。次元の狭間の「アルファ」と話そう。一度外に出た場合は、ヤーンの大穴にいる「ガーロンド社の調査員」が、次元の狭間へ案内してくれるようだ。			シドたちと話し、デルタIIIとの戦いに進むことにした。次元の狭間の「アルファ」と話そう。一度外に出た場合は、ヤーンの大穴にいる「ガーロンド社の調査員」が、次元の狭間へ案内してくれるようだ。			鳴き叫べ！							
アルファと話した。しっかりと準備を整えて、被検世界デルタに乗りこみ、待ち受けるハリカルナッソスを撃破しよう！※コンテンツファインダーから攻略に参加できます。			アルファと話した。しっかりと準備を整えて、被検世界デルタに乗りこみ、待ち受けるハリカルナッソスを撃破しよう！※コンテンツファインダーから攻略に参加できます。			鳴き叫べ！							
デルタIII、ハリカルナッソスを撃破した。次元の狭間の「シド」と話そう。			デルタIII、ハリカルナッソスを撃破した。次元の狭間の「シド」と話そう。			鳴き叫べ！							
シドと話した。冒険者の無事に、大いに安堵したようだ。次は、被検世界デルタでの、最後の闘いになるという。しっかりと休息をとってから、再度声をかけよう。			シドと話した。冒険者の無事に、大いに安堵したようだ。次は、被検世界デルタでの、最後の闘いになるという。しっかりと休息をとってから、再度声をかけよう。			鳴き叫べ！							
アルファと話す			アルファと話す			鳴き叫べ！							
「次元の狭間オメガ：デルタ編3」を攻略			「次元の狭間オメガ：デルタ編3」を攻略			鳴き叫べ！							
シドと話す			シドと話す			鳴き叫べ！							
クエッ！			クエッ！			鳴き叫べ！							
さて、お前も無事だったことだし、ちゃっちゃと次に行くかねぇ……。			さて、お前も無事だったことだし、ちゃっちゃと次に行くかねぇ……。			鳴き叫べ！							
「次元の狭間」の調査、おつかれさまです！大穴の中に降りますか？			「次元の狭間」の調査、おつかれさまです！大穴の中に降りますか？			鳴き叫べ！							
「次元の狭間」に移動しますか？			「次元の狭間」に移動しますか？			鳴き叫べ！							
ビッグスとウェッジから調査結果がくるまで、もう少し時間がかかりそうだが……このまま「デルタIII」との対決に進むか？			ビッグスとウェッジから調査結果がくるまで、もう少し時間がかかりそうだが……このまま「デルタIII」との対決に進むか？			鳴き叫べ！							
……頼もしいな。では、遠慮なく進めさせてもらうとしよう。			……頼もしいな。では、遠慮なく進めさせてもらうとしよう。			鳴き叫べ！							
次の敵、デルタIIIについては、今しがた名前が判明したところだ。その名も「ハリカルナッソス」というらしい。			次の敵、デルタIIIについては、今しがた名前が判明したところだ。その名も「ハリカルナッソス」というらしい。			鳴き叫べ！							
ハリカルナッソス……？あの、次元城の女王「ハリカルナッソス」か？			ハリカルナッソス……？あの、次元城の女王「ハリカルナッソス」か？			鳴き叫べ！							
