調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			元冒険者の調理師							
リングサスにメープルシロップを納品			リングサスにメープルシロップを納品			味覚の要							
ははっ、いいぞ！　似合ってるじゃねぇか！そいつを使いこなすのが、お前さんの最初の仕事だ。			ははっ、いいぞ！　似合ってるじゃねぇか！そいつを使いこなすのが、お前さんの最初の仕事だ。			味覚の要							
調理師の道は、片手鍋に始まり、片手鍋に終わるからな。お前さんにゃ、そいつを骨の髄まで学んでもらうぜ。コトコトとスープを煮込むように、じっくりとな。			調理師の道は、片手鍋に始まり、片手鍋に終わるからな。お前さんにゃ、そいつを骨の髄まで学んでもらうぜ。コトコトとスープを煮込むように、じっくりとな。			味覚の要							
じゃあ、さっそく、お前さんの腕前を見せてもらおうか。お前さんがどのくらい使えるか、それがわからなきゃ、何を教えりゃいいのかも、わからないだろ？			じゃあ、さっそく、お前さんの腕前を見せてもらおうか。お前さんがどのくらい使えるか、それがわからなきゃ、何を教えりゃいいのかも、わからないだろ？			味覚の要							
ってことで、「メープルシロップ」を1杯ぶん作ってこいや。「メープル樹液」をスキレットで調理すればいいだけさ、簡単だろ？			ってことで、「メープルシロップ」を1杯ぶん作ってこいや。「メープル樹液」をスキレットで調理すればいいだけさ、簡単だろ？			味覚の要							
必要なものは……今言った「メープル樹液」に、「ファイアシャード」だ。			必要なものは……今言った「メープル樹液」に、「ファイアシャード」だ。			味覚の要							
「メープル樹液」は、調理師ギルドのヨッシーが扱ってる。あいつに話しかけりゃあ、売ってくれるぜ。			「メープル樹液」は、調理師ギルドのヨッシーが扱ってる。あいつに話しかけりゃあ、売ってくれるぜ。			味覚の要							
ようし、じゃあ行ってこい！「速さは美味さ」もまた、料理の神髄だ！グズグズしてたら、千切りにするぞ！！			ようし、じゃあ行ってこい！「速さは美味さ」もまた、料理の神髄だ！グズグズしてたら、千切りにするぞ！！			味覚の要							
「メープル樹液」から「メープルシロップ」を製作してみましょう。			「メープル樹液」から「メープルシロップ」を製作してみましょう。			味覚の要							
メインコマンドの「手帳」から「製作手帳」を選び、製作を開始することができます。			メインコマンドの「手帳」から「製作手帳」を選び、製作を開始することができます。			味覚の要							
調理ってのは、時間との勝負でもあるんだ。さっさと「メープルシロップ」を持ってこい！			調理ってのは、時間との勝負でもあるんだ。さっさと「メープルシロップ」を持ってこい！			味覚の要							
さて、「メープルシロップ」……さっそく味見させてもらうとするか。			さて、「メープルシロップ」……さっそく味見させてもらうとするか。			味覚の要							
……実にいい味だった！なかなかやるな、お前さん。新人で、ここまでできるなら十分だ。			……実にいい味だった！なかなかやるな、お前さん。新人で、ここまでできるなら十分だ。			味覚の要							
