トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
おおっと、ブルートボンバーが違法な魂資源に手を出すようだ！しかも、複数種類の魔物の魂を注入するだなんて、過剰に肉体が変異しかねない危険行為だぞォ！			おおっと、ブルートボンバーが違法な魂資源に手を出すようだ！しかも、複数種類の魔物の魂を注入するだなんて、過剰に肉体が変異しかねない危険行為だぞォ！			反則王のリベンジ							
失格処分、失格処分だァ～！			失格処分、失格処分だァ～！			反則王のリベンジ							
うるせぇ！　邪魔すんじゃねぇ！			うるせぇ！　邪魔すんじゃねぇ！			反則王のリベンジ							
おいっ、見てるか生身の挑戦者！今度こそテメェをぶっ飛ばしてやるから、第八層建設区域まで来やがれっ！！			おいっ、見てるか生身の挑戦者！今度こそテメェをぶっ飛ばしてやるから、第八層建設区域まで来やがれっ！！			反則王のリベンジ							
あのバカッ！真実を伝えたはずなのに、なんでそんな無茶を……！？			あのバカッ！真実を伝えたはずなのに、なんでそんな無茶を……！？			反則王のリベンジ							
実を言うと……ブルートボンバーさんが試合で行ってきたドーピングは、害のない演出上のものでしかありませんでした。			実を言うと……ブルートボンバーさんが試合で行ってきたドーピングは、害のない演出上のものでしかありませんでした。			反則王のリベンジ							
レフェリーが失格と言いながらも、試合を続行させてたでしょう？でも、別種の魔物の魂を同時に複数注入することは、アルカディアでも本当に禁止されている危険行為なんです。			レフェリーが失格と言いながらも、試合を続行させてたでしょう？でも、別種の魔物の魂を同時に複数注入することは、アルカディアでも本当に禁止されている危険行為なんです。			反則王のリベンジ							
なぜなら、メテムさんが言っていたように、肉体の変異が過剰に進行してしまうから……。最悪、人の姿に戻れず、そのまま亡くなってしまいます。			なぜなら、メテムさんが言っていたように、肉体の変異が過剰に進行してしまうから……。最悪、人の姿に戻れず、そのまま亡くなってしまいます。			反則王のリベンジ							
おそらく、魔物の魂が肉体だけでなく、人の魂に侵食することで、一気に魂蝕症が進むのでしょう。			おそらく、魔物の魂が肉体だけでなく、人の魂に侵食することで、一気に魂蝕症が進むのでしょう。			反則王のリベンジ							
か、確認したいことがある……！あれほど止めたのに……キミたち魂蝕症のことを、彼に、ブルートボンバーに伝えたんだな！？			か、確認したいことがある……！あれほど止めたのに……キミたち魂蝕症のことを、彼に、ブルートボンバーに伝えたんだな！？			反則王のリベンジ							
あ、ああ。とても放っておけなくてさ……。			あ、ああ。とても放っておけなくてさ……。			反則王のリベンジ							
あろうことか、彼はオーナーに相談してしまったんだよ。当然のように魂蝕症の存在は否定され、ブルートボンバーも、それを疑うことなく信じた。			あろうことか、彼はオーナーに相談してしまったんだよ。当然のように魂蝕症の存在は否定され、ブルートボンバーも、それを疑うことなく信じた。			反則王のリベンジ							
さらにだ、中継を見て知ってるかもしれないが……オーナーはブルートボンバーに、キミと再戦する機会を与えたんだ。			さらにだ、中継を見て知ってるかもしれないが……オーナーはブルートボンバーに、キミと再戦する機会を与えたんだ。			反則王のリベンジ							
それも、今のままじゃ勝てないだろうと、複数の魔物の魂を使うことを条件にね。			それも、今のままじゃ勝てないだろうと、複数の魔物の魂を使うことを条件にね。			反則王のリベンジ							
違法な魂資源だとか何とか、あの中継は全部筋書きのある演出だ！場外戦というテイで、強化したブルートボンバーを当て、キミを排除しようというオーナーの企みなんだよ！			違法な魂資源だとか何とか、あの中継は全部筋書きのある演出だ！場外戦というテイで、強化したブルートボンバーを当て、キミを排除しようというオーナーの企みなんだよ！			反則王のリベンジ							
