採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
ご苦労さま、いい取引だったわ。……けれど、珍しいこともあるものね。最技研とは何度も取引してるけど、代金の滞納なんて初めてよ。			ご苦労さま、いい取引だったわ。……けれど、珍しいこともあるものね。最技研とは何度も取引してるけど、代金の滞納なんて初めてよ。			最技研が生まれ変わる日							
……そういえば、最技研の主任を最近見てないわね。前は、品質確認に来たりで、よく顔を見ていたけど。何か関係があるのかしら？			……そういえば、最技研の主任を最近見てないわね。前は、品質確認に来たりで、よく顔を見ていたけど。何か関係があるのかしら？			最技研が生まれ変わる日							
いい取引だったわ、お疲れさま。「最技研向け資材」は「ノノワト」に渡しておいて。			いい取引だったわ、お疲れさま。「最技研向け資材」は「ノノワト」に渡しておいて。			最技研が生まれ変わる日							
……あっ、採掘師さん！ロウェナさんの件はどうなりましたか？			……あっ、採掘師さん！ロウェナさんの件はどうなりましたか？			最技研が生まれ変わる日							
ありがとうございます……。この資材があれば、また開発を続けられます……。それでは、今回の依頼はこれで終わり……			ありがとうございます……。この資材があれば、また開発を続けられます……。それでは、今回の依頼はこれで終わり……			最技研が生まれ変わる日							
……いえ、ここまで協力してくださった方に、嘘や隠し事は、不誠実ですね！すみませんでした、すべてお話しします！			……いえ、ここまで協力してくださった方に、嘘や隠し事は、不誠実ですね！すみませんでした、すべてお話しします！			最技研が生まれ変わる日							
その……実は、ちょっと前から研究がすべて止まっていて……あっ、いや、研究員同士の喧嘩が原因じゃありません！スティックキクス……主任が、行方不明なんです！			その……実は、ちょっと前から研究がすべて止まっていて……あっ、いや、研究員同士の喧嘩が原因じゃありません！スティックキクス……主任が、行方不明なんです！			最技研が生まれ変わる日							
どこへ行ったか誰にもわからなくて、みんなで探しているんですが、何も情報がなくて……。そうだ、冒険者さんは何か知りませんか？			どこへ行ったか誰にもわからなくて、みんなで探しているんですが、何も情報がなくて……。そうだ、冒険者さんは何か知りませんか？			最技研が生まれ変わる日							
何と答える？			何と答える？			最技研が生まれ変わる日							
研究員の喧嘩で悩んでいた			研究員の喧嘩で悩んでいた			最技研が生まれ変わる日							
スローフィクスに相談すると言っていた			スローフィクスに相談すると言っていた			最技研が生まれ変わる日							
喧嘩に悩んでいた！？すみません、主任……。僕が至らないばっかりに……！			喧嘩に悩んでいた！？すみません、主任……。僕が至らないばっかりに……！			最技研が生まれ変わる日							
しかし、それなら誰かに相談していたかもしれません！もしかしたら、失踪についても話していた可能性があります！			しかし、それなら誰かに相談していたかもしれません！もしかしたら、失踪についても話していた可能性があります！			最技研が生まれ変わる日							
この都市で主任が相談できる相手は、「スローフィクス」さんくらいでしょうか。採掘師さん、よければ一緒に話を聞いてください！			この都市で主任が相談できる相手は、「スローフィクス」さんくらいでしょうか。採掘師さん、よければ一緒に話を聞いてください！			最技研が生まれ変わる日							
「スローフィクス」さんに相談ですか？いったい何を相談……いや、わかります……。きっと、研究員の喧嘩についてですよね……。			「スローフィクス」さんに相談ですか？いったい何を相談……いや、わかります……。きっと、研究員の喧嘩についてですよね……。			最技研が生まれ変わる日							
