アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
あ、Forenameさん！とっても良い報せがありますよ！			あ、Forenameさん！とっても良い報せがありますよ！			暁月の未来に繋がれ、大繁盛の輪！							
これまで訪ねていただいた各地から、装備の注文が続々と舞い込んでるんです。試供品を配った効果は、抜群のようですね！			これまで訪ねていただいた各地から、装備の注文が続々と舞い込んでるんです。試供品を配った効果は、抜群のようですね！			暁月の未来に繋がれ、大繁盛の輪！							
(-？？？？-)おかげで、こっちは大忙しだ！商品の発送はもちろん、製作に協力してくれてる、各国ギルドへの追加発注も舞い込んできてるからな。			(-？？？？-)おかげで、こっちは大忙しだ！商品の発送はもちろん、製作に協力してくれてる、各国ギルドへの追加発注も舞い込んできてるからな。			暁月の未来に繋がれ、大繁盛の輪！							
何と言う？			何と言う？			暁月の未来に繋がれ、大繁盛の輪！							
はじめまして、かな？			はじめまして、かな？			暁月の未来に繋がれ、大繁盛の輪！							
君はパーラカの里の……			君はパーラカの里の……			暁月の未来に繋がれ、大繁盛の輪！							
すみません、挨拶がまだでしたか。俺、ハズダーダって言います。			すみません、挨拶がまだでしたか。俺、ハズダーダって言います。			暁月の未来に繋がれ、大繁盛の輪！							
メジナやヴァルサルードたちといっしょに、パーラカの里からシャーレアンに避難してきて……あのときは、本当にお世話になりました！			メジナやヴァルサルードたちといっしょに、パーラカの里からシャーレアンに避難してきて……あのときは、本当にお世話になりました！			暁月の未来に繋がれ、大繁盛の輪！							
挨拶が遅くなってしまい、すみません。俺、ハズダーダって言います。			挨拶が遅くなってしまい、すみません。俺、ハズダーダって言います。			暁月の未来に繋がれ、大繁盛の輪！							
パーラカの里から、ガレマルドを経由して、ここシャーレアンまで避難してきて……あのときは、本当にお世話になりました！			パーラカの里から、ガレマルドを経由して、ここシャーレアンまで避難してきて……あのときは、本当にお世話になりました！			暁月の未来に繋がれ、大繁盛の輪！							
俺もこの大繁盛商店で雇っていただいてるんですが、普段は裏方を担当してまして。あんまり店頭には顔を出してないんです。			俺もこの大繁盛商店で雇っていただいてるんですが、普段は裏方を担当してまして。あんまり店頭には顔を出してないんです。			暁月の未来に繋がれ、大繁盛の輪！							
仕事が忙しいのは、いいことじゃない？これまでにないくらい盛況ってことなんだから。			仕事が忙しいのは、いいことじゃない？これまでにないくらい盛況ってことなんだから。			暁月の未来に繋がれ、大繁盛の輪！							
そりゃそうさ。だけど、不安なことだってある。			そりゃそうさ。だけど、不安なことだってある。			暁月の未来に繋がれ、大繁盛の輪！							
俺たちが扱ってるのは、消耗品じゃない。だから、一度商品が行きわたってしまったら、そこで商売は頭打ちになっちゃうだろ？			俺たちが扱ってるのは、消耗品じゃない。だから、一度商品が行きわたってしまったら、そこで商売は頭打ちになっちゃうだろ？			暁月の未来に繋がれ、大繁盛の輪！							
この波が落ち着いてしまう前に、次の商品を準備しておかないとダメってわけね。タタルさんのことだから、何か考えがあると思うけど……。			この波が落ち着いてしまう前に、次の商品を準備しておかないとダメってわけね。タタルさんのことだから、何か考えがあると思うけど……。			暁月の未来に繋がれ、大繁盛の輪！							
実は、あたしもいろいろ考えてて。タタルさんに新商品の開発を提案してみたの。			実は、あたしもいろいろ考えてて。タタルさんに新商品の開発を提案してみたの。			暁月の未来に繋がれ、大繁盛の輪！							
いきなり世界中で売れるものを考えるのは難しかったから、手始めにここシャーレアンを対象として……ズバリ、「研究者向けの装束」はどうでしょう、って！			いきなり世界中で売れるものを考えるのは難しかったから、手始めにここシャーレアンを対象として……ズバリ、「研究者向けの装束」はどうでしょう、って！			暁月の未来に繋がれ、大繁盛の輪！							
へぇ、自分から提案するなんてすごいじゃないか。タタルさんの反応はどうだった？			へぇ、自分から提案するなんてすごいじゃないか。タタルさんの反応はどうだった？			暁月の未来に繋がれ、大繁盛の輪！							
最初はちょっと難しそうな顔をしてたから、これはダメかもと思ったんだけど……			最初はちょっと難しそうな顔をしてたから、これはダメかもと思ったんだけど……			暁月の未来に繋がれ、大繁盛の輪！							
