リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
きっと、ささやかな復讐ができるでしょう。願わくば、その魔法を使わなくても済みますよう……。いってらっしゃい。			きっと、ささやかな復讐ができるでしょう。願わくば、その魔法を使わなくても済みますよう……。いってらっしゃい。			ロウ！							
「シビレダケの胞子嚢」をリダ・ラーンの「ユル＝フェオ」に渡し、注文した花の種を受け取ってください。ピクシーが悪戯しようとしたら「ロウ！」ですよ……。			「シビレダケの胞子嚢」をリダ・ラーンの「ユル＝フェオ」に渡し、注文した花の種を受け取ってください。ピクシーが悪戯しようとしたら「ロウ！」ですよ……。			ロウ！							
ちょっとー！ン・モゥのくせに遅いじゃない……って、フェオの若木が来た！なになに、何の用？　遊ぶ？　遊ぶ？			ちょっとー！ン・モゥのくせに遅いじゃない……って、フェオの若木が来た！なになに、何の用？　遊ぶ？　遊ぶ？			ロウ！							
あら、アンタがこれを持ってきてくれたのね！ウシシ……この胞子嚢があればイイコトできちゃうんだ！			あら、アンタがこれを持ってきてくれたのね！ウシシ……この胞子嚢があればイイコトできちゃうんだ！			ロウ！							
この胞子をね、他のピクシーたちにぶつけるの！そしたら、そしたら、どうなると思う？みんなビリビリビリ～って、動けなくなっちゃうの……最っ高！			この胞子をね、他のピクシーたちにぶつけるの！そしたら、そしたら、どうなると思う？みんなビリビリビリ～って、動けなくなっちゃうの……最っ高！			ロウ！							
そうそう、注文した花の種ならその辺にあるよ。花畑のあちこちに、6袋バラッバラに置いたの！欲しかったら、探して集めなきゃね！			そうそう、注文した花の種ならその辺にあるよ。花畑のあちこちに、6袋バラッバラに置いたの！欲しかったら、探して集めなきゃね！			ロウ！							
ウシシ……だって、種の所有権を渡す約束はしたけど、運んで一箇所に集めるとは、約束してないもんねー！あれあれ、怒った、怒った？			ウシシ……だって、種の所有権を渡す約束はしたけど、運んで一箇所に集めるとは、約束してないもんねー！あれあれ、怒った、怒った？			ロウ！							
どうする？			どうする？			ロウ！							
ロウ！			ロウ！			ロウ！							
広い心で許す			広い心で許す			ロウ！							
ひぎゃあああああああああああ！？しびれるぅうううううう！			ひぎゃあああああああああああ！？しびれるぅうううううう！			ロウ！							
ウシシ……毎度、ありがと！ン・モゥによろしくねー！			ウシシ……毎度、ありがと！ン・モゥによろしくねー！			ロウ！							
ま、まだいたの？「種入りの袋」は6つあるから、頑張って集めることね！			ま、まだいたの？「種入りの袋」は6つあるから、頑張って集めることね！			ロウ！							
おかえりなさい。「種入りの袋」は受け取れましたか？			おかえりなさい。「種入りの袋」は受け取れましたか？			ロウ！							
……うん、きっちり6袋ありました。あえて、魔法の合言葉を使ったかどうかはききません。とにかくご苦労様でした。			……うん、きっちり6袋ありました。あえて、魔法の合言葉を使ったかどうかはききません。とにかくご苦労様でした。			ロウ！							
この種を絞って油にして、香油や料理に使うのです。かつては、油はフッブート王国の人々から仕入れていたのに、今はピクシーと取引しなくてはいけないのです……はぁ。			この種を絞って油にして、香油や料理に使うのです。かつては、油はフッブート王国の人々から仕入れていたのに、今はピクシーと取引しなくてはいけないのです……はぁ。			ロウ！							
