テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
ねぇねぇ、ヒトさん！「ミアキス」って食べたことある！？あいつら美味しそうだよねぇ？			ねぇねぇ、ヒトさん！「ミアキス」って食べたことある！？あいつら美味しそうだよねぇ？			おいしそうなお肉							
でもボク、まだあいつら狩れないから、食べたことないんだ。ヒトさん、代わりに狩ってきてくれない？			でもボク、まだあいつら狩れないから、食べたことないんだ。ヒトさん、代わりに狩ってきてくれない？			おいしそうなお肉							
「ミアキス」を狩って、「ミアキスの肉」を3体ぶん持ってきておくれよ！			「ミアキス」を狩って、「ミアキスの肉」を3体ぶん持ってきておくれよ！			おいしそうなお肉							
「ミアキス」を狩って、「ミアキスの肉」を3体ぶん持ってきておくれよ！			「ミアキス」を狩って、「ミアキスの肉」を3体ぶん持ってきておくれよ！			おいしそうなお肉							
「ミアキス」を狩って、「ミアキスの肉」を3体ぶん持ってきておくれよ！			「ミアキス」を狩って、「ミアキスの肉」を3体ぶん持ってきておくれよ！			おいしそうなお肉							
これが「ミアキスの肉」なんだ……！ありがと！　いっただきまーす！ん……こ、これは……！？			これが「ミアキスの肉」なんだ……！ありがと！　いっただきまーす！ん……こ、これは……！？			おいしそうなお肉							
ふおおおおお！　超おいしいぃぃぃ！！早く自分で狩れるようになって、いっぱい食べたいな！ありがとね、ヒトさん！			ふおおおおお！　超おいしいぃぃぃ！！早く自分で狩れるようになって、いっぱい食べたいな！ありがとね、ヒトさん！			おいしそうなお肉							
テイルフェザーのマルスシャンは、戦いの準備を進めているようだ。			テイルフェザーのマルスシャンは、戦いの準備を進めているようだ。			大物の駆除							
グランチョコボ駆除の手伝いを頼まれた。高地ドラヴァニアのチョコボの森で、壊された罠を確認しに向かった「熟練の猟師」と話そう。			グランチョコボ駆除の手伝いを頼まれた。高地ドラヴァニアのチョコボの森で、壊された罠を確認しに向かった「熟練の猟師」と話そう。			大物の駆除							
熟練の猟師がワイルド・グランチョコボに襲われていた。チョコボの森の北東へ逃げて行った「ワイルド・グランチョコボ」を追い、襲われたら討伐しよう。			熟練の猟師がワイルド・グランチョコボに襲われていた。チョコボの森の北東へ逃げて行った「ワイルド・グランチョコボ」を追い、襲われたら討伐しよう。			大物の駆除							
ワイルド・グランチョコボを討伐した。チョコボの森で様子を確認していた「熟練の猟師」と話そう。			ワイルド・グランチョコボを討伐した。チョコボの森で様子を確認していた「熟練の猟師」と話そう。			大物の駆除							
熟練の猟師と話した。結果をテイルフェザーの「マルスシャン」に報告しよう。			熟練の猟師と話した。結果をテイルフェザーの「マルスシャン」に報告しよう。			大物の駆除							
マルスシャンに報告した。チョコボは賢い生き物であるために、人を襲うようになってしまっては駆除する決断を下すしかなかったようだ。			マルスシャンに報告した。チョコボは賢い生き物であるために、人を襲うようになってしまっては駆除する決断を下すしかなかったようだ。			大物の駆除							
熟練の猟師と話す			熟練の猟師と話す			大物の駆除							
ワイルド・グランチョコボと話し襲われたら討伐			ワイルド・グランチョコボと話し襲われたら討伐			大物の駆除							
熟練の猟師と話す			熟練の猟師と話す			大物の駆除							
マルスシャンに報告			マルスシャンに報告			大物の駆除							
隊長から話を聞いてくれ。			隊長から話を聞いてくれ。			大物の駆除							
グランチョコボは、俺たちに敵意を持っている……。仮に捕獲したとしても、騎乗用に飼いならすのは無理だろう。それに人を意図的に襲っている以上、駆除するしかないな。			グランチョコボは、俺たちに敵意を持っている……。仮に捕獲したとしても、騎乗用に飼いならすのは無理だろう。それに人を意図的に襲っている以上、駆除するしかないな。			大物の駆除							
そういう訳だ、引き続き協力を頼みたい。まずは、ウチの猟師といっしょに、奴の足取りを追ってくれ。			そういう訳だ、引き続き協力を頼みたい。まずは、ウチの猟師といっしょに、奴の足取りを追ってくれ。			大物の駆除							
……よろしくな、冒険者。情報によれば、「ウィロームリバー」付近に仕掛けた罠が、壊されていたらしい……ひとまず様子を見に行ってみよう。			……よろしくな、冒険者。情報によれば、「ウィロームリバー」付近に仕掛けた罠が、壊されていたらしい……ひとまず様子を見に行ってみよう。			大物の駆除							
