聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			蒼天の下、笑顔で							
蒼天街に求めること～～～～？なんだよ、そんなふわっとしたこと聞かれても……。			蒼天街に求めること～～～～？なんだよ、そんなふわっとしたこと聞かれても……。			蒼天を仰ぐ街							
まぁでも、戦争も終わったんだし、「華やかな街」にしてぇよな。みんなが毎日楽しく暮らせるようなさ！			まぁでも、戦争も終わったんだし、「華やかな街」にしてぇよな。みんなが毎日楽しく暮らせるようなさ！			蒼天を仰ぐ街							
エマネラン様……。フランセル様がお聞きしたいのは、もっと具体的で建設的な意見だと思います、はい。			エマネラン様……。フランセル様がお聞きしたいのは、もっと具体的で建設的な意見だと思います、はい。			蒼天を仰ぐ街							
いや、率直な意見がもらえて、感謝します。ふたりとも、ありがとう。			いや、率直な意見がもらえて、感謝します。ふたりとも、ありがとう。			蒼天を仰ぐ街							
おう！　これくらい、お安い御用さ！じゃあオレたちはもう行くぜ！またな、Forename！			おう！　これくらい、お安い御用さ！じゃあオレたちはもう行くぜ！またな、Forename！			蒼天を仰ぐ街							
あっ、フランセルは、ラニエット姉さんによろしく伝えてくれよな！			あっ、フランセルは、ラニエット姉さんによろしく伝えてくれよな！			蒼天を仰ぐ街							
よし。キミのおかげで、いろんな人に話が聞けたね。そろそろ、切り上げようか。			よし。キミのおかげで、いろんな人に話が聞けたね。そろそろ、切り上げようか。			蒼天を仰ぐ街							
みな、求めることはバラバラだったな……。僕はどの意見も正しいように思えたが、そのすべてを聞き入れることなんて、できるだろうか……。			みな、求めることはバラバラだったな……。僕はどの意見も正しいように思えたが、そのすべてを聞き入れることなんて、できるだろうか……。			蒼天を仰ぐ街							
…………いいや、うじうじ考えていてはダメだな！何事も、やってみなきゃわからないんだから。			…………いいや、うじうじ考えていてはダメだな！何事も、やってみなきゃわからないんだから。			蒼天を仰ぐ街							
そうだ、キミを蒼天街へ案内していなかったね。せっかくだから、見ていかないかい？			そうだ、キミを蒼天街へ案内していなかったね。せっかくだから、見ていかないかい？			蒼天を仰ぐ街							
蒼天街へは、さっき話していた「トメリン」が案内してくれるよ。そうだ、ついでにお願いしちゃおうかな……			蒼天街へは、さっき話していた「トメリン」が案内してくれるよ。そうだ、ついでにお願いしちゃおうかな……			蒼天を仰ぐ街							
案内役を、彼に任せっぱなしにしているから、キミがくる前に、差し入れにホットワインを買っておいたんだ。うん、まだ冷めてなさそうだな。			案内役を、彼に任せっぱなしにしているから、キミがくる前に、差し入れにホットワインを買っておいたんだ。うん、まだ冷めてなさそうだな。			蒼天を仰ぐ街							
よかったら、キミから渡してあげてくれるかい？憧れの英雄からもらったほうが、彼も喜ぶと思うんだ。			よかったら、キミから渡してあげてくれるかい？憧れの英雄からもらったほうが、彼も喜ぶと思うんだ。			蒼天を仰ぐ街							
じゃあ僕は、先に蒼天街へ向かっているね！			じゃあ僕は、先に蒼天街へ向かっているね！			蒼天を仰ぐ街							
英雄殿、おかえりなさい！「蒼天街」へ向かわれますか？			英雄殿、おかえりなさい！「蒼天街」へ向かわれますか？			蒼天を仰ぐ街							
えっ？　総監殿がこれを？自分のような使用人に、お気遣いは無用なのに……！ありがとうございます！			えっ？　総監殿がこれを？自分のような使用人に、お気遣いは無用なのに……！ありがとうございます！			蒼天を仰ぐ街							
戦争が終わって、この仕事に就くまで、貴族なんて、自分勝手な人ばかりだと思っていましたが……総監殿は、自分たちのような者にまでお優しいんですよ。			戦争が終わって、この仕事に就くまで、貴族なんて、自分勝手な人ばかりだと思っていましたが……総監殿は、自分たちのような者にまでお優しいんですよ。			蒼天を仰ぐ街							
しかも、先ほどお通りになった際には、何事もないように振る舞われ……。英雄殿から直々にいただけるなんて、自分は果報者ですね。			しかも、先ほどお通りになった際には、何事もないように振る舞われ……。英雄殿から直々にいただけるなんて、自分は果報者ですね。			蒼天を仰ぐ街							
